"","species","genus","family","order","class","phylum","NSDM.group","CH3Div.group","NSDM.scheme","CH3Div.scheme","Dispersal_km"
"281","Alytes obstetricans","Alytes","Alytidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.9508
"947","Bombina variegata","Bombina","Bombinatoridae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.5616
"1077","Bufo bufo","Bufo","Bufonidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",2.7328
"2466","Epidalea calamita","Epidalea","Bufonidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",2.3459
"3363","Hyla arborea","Hyla","Hylidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",2.3525
"3364","Hyla intermedia","Hyla","Hylidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.589
"3505","Ichthyosaura alpestris","Ichthyosaura","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.5927
"4057","Lissotriton helveticus","Lissotriton","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.4061
"4058","Lissotriton vulgaris","Lissotriton","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.987
"5131","Pelophylax esculentus","Pelophylax","Ranidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",2.1511
"5132","Pelophylax ridibundus","Pelophylax","Ranidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.7176
"5916","Rana dalmatina","Rana","Ranidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.671055
"5917","Rana latastei","Rana","Ranidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.0232
"5918","Rana temporaria","Rana","Ranidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.8639
"6245","Salamandra atra","Salamandra","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","terrestrial",1.2388
"6246","Salamandra salamandra","Salamandra","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.715
"7156","Triturus carnifex","Triturus","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.3896
"7157","Triturus cristatus","Triturus","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.8444
"16","Acanthis flammea","Acanthis","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.8789
"19","Accipiter gentilis","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",4.6192
"20","Accipiter nisus","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",4.2108
"51","Acrocephalus palustris","Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1465
"52","Acrocephalus scirpaceus","Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1917
"71","Actitis hypoleucos","Actitis","Scolopacidae","Charadriiformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",3.2682
"91","Aegithalos caudatus","Aegithalos","Aegithalidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.6849
"92","Aegolius funereus","Aegolius","Strigidae","Strigiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.9451
"216","Aix galericulata","Aix","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.1981
"222","Alauda arvensis","Alauda","Alaudidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.9728
"226","Alcedo atthis","Alcedo","Alcedinidae","Coraciiformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.8562
"239","Alectoris graeca","Alectoris","Phasianidae","Galliformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.3922
"383","Anas platyrhynchos","Anas","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",3.6122
"499","Anser anser","Anser","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.6683
"540","Anthus pratensis","Anthus","Motacillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.0486
"541","Anthus spinoletta","Anthus","Motacillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1024
"542","Anthus trivialis","Anthus","Motacillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.2485
"587","Apus apus","Apus","Apodidae","Apodiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.3995
