"AMPHIBIANS","BIRDS","BEES","BRYOPHYTES","BEETLES","MAY-STONE-CADDISFLIES","FISHES","FUNGI","BUTTERFLIES","LICHENS","MAMMALS","MOLLUSCS","DRAGONFLIES","GRASSHOPPERS","VASCULAR_PLANTS","REPTILES","SPIDERS"
"GUILDE.1","GUILDE.1","GUILDE.1","GUILDE.1","Overwinter_stage","GUILDE.1","GUILDE.1","Functional_group","GUILDE.1","THALLUS_type1","GUILDE.1","GUILDE.1","GUILDE.1","GUILDE.1","GUILDE.1","GUILDE.1","Ballooning"
"GUILDE.2","GUILDE.2","GUILDE.2","GUILDE.2","BodyLength_min","GUILDE.2","GUILDE.2","Fos","GUILDE.2","THALLUS_type2","GUILDE.2","GUILDE.2","GUILDE.2","GUILDE.2","GUILDE.2","GUILDE.2","BodyLength_mm"
"GUILDE.3","GUILDE.3","GUILDE.3","GUILDE.3","BodyLength_mm","GUILDE.3","GUILDE.3","Ter","GUILDE.3","THALLUS_type3","GUILDE.3","GUILDE.3","GUILDE.3","GUILDE.3","GUILDE.3","GUILDE.3","Cephalothor_length_mm"
"GUILDE.4","GUILDE.4","GUILDE.4","GUILDE.4","BodyLength_max","GUILDE.4","GUILDE.4","Aqu","GUILDE.4","THALLUS_type4","GUILDE.4","GUILDE.4","GUILDE.4","GUILDE.4","GUILDE.4","GUILDE.4","Cephalothor_height_mm"
"GUILDE.6","GUILDE.5","GUILDE.5","GUILDE.5","BodyWidth_mm","GUILDE.5","GUILDE.5","Arb","GUILDE.5","THA_Morpho_type1","GUILDE.5","GUILDE.5","GUILDE.5","GUILDE.5","GUILDE.5","GUILDE.5","Cephalothor_width_mm"
"GUILDE.9","GUILDE.6","GUILDE.6","GUILDE.6","Body_height_mm","GUILDE.6","GUILDE.6","Aer","GUILDE.6","THA_Morpho_type2","GUILDE.6","GUILDE.6","GUILDE.6","GUILDE.6","GUILDE.6","GUILDE.6","Activity"
"GUILDE.10","GUILDE.7","GUILDE.7","GUILDE.7","Head_length_mm","GUILDE.7","GUILDE.7","Substrate","GUILDE.7","THA_Morpho_type3","GUILDE.7","GUILDE.7","GUILDE.7","GUILDE.7","GUILDE.7","GUILDE.7","Hunting_guild1"
"GUILDE.11","GUILDE.8","GUILDE.8","GUILDE.8","Head_width_mm","GUILDE.8","GUILDE.8","_","GUILDE.8","THA_Morpho_type4","GUILDE.8","GUILDE.8","GUILDE.8","GUILDE.8","GUILDE.8","GUILDE.8","Arb"
"GUILDE.12","GUILDE.9","GUILDE.9","GUILDE.9","Eye_area_mm2","GUILDE.9","GUILDE.9","_","GUILDE.9","THA_Morpho_type5","GUILDE.9","GUILDE.9","GUILDE.9","GUILDE.9","GUILDE.9","GUILDE.9","Aer"
"GUILDE.13","GUILDE.10","GUILDE.10","GUILDE.10","Front_leg_length_mm","GUILDE.10","GUILDE.10","_","GUILDE.10","THA_Morpho_type6","GUILDE.10","GUILDE.10","GUILDE.10","GUILDE.10","GUILDE.10","GUILDE.10","_"
"GUILDE.14","GUILDE.11","GUILDE.11","GUILDE.11","Mid_leg_length_mm","GUILDE.11","GUILDE.11","_","GUILDE.11","THA_Morpho_type7","GUILDE.11","GUILDE.11","GUILDE.11","GUILDE.11","GUILDE.11","GUILDE.11","_"
"GUILDE.15","GUILDE.12","GUILDE.12","GUILDE.12","Hind_leg_length_mm","GUILDE.12","GUILDE.12","_","GUILDE.12","THA_Morpho_type8","GUILDE.12","GUILDE.12","GUILDE.12","GUILDE.12","GUILDE.12","GUILDE.12","_"
"GUILDE.16","GUILDE.13","GUILDE.13","GUILDE.13","Flight_capacity","GUILDE.13","GUILDE.13","_","GUILDE.13","THA_Morpho_type9","GUILDE.13","GUILDE.13","GUILDE.13","GUILDE.13","GUILDE.13","GUILDE.13","_"
"GUILDE.17","GUILDE.14","GUILDE.14","GUILDE.14","Elytra_length_mm","GUILDE.14","GUILDE.14","_","GUILDE.14","THA_Morpho_type10","GUILDE.14","GUILDE.14","GUILDE.14","GUILDE.14","GUILDE.14","GUILDE.14","_"
"GUILDE.18","GUILDE.15","GUILDE.15","GUILDE.15","Elytra_width_mm","GUILDE.15","GUILDE.15","_","GUILDE.15","THA_Morpho_type11","GUILDE.15","GUILDE.15","GUILDE.15","GUILDE.15","GUILDE.15","GUILDE.15","_"
