Code_HAB,ID_HAB,english_name,nom_français,eunis
1,1,Open waters,Eaux libres,
1.-1,11,Calm waters,Eaux calmes,
1.-1.0,110,Water without vegetation,Eau sans végétation,
1.-1.0.1,1101,Deep water (limnetic zone),Eau profonde (zone limnétique),
1.-1.0.2,1102,Shallow water (incl. temporary ponds),Eau peu profonde (incl. mares temporaires),
1.-1.1,111,Water with non-vascular submerged vegetation,Eau avec végétation immergée non vasculaire,C1.1;C1.25;C1.4;C2.19
1.-1.2,112,Water with vascular submerged vegetation,Eau avec végétation immergée vasculaire,C1.1;C1.33;C1.4
1.-1.3,113,Water with free-floating vegetation,Eau avec végétation flottante libre,C1.222;C1.223;C1.224;C1.32
1.-1.3.1,1131,Hydrocharition,Hydrocharition,C1.222
1.-1.3.2,1132,Utricularion,Utricularion,C1.224
1.-1.4,114,Water with fixed-floating vegetation,Eau avec végétation flottante fixée,C1.1;C1.3411;C1.3413;C1.4
1.-1.4.1,1141,Ranunculion aquatilis,Ranunculion aquatilis,C1.3411
1.-1.4.2,1142,Hottonietum,Hottonietum,C1.3413
1.-2,12,Flowing waters,Eaux courantes,
1.-2.1,121,Bream and barbel zone (epipotamon),Zone de la brême et du barbeau (épipotamon),C2.18;C2.1A;C2.1B;C2.33;C2.34
1.-2.1.1,1211,Large lowland rivers,Grands cours d'eau de plaine,
1.-2.1.2,1212,Small slow-flowing lowland streams,Petit cours d'eau de plaine à écoulement lent,
1.-2.2,122,Grayling zone (hyporhitron),Zone de l'ombre (hyporhitron),C2.18;C2.1A;C2.1B;C2.25;C2.26;C2.27;C2.28
1.-2.2.0,1220,"Grayling zone, without vegetation","Zone de l'ombre, sans végétation",
1.-2.2.1,1221,"Grayling zone, with vegetation","Zone de l'ombre, avec végétation",
1.-2.3,123,Lower trout zone (metarhitron),Zone inférieure de la truite (métarhitron),C2.18;C2.25;C2.26;C2.27;C2.28
1.-2.4,124,Upper trout zone (epirhitron),Zone supérieure de la truite (épirhitron),C2.18;C2.25;C2.26;C2.27
1.-2.5,125,Temporary water,Eau temporaire,
1.-2.6,126,Glacial stream (Kryal),Ruisseau glaciaire (Kryal),
1.-3,13,Springs and seepages,Sources et suintements,
1.-3.0,130,"Surface flow, seepage without vegetation","Ecoulement superficiel, suintement sans végétation",
1.-3.0.1,1301,Alluvial spring,Source alluviale,
1.-3.1,131,Vegetation of moist calcareous rocks,Végétation des rochers calcaires humides,
1.-3.2,132,Vegetation of alkaline springs,Végétation des sources alcalines,C2.12;C2.19
1.-3.3,133,Vegetation of acidic springs,Végétation des sources acides,
1.-4,14,Groundwater,Eaux souterraines,
1.-4.1,141,Interstitial environment of sediments (alluvial and parafluvial aquifers),Milieu interstitiel des sédiments (nappes alluviales et parafluviales),
1.-4.2,142,Fissured environment,Milieu fissural,
1.-4.3,143,Underground river,Rivière souterraine,
1.-4.4,144,Underground lake,Lac souterrain,
2,2,Shorelines and wetlands,Rivages et lieux humides,
2.-0,20,Artificial banks,Rives artificielles,
2.-0.0,200,Artificial banks without vegetation,Rives artificielles sans végétation,
2.-0.1,201,Artificial banks with vegetation,Rives artificielles avec végétation,
2.-1,21,Banks with vegetation,Rivages avec végétation,
2.-1.1,211,Flooded depression with bladderworts,Dépression inondée à utriculaires,C1.1;C1.4
2.-1.2,212,Reedbed,Roselière,
2.-1.2.1,2121,Lacustrine reedbed,Roselière lacustre,
2.-1.2.2,2122,Terrestrial reedbed,Roselière terrestre,
2.-1.3,213,Temporary gravel bar vegetation,Végétation temporaire des grèves,C3.41
2.-1.4,214,Vegetation of running water banks,Végétation des rives d'eau courante,CD1c
2.-2,22,Fens,Bas-marais,
2.-2.1,221,Magnocaryx fen,Magnocariçaie,
2.-2.1.1,2211,Magnocaryx fen s.str.,Magnocariçaie s.str.,D5.2
2.-2.1.2,2212,Marsh sedge formation,Formation à marisque,D5.2
2.-2.2,222,Acidic small-sedge fen,Parvocariçaie acidophile,
2.-2.3,223,Neutral-basophilic small-sedge fen,Parvocariçaie neutro-basophile,D4.1
2.-2.4,224,Transition sedge fen,Cariçaie de transition,C1.4;D1.11;D2.3
2.-2.5,225,Pioneer group of alpine torrent edges,Groupement pionnier des bords de torrents alpins,D4.2
2.-3,23,Wet meadows,Prairies humides,
2.-3.1,231,Molinia meadow,Prairie à molinie,E3.5
2.-3.2,232,Cowslip meadow,Prairie à populage,E3.4
2.-3.3,233,Marshy tall-herb vegetation,Mégaphorbiée marécageuse,E5.4
2.-4,24,Raised bog,Tourbière bombée,
2.-4.1,241,Sphagnum bog,Tourbière à sphaignes,D1.11;X04
2.-5,25,Annual vegetation temporarily flooded,Végétation annuelle temporairement inondée,
2.-5.0,250,Annual vegetation temporarily flooded without vegetation,Végétation anuelle temporairement inondée sans végétation,
2.-5.1,251,Small ephemeral annual vegetation,Végétation de petites annuelles éphémères,C3.51
2.-5.1.1,2511,Dwarf communities of freshwater with Eleocharis,Communautés naines des eaux douces à Eleocharis,C3.511
2.-5.1.2,2512,Lawns with small Cyperus,Gazons à petits Cyperus,C3.5132
2.-5.1.3,2513,Dwarf communities of moist herbaceous substrates,Communautés naines des substrats humides à herbacées,C3.5133
2.-5.2,252,Vegetation of large nitrophilous annuals,Végétation de grandes annuelles nitrophiles,
3,3,"Glaciers, rocks, screes, and moraines","Glaciers, rochers, éboulis et moraines",
3.-1,31,"Glaciers, snowfields","Glaciers, névés",
3.-1.1,311,Glacier,Glacier,H4.2
3.-1.2,312,Rock glacier,Glacier rocheux,H4.3
3.-1.3,313,High-altitude snowfield (summer),Névé d'altitude (été),
3.-1.4,314,Spring snow patch,Plaque de neige au printemps,
3.-2,32,Alluvium and moraines,Alluvions et moraines,
3.-2.1,321,Alluvium,Alluvions,
3.-2.1.0,3210,Alluvium without vegetation,Alluvions sans végétation,
3.-2.1.1,3211,Alluvium with pioneer herbaceous vegetation,Alluvions avec végétation pionnière herbacée,C3.55
3.-2.2,322,Moraine,Moraine,
3.-2.2.0,3220,Moraine without vegetation,Moraine sans végétation,
3.-2.2.1,3221,Moraine with pioneer vegetation,Moraine avec végétation pionnière,
3.-3,33,Screes,Eboulis,
3.-3.1,331,Calcareous rock scree,Eboulis de roche calcaire,
3.-3.1.1,3311,Calcareous scree without vascular vegetation,Eboulis calcaire sans végétation vasculaire,
3.-3.1.2,3312,High-altitude calcareous scree (hard rock),Eboulis calcaire d'altitude (roche dure),H2.4
3.-3.1.3,3313,High-altitude calcareous schist scree,Eboulis de calcschistes d'altitude,H2.4
3.-3.1.4,3314,Moist calcareous scree,Eboulis calcaire humide,H2.4
3.-3.1.5,3315,Thermophilic calcareous scree,Eboulis calcaire thermophile,H2.6
3.-3.2,332,Siliceous rock scree,Eboulis de roche siliceuse,
3.-3.2.1,3321,Siliceous scree without vascular vegetation,Eboulis siliceux sans végétation vasculaire,
3.-3.2.2,3322,High-altitude siliceous scree,Eboulis siliceux d'altitude,
3.-3.2.3,3323,Thermophilic siliceous scree,Eboulis siliceux thermophiles,
3.-4,34,Rocky walls,Parois rocheuses,
3.-4.1,341,Calcareous rock wall,Paroi de roche calcaire,
3.-4.1.1,3411,Calcareous wall without vascular vegetation,Paroi calcaire sans végétation vasculaire,H3.2
3.-4.1.2,3412,Sunny calcareous wall with vascular vegetation,Paroi calcaire ensoleillée avec végétation vasculaire,H3.2
3.-4.1.3,3413,Shaded calcareous wall with vascular vegetation,Paroi calcaire ombragée avec végétation vasculaire,H3.2
3.-4.2,342,Siliceous rock wall,Paroi de roche siliceuse,
3.-4.2.1,3421,Siliceous wall without vascular vegetation,Paroi siliceuse sans végétation vasculaire,H3.1
