GUILDE;https://www.infospecies.ch/fr/projets/infrastructure-ecologique.html#listen;
1;sources, suintements et petits ruisseaux;Quelle, Riesenfluren, kleine Bäche
2;cours d'eau dynamiques et leurs rives;Dynamische Fliessgewässer und ihre Ufer
3;gravières, sablières;Kies- und Sandgruben
4;eaux lentes (epipotamon) et dormantes (zones littorales des lacs);Langsam fliessende und stehende Gewässer (Uferzone) und ihre Ufer
5;petits plans d'eau et végétation pionnière;Kleine Stillgewässer, Teiche
6;"roselière terrestre, bas-marais, prés à litière; saulaie buissonnante";"Landröhrichte, Flachmoore, Streuwiesen; Moor-Weidengebüsche"
7;prairies humides eutrophes;Nährstoffreiche Nasswiesen
8;forêts alluviales;Auenwälder
9;haut- et bas-marais;Hochmoore und Zwischenmoore
10;friches et adventices (agriculture);Brachen und Unkrautfluren (Landwirtschaft)
11;vergers;Hochstamm und Obstgärten
12;vignes riches en espèces ;Artenreiche Rebberge
13;"haies, bosquets, bocage; arbres isolés";"Hecken, Haine und Gehölze; isolierte Bäume"
14;"prairies et pâturages secs; prairies grasses riches en espèces";Trockenwiesen und -weiden und artenreiche Fettwiesen
15;lisières (et clairières);Waldränder (und Lichtungen)
16;forêts xéro-thermophiles;Trockenwarme Laubwälder
17;forêts mésophiles de feuillus;Laubwälder mittlerer Verhältnisse
18;landes et aulnaies vertes;Zwergstrauchheiden, Hochstaudenfluren, Grünerlengebüsche
19;forêts de conifères de montagne;Gebirgs-Nadelwälder
20;pelouses d'altitude;Gebirgs-Magerrasen
21;"rochers et falaises; éboulis";Felsen und Geröllfluren
22;milieux rudéraux (friches industrielles, gare de triage);Ruderalflur im Siedlungs- und Industriegebiet (inkl. Verkehrsflächen)
23;parcs arborés;Parks mit Bäumen
24;espèces inféodées aux bâtiments pendant la période de reproduction;Gebäude nutzende Arten zur Fortpflanzungszeit
25;paysages agricoles extensifs et richement structurés;Strukturreiche, extensive Kulturlandschaften
26;zones humides interconnectées en forêt et terres agricoles;Vernetzte Feuchtflächen im Wald und im Kulturland
