"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abortiporus biennis" "SPEED2ZERO" "Fungi" "Abortiporus biennis (Bull.) Singer" "SPECIES" "INN" NA "VU" NA "Abortiporus" "Podoscyphaceae" "Polyporales" "Agaricomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44 1.7 0.41 45.53 275.89 19.745 3.2 104.320310143333 9.2 13 335.103216382911 2500 0 1 0 1 0 "wood" 134570.563160283 "NO"
"Abrothallus bertianus" "InfoSpecies" "Fungi" "Abrothallus parmeliarum (Sommerf.) Arnold" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 3.86 0.87 17.0433333333333 174.87 18.915 6.1 16.972608785 4.3 6 107.70426814057 4900 0 1 0 1 0 "mosses_lichens" 28642881.9044533 "NO"
"Abrothallus bryoriarum" "InfoSpecies" "Fungi" "Abrothallus bryoriarum Hafellner" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 3.1 0.65 16.3 233.685 12.7 4.3 76.45701792 4.9 6.8 90.1244392498572 11025 0 1 0 1 0 "mosses_lichens" 13383759.2091955 "NO"
"Abrothallus buellianus" "InfoSpecies" "Fungi" "Abrothallus buellianus De Not." "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44.5 3.5 0.845 24.6957692307692 213.14 15.265 4.8 40.695211225 6.3 9.5 177.02220104509 10000 0 1 0 1 0 "mosses_lichens" 3115771.84841023 "NO"
"Abrothallus caerulescens" "InfoSpecies" "Fungi" "Abrothallus caerulescens I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 4.4 1.19333333333333 11.86 124.91 11.93 6.3 121.00279695 5.8 7.8 151.705938445524 9025 0 1 0 1 0 "mosses_lichens" 16820879.8595479 "NO"
"Abrothallus cetrariae" "InfoSpecies" "Fungi" "Abrothallus cetrariae I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 2.65 0.87 13.33 107.9 16.13 4.6 56.007829265 5.75 6.5 124.354709204596 10000 0 1 0 1 0 "mosses_lichens" 47111117.0393332 "NO"
"Abrothallus chrysanthus" "InfoSpecies" "Fungi" "Abrothallus chrysanthus Stein, 1879" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 3.8 0.42 14.5 285.59 21.495 4.9 273.96327155 5 7.5 75.5144626143378 4556 0 1 0 1 0 "mosses_lichens" 162608.367327407 "NO"
"Abrothallus cladoniae" "InfoSpecies" "Fungi" "Abrothallus cladoniae R.Sant. & D.Hawksw." "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "exposed_hymenium" "ascolocular" "fissitunicate" 43.7285714285714 3.6 0.65 16.08 256.58 19.81 7.6 39 5 7 638.808832187071 11025 0 1 0 1 0 "mosses_lichens" 60821.125109536 "NO"
"Abrothallus microspermus" "InfoSpecies" "Fungi" "Abrothallus microspermus Tul." "SPECIES" NA NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascolocular" "fissitunicate" 44 3.4 0.5825 15.51 168.9 11.93 4.6 76.45701792 5.5 8.5 136.783373340973 5625 0 1 0 1 0 "mosses_lichens" 587685.353599694 "NO"
"Abrothallus parmeliarum" "SPEED2ZERO" "Fungi" "Abrothallus parmeliarum (Sommerf.) Arnold" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44.1 3.53 0.65 14.75 167.82 15.67 6.1 39 5 8.5 106.494754968938 6400 0 1 0 1 0 "mosses_lichens" 964036.591594683 "NO"
