"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Body_mass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Fos" "Ter" "Aqu" "Arb" "Aer" "Verticality" "EcoTer" "EcoFresh" "EcoMar" "MajorHabitat_1" "MajorHabitat_2" "MajorHabitat_3" "MajorHabitat_4" "MajorHabitat_5" "MajorHabitat_6" "MajorHabitat_7" "MajorHabitat_8" "MajorHabitat_9" "MajorHabitat_10" "MajorHabitat_12" "MajorHabitat_13" "MajorHabitat_14" "MajorHabitat_15" "MajorHabitat_16" "MajorHabitat_17" "MajorHabitatSum" "Habitat_breadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "RangeSize_km2" "Head_length_mm" "Eye_diameter_mm" "Interorbital_dist_mm" "Internarial_dist_mm" "Eye_nostril_dist_mm" "MISSING_ALL_TRAITS"
"Alytes cisternasii" "EEA" "Amphibians" "Alytes cisternasii Boscá, 1879" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alytes" "Alytidae" "Anura" "Amphibia" "Chordata" 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6.1 50 120 "Oviparous" 2 1 6 "Nocturnal" "Carnivorous" 1 0 0 0 0 0 0 0 1 1 1 0 0.75 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 5 10 0.005278268 0.207495822 0.095038307 0 15.21420002 657.9792505 5956.27628 50.90347999 505.7217466 1.325 290400 12.5 4.9 4.5 3.6 3.3 "NO"
"Alytes dickhilleni" "EEA" "Amphibians" "Alytes dickhilleni Arntzen & García-París, 1995" "SPECIES" NA "Yes" NA "ENDANGERED" "Alytes" "Alytidae" "Anura" "Amphibia" "Chordata" 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4.11 55 40 "Oviparous" 2 1.56392602739726 6.8 "Nocturnal" "Carnivorous" 1 0 0 0 0 0 0 0 1 1 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 4 6 0.004172807 0.197309548 0.010112216 0 14.27511307 492.7357988 6319.307596 47.40264739 712.579856 2.167 96800 14.6 5.4 4.6 3.8 4.2 "NO"
"Alytes muletensis" "EEA" "Amphibians" "Alytes muletensis (Sanchíz & Adrover, 1979)" "SPECIES" NA "Yes" NA "ENDANGERED" "Alytes" "Alytidae" "Anura" "Amphibia" "Chordata" 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2.31 40 13.5 "Oviparous" 3 1.25 5 "Nocturnal" "Carnivorous" 1 0 0 0 0 0 0 0 1 0 1 0 0.75 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 3 4 0.003609654 0.030292221 0.011761884 0 16.618398 678.8715264 4768.431809 51.96806711 24.17431364 2.996 36300 11.7 4.2 3.4 3.4 3.5 "NO"
"Alytes obstetricans" "SPEED2ZERO" "Amphibians" "Alytes obstetricans (Laurenti, 1768)" "SPECIES" "INN" NA "VU" "LEAST_CONCERN" "Alytes" "Alytidae" "Anura" "Amphibia" "Chordata" 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 13.4 55 112 "Oviparous" 2.5 1.5013698630137 7 "Crepuscule" "Carnivorous" 1 0 0 0 0 0 0 1 1 1 1 0 0.5 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 4 6 0.009517399 0.182062376 0.07192912 0 11.45776085 834.4608864 5628.775446 23.38487004 445.6897747 1.278 1464100 12.6 5.1 3.8 3.4 3.3 "NO"
"Atylodes genei" "EEA" "Amphibians" "Speleomantes genei (Temminck & Schlegel, 1838)" "SPECIES" NA "Yes" NA "VULNERABLE" "Speleomantes" "Plethodontidae" "Caudata" "Amphibia" "Chordata" 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3.92 115 10 "Oviparous" 3.5 1 10 "Cathemeral" "Carnivorous" 0 1 0 0 0 0 0 0 1 1 0 0 0.5 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 6 2 0.007635246 0.142956868 0.079656249 0 12.44866282 821.494768 6669.757398 28.40754523 774.4948346 1.278 3291200 12.6 3.1 4.5 4.31 2.915 "NO"
"Bombina bombina" "EEA" "Amphibians" "Bombina bombina (Linnaeus, 1761)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Bombina" "Bombinatoridae" "Anura" "Amphibia" "Chordata" 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5.9 50 190 "Oviparous" 2.5 2.5 20 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 1 1 1 0 0 0.25 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 5 10 0.005679482 0.234382088 0.071443168 0.009960148 7.733316894 593.1547253 9001.19508 29.26898168 222.7698844 6.361 4114000 14.6 4 3.8 1.5 4.2 "NO"
"Bombina orientalis" "InfoSpecies" "Amphibians" "Bombina orientalis (Boulenger, 1890)" "SPECIES" "NEO" NA NA "LEAST_CONCERN" "Bombina" "Bombinatoridae" "Anura" "Amphibia" "Chordata" 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 13.1 47 147.5 "Oviparous" 2.5 3.5 20 "Nocturnal" "Carnivorous" 1 0 0 0 0 0 0 1 1 1 0 0 0.25 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 6 11 0.005535061 0.125891351 0.062244517 0.005704986 5.474014268 761.6726874 12530.98481 94.05403526 329.3550223 3.017 1560900 12.75 4 2.25 2.15 2.98 "NO"
"Bombina pachypus" "EEA" "Amphibians" "Bombina pachypus (Bonaparte, 1838)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Bombina" "Bombinatoridae" "Anura" "Amphibia" "Chordata" 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 9.19 45.75 300 "Oviparous" 3 1.79166666666667 16 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 1 1 1 0 0 0.25 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 5 6 0.012823833 0.165468388 0.057948117 0 13.71875531 788.2304747 6301.274043 33.1086223 374.9905234 3.932 290400 10.82 5.1 4.15 1.5 3.3 "NO"
"Bombina variegata" "SPEED2ZERO" "Amphibians" "Bombina variegata (Linnaeus, 1758)" "SPECIES" "INN" NA "VU" "LEAST_CONCERN" "Bombina" "Bombinatoridae" "Anura" "Amphibia" "Chordata" 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 6.77 50 107.5 "Oviparous" 2.25 1.5013698630137 29 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 1 1 1 0 0 0.25 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 6 9 0.008190428 0.15349923 0.076496537 1.79761e-07 9.721775874 869.3465819 7052.284651 26.76825486 534.5881402 7.106 2044900 11.7 4.9 4.5 3.4 3.3 "NO"
"Bufo bufo" "SPEED2ZERO" "Amphibians" "Bufo bufo (Linnaeus, 1758)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Bufo" "Bufonidae" "Anura" "Amphibia" "Chordata" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 164.75 150 7666 "Oviparous" 3.5 2.5 40 "Crepuscule" "Carnivorous" 1 0 0 0 0 0 0 0 1 1 0 0 0.5 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 6 15 0.004741706 0.123999061 0.042595557 0.010485951 6.069006163 637.8544254 9069.015891 34.95859237 295.8075773 6.838 13999700 20.4 9 10.1 3.5 4.85 "NO"
