"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Riparian_sp" "Meadow_sp" "Overwinter_stage" "BodyLength_mm" "BodyWidth_mm" "Litter_size" "Flight_capacity" "Wing_length_mm" "Wing_width_mm" "Wingspan_mm" "Diet" "Diet_WoodyFlower" "Diet_HerbFlower" "Diet_Fungi" "Diet_Scav" "Diet_Mineral" "LARVA_Diet_range" "LARVA_Diet_Grass" "LARVA_Diet_Herbs" "LARVA_Diet_Woody" "LARVA_DietPart_Flower" "LARVA_DietPart_Leaf" "LARVA_DietPart_Bud" "LARVA_DietPart_Stem" "nGenus" "nFamily" "PrimaryHostplantFamily" "SecondaryHostplantFamily" "HostPlantIndex" "Ter" "Aqu" "Arb" "Aer" "CanopyAffinity" "Biotope_range" "HAB_MesoGrass" "HAB_DryGrass" "HAB_Shrubs" "HAB_Forests" "HAB_TallGrass" "HAB_Wetlands" "HAB_Water" "HAB_Rocks" "HAB_Human" "LARVA_Soil" "LARVA_Ground" "LARVA_Field" "LARVA_Shrubs" "LARVA_Forests" "Basking_dorsalA" "Basking_dorsalR" "Basking_wings" "EIV_Temp" "AnnuMeanTemp" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abrostola agnorista" "SPEED2ZERO" "Insects" "Abrostola agnorista Dufay, 1956" "SPECIES" "INN" NA NA NA "Abrostola" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 "larva" 10 3 3 0.272727272727273 15 7.5 24.75 "Herbivorous" 0 1 0 0 1 "narrow_oligophag" 0 1 0 1 1 0 0 1 1 "Fabaceae" "None" 1 0 0 1 1 "Mixed canopy (open affinity)" "stenotope" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 4 8.03 0 1 1 1 0 0.2 33032.8762245186 "YES"
"Abrostola asclepiadis" "SPEED2ZERO" "Insects" "Abrostola asclepiadis (Denis & Schiffermüller), 1775" "SPECIES" "INN" NA NA NA "Abrostola" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 "larva" 9 2 2 0.272727272727273 15.5 9 30 "Herbivorous" 0 1 0 0 0 "narrow_oligophag" 0 1 0 1 1 0 0 2 1 "Fabaceae" "None" 0.447 0 0 1 1 "Mixed canopy (open affinity)" "oligotope" 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 4 8.21 0 1 1 0 0 0.2 881820.929866999 "YES"
"Abrostola tripartita" "SPEED2ZERO" "Insects" "Abrostola tripartita (Hufnagel, 1766)" "SPECIES" "INN" NA NA NA "Abrostola" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "larva" 11.5 2.5 1 0.454545454545455 13 7 22.5 "Herbivorous" 0 1 0 0 0 "narrow_oligophag" 0 1 0 1 1 0 0 1 1 "Fabaceae" "None" 0.577 0 0 1 1 "Mixed canopy (open affinity)" "stenotope" 1 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 3 8.14 0 0 1 0 0 0 17430.4251305286 "YES"
"Abrostola triplasia" "SPEED2ZERO" "Insects" "Abrostola triplasia (Linnaeus, 1758)" "SPECIES" "INN" NA NA NA "Abrostola" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 "larva" 13 3 3 0.272727272727273 12.5 8 25.75 "Herbivorous" 0 1 0 0 0 "oligophag" 1 0 0 1 1 0 0 2 1 "Fabaceae" "None" 0.25 0 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 0 1 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 6.89 0 0 1 1 1 0.2 293811.650087237 "YES"
"Acanthopsyche atra" "InfoSpecies" "Insects" "Acanthopsyche atra (Linnaeus, 1767)" "SPECIES" "INN" NA "NT (4)" NA "Acanthopsyche" "Psychidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 "cocoon" 17 3 3 0.818181818181818 24 14.5 42.5 "Herbivorous" 0 1 0 0 0 "oligophag" 0 1 0 1 1 0 0 6 3 "Brassicaceae" "None" 0.105 1 0 1 1 "Mixed canopy (open affinity)" "oligotope" 1 1 1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 4 9.29 0 1 1 0 0 1 556384.525850093 "YES"
"Acherontia atropos" "SPEED2ZERO" "Insects" "Acherontia atropos Linnaeus, 1758" "SPECIES" "INM" NA NA NA "Acherontia" "Sphingidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 "cocoon" 21.5 3.5 5 0.454545454545455 21.5 14 42 "Herbivorous" 0 1 0 0 0 "oligophag" 0 1 0 1 1 0 0 4 3 "Brassicaceae" "None" 0.192 0 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 0 0 2 9.53 1 1 1 1 0 1 32828.5806812109 "YES"
"Achlya flavicornis" "SPEED2ZERO" "Insects" "Achlya flavicornis Linnaeus, 1758" "SPECIES" "INN" NA NA NA "Achlya" "Drepanidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 "larva" 14 4 2 0.636363636363636 14 6 28 "Herbivorous" 0 1 0 0 0 "narrow_oligophag" 1 0 0 0 1 0 0 1 2 "Poaceae" "None" 0.577 0 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 0 4 6.9 0 0 1 1 0 0.2 17164.1763985609 "YES"
"Acontia lucida" "SPEED2ZERO" "Insects" "Acontia lucida Hufnagel, 1766" "SPECIES" "INN" NA NA NA "Acontia" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 "larva" 9 2.5 2 0.0909090909090909 12.5 8 27.75 "Herbivorous" 0 1 0 0 0 "oligophag" 0 1 0 1 1 0 0 1 1 "Fabaceae" "None" 0.354 0 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 6.64 0 0 1 1 1 0.133333333333333 97514.2703442316 "YES"
"Acosmetia caliginosa" "InfoSpecies" "Insects" "Acosmetia caliginosa (Hübner, 1813)" "SPECIES" "INN" NA NA NA "Acosmetia" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 "larva" 13.5 2.5 4 0.0909090909090909 18 11 30 "Herbivorous" 0 1 0 0 0 "narrow_oligophag" 0 1 0 0 1 0 0 1 1 "Fabaceae" "None" 0.577 0 0 1 1 "Mixed canopy (open affinity)" "stenotope" 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 4 9.28 0 1 1 1 0 0.2 148771.222418834 "YES"
"Acronicta aceris" "SPEED2ZERO" "Insects" "Acronicta aceris (Linnaeus, 1758)" "SPECIES" "INN" NA NA NA "Acronicta" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 "larva" 10.5 2.5 2 0.181818181818182 14.9475 7 24 "Herbivorous" 0 1 0 0 1 "narrow_oligophag" 0 0 1 0 1 0 0 1 1 "Fabaceae" "None" 0.577 0 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 1 1 0 1 1 0 0 0 0 1 1 0 0 1 0 0 1 4.89 0 0 1 1 1 0.2 96861.6431973308 "YES"
