"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Riparian_sp" "Sex_dimporh" "Territoriality" "BodyLength_min" "BodyLength_mm" "BodyLength_max" "LARVA_BodyLength_min" "LARVA_BodyLength_mm" "LARVA_BodyLength_max" "BodyCol_black" "BodyCol_blue" "BodyCol_brown" "BodyCol_gray" "BodyCol_green" "BodyCol_orange" "BodyCol_pink" "BodyCol_red" "BodyCol_violet" "BodyCol_white" "BodyCol_yellow" "BodyColType_pigment" "BodyColType_pruinesc" "BodyColType_structur" "BodyPatterns_plain" "BodyPatterns_spotted" "BodyPatterns_striped" "Flight_mode_flier" "Flight_mode_percher" "Hindwing_length_mm" "Wing_Pigment" "WP_pattern" "WP_symmetry" "WP_dimorph" "WPColor_cover" "WPCol_amber" "WPCol_black" "WPCol_blue" "WPCol_brown" "WPCol_iredesc" "WPCol_orange" "WPCol_prunesc" "WPCol_red" "WPCol_yellow" "Diet" "Ter" "Aqu" "Aer" "HAB_Ephemeral" "HAB_Lake" "HAB_Pond" "HAB_River" "HAB_Stream" "HAB_Wetland" "LARVA_Biotope_range" "LARVA_Stillwater" "LARVA_Watercourses" "LARVA_Moor" "EIV_Water_trophy" "EIV_Temp" "LARVA_EIV_Drought" "EGG_EIV_Drought" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Aeshna affinis" "SPEED2ZERO" "Insects" "Aeshna affinis Vander Linden, 1820" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "strong" "territorial" 57 61.5 66 29 33 37 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 39.5 "no" "stripes" "hindwing" "weakly" 0.02 0 1 0 0 0 0 0 0 1 "Carnivorous" 1 1 1 1 0 1 0 0 0 "oligotop" 1 0 1 0.366666666666667 11 2 2 0 1 0 0 0 18894266.107733 "NO"
"Aeshna caerulea" "SPEED2ZERO" "Insects" "Aeshna caerulea (Ström, 1783)" "SPECIES" "INN" NA "VU" "LEAST_CONCERN" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "strong" "territorial" 54 59 64 36 38 40 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 39 "no" "stripes" "hindwing" "weakly" 0.31 0 1 0 0 0 0 0 1 1 "Carnivorous" 1 1 1 0 0 0 0 0 1 "oligotop" 1 0 1 0.1 3 0 0 0 0 1 1 1 1392547.58172014 "NO"
"Aeshna crenata" "EEA" "Insects" "Aeshna crenata Hagen, 1856" "SPECIES" NA "No" NA "LEAST_CONCERN" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "strong" "territorial" 62 78.5 76 37 52.5 60 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 52 "no" "dots" "hindwing" "strongly" 0.02 0 1 0 0 0 0 0 1 0 "Carnivorous" 1 1 1 0 1 0 0 0 1 "eurytop" 1 0 1 0.366666666666667 10 0 0 1 1 1 1 0 1020903.35284089 "NO"
"Aeshna cyanea" "SPEED2ZERO" "Insects" "Aeshna cyanea (Müller, 1764)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "strong" "territorial" 67 71.5 76 38 41.5 45 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 48 "no" "stripes" "symmetric" "not" 0.02 0 1 0 0 0 0 0 0 0 "Carnivorous" 1 1 1 0 1 1 0 0 1 "eurytop" 1 1 1 1 10.5 0 0 0 1 1 1 0 3660733.83217128 "NO"
"Aeshna grandis" "SPEED2ZERO" "Insects" "Aeshna grandis (Linnaeus, 1758)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "strong" "territorial" 70 73.5 77 41 43.5 46 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 45 "no" "stripes" "hindwing" "weakly" 0.25 0 1 0 0 0 0 0 1 1 "Carnivorous" 1 1 1 0 1 0 0 0 0 "eurytop" 1 0 1 0.6 12 0 0 0 1 1 1 0 3660733.83217128 "NO"
"Aeshna isoceles" "SPEED2ZERO" "Insects" "Aeshna isoceles (Müller, 1767)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "medium" "territorial" 62 64 66 39 40.5 42 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 44.5 "no" "stripes" "hindwing" "not" 0.31 0 1 0 0 0 0 0 0 1 "Carnivorous" 1 1 1 0 0 0 0 0 0 "oligotop" 1 0 1 0.366666666666667 11.5 0 0 0 1 0 0 0 3660733.83217128 "NO"
"Aeshna juncea" "SPEED2ZERO" "Insects" "Aeshna juncea (Linnaeus, 1758)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "strong" "territorial" 65 72.5 80 37 40.5 44 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 1 0 44 "no" "dots" "hindwing" "weakly" 0.31 0 1 0 0 0 0 0 0 1 "Carnivorous" 1 1 1 0 1 1 0 0 1 "oligotop" 1 0 1 0.1 6 0 0 0 1 1 1 1 82534895.8109524 "NO"
"Aeshna mixta" "SPEED2ZERO" "Insects" "Aeshna mixta Latreille, 1805" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "strong" "territorial" 56 60 64 30 32.5 35 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 39.5 "no" "stripes" "symmetric" "strongly" 0.05 0 1 0 0 0 0 0 1 1 "Carnivorous" 1 1 1 0 1 0 1 0 0 "oligotop" 1 1 1 0.366666666666667 11 0 0 1 1 0 0 0 63040692.7283765 "NO"
"Aeshna serrata" "EEA" "Insects" "Aeshna serrata Hagen, 1856" "SPECIES" NA "No" NA "LEAST_CONCERN" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "strong" "territorial" 62 78 76 48 52.5 44 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 50.5 "no" "stripes" "hindwing" "weakly" 0.31 0 1 0 0 0 0 0 1 1 "Carnivorous" 1 1 1 0 1 0 0 0 1 "stenotop" 1 0 1 0.633333333333333 4 0 0 0 1 1 1 0 4080918.14690077 "NO"
"Aeshna subarctica" "InfoSpecies" "Insects" "Aeshna subarctica Walker, 1908" "SPECIES" NA NA NA "LEAST_CONCERN" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "weak" "territorial" 67 74 77 37 43.5 42 1 1 1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 1 0 42.5 "no" "stripes" "hindwing" "weakly" 0.02 0 1 0 0 0 0 0 0 1 "Carnivorous" 1 1 1 0 0 0 0 0 1 "oligotop" 1 0 1 0.366666666666667 10 0 0 0 1 1 1 0 29462959.3270463 "NO"
"Aeshna subarctica subsp. elisabethae" "SPEED2ZERO" "Insects" "Aeshna subarctica elisabethae Djakonov, 1922" "SUBSPECIES" "INN" NA "EN" NA "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "weak" "territorial" 70 73 76 38 40 42 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 50.5 "yes" "stripes" "symmetric" "strongly" 0.87 0 1 0 0 1 0 0 0 0 "Carnivorous" 1 1 1 0 0 0 0 0 0 "stenotop" 0 0 1 0.1 4.5 0 0 0 0 1 1 0 4080918.14690077 "NO"
"Aeshna viridis" "EEA" "Insects" "Aeshna viridis Eversmann, 1836" "SPECIES" NA "No" NA "LEAST_CONCERN" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "strong" "territorial" 65 70 76 38 43 47 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 43 "no" "dots" "hindwing" "strongly" 0.02 0 1 0 0 0 0 0 0 1 "Carnivorous" 1 1 1 0 1 0 0 0 1 "stenotop" 1 0 1 0.1 10 0 0 0 1 1 1 0 1108155.12569868 "NO"
"Anax ephippiger" "SPEED2ZERO" "Insects" "Anax ephippiger (Burmeister, 1839)" "SPECIES" "INM" NA NA "LEAST_CONCERN" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "weak" "territorial" 61 65.5 70 42 43 44 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 0 44.5 "no" "dots" "hindwing" "weakly" 0.02 0 1 0 0 0 0 0 1 0 "Carnivorous" 1 1 1 0 0 1 0 0 1 "oligotop" 1 0 0 0.366666666666667 10 1 2 0 1 0 0 0 45416317.9594805 "NO"
