"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "Stratum" "Mode_locomotion" "Web_building" "Ballooning" "BodyLength_mm" "Egg_size_mm" "Cribellum" "Abdomen_length_mm" "Abdomen_height_mm" "Abdomen_width_mm" "Ale_mm" "Ame_mm" "Ple_mm" "Pme_mm" "Cephalothor_length_mm" "Cephalothor_height_mm" "Cephalothor_width_mm" "Leg1_length_mm" "Leg2_length_mm" "Leg3_length_mm" "Leg4_length_mm" "Femur1_length_mm" "Femur1_width_mm" "Femur2_length_mm" "Femur3_length_mm" "Femur4_length_mm" "Femur4_width_mm" "Patella1_length_mm" "Patella2_length_mm" "Patella3_length_mm" "Patella4_length_mm" "Tibia1_length_mm" "Tibia1_width_mm" "Tibia2_length_mm" "Tibia3_length_mm" "Tibia4_length_mm" "Tibia4_width_mm" "Metatarsus1_length_mm" "Metatarsus2_length_mm" "Metatarsus3_length_mm" "Metatarsus4_length_mm" "Tarsus1_length_mm" "Tarsus2_length_mm" "Tarsus3_length_mm" "Tarsus4_length_mm" "Activity" "Diet" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Hunting_guild1" "Hunting_guild2" "Fang_length_mm" "Venom_gland_size_mm3" "Prey_size_mm" "Prey_diversity" "Fos" "Ter" "Arb" "Aer" "HAB_Bark" "HAB_Caves" "HAB_Foliage" "HAB_Ground" "HAB_Herbs" "HAB_Litter" "HAB_Rocks" "HAB_Sand" "Moisture_class" "EIV_Moisture" "Light_class" "EIV_Light" "Dispersal_ability" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Acantholycosa norvegica" "InfoSpecies" "Spiders" "Acantholycosa norvegica (Thorell, 1872)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Acantholycosa" "Lycosidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "walking" "yes" "rare" 10 0.778 "absent" 4.6475 5 3.13 0.21 0.0796666666666667 0.13 0.19 4.26525 2.55 2.84057142857143 12.9 11.98 8.47 11.86 3.275 0.78 3.14 2.3 2.88 0.74 1.64 1.45 1.25333333333333 1.53 2.67591666666667 0.64 1.79333333333333 1.75 1.84 0.44 2.57 2.725 2.08 3.9 0.865 1.24 0.63 1.42 "nocturnal" "Carnivorous" 1 0 0 0 0 0 0 0 "sheet web" "sheet web builder" 0.915 0.2361458565 10.0272727272727 3 1 1 0 0 0 1 0 1 0 0 0 0 "semi-humid" 0.625 "open" 0.625 0.5 2896701.06498997 "NO"
"Acantholycosa pedestris" "InfoSpecies" "Spiders" "Acantholycosa pedestris (Simon, 1876)" "SPECIES" "INN" NA NA "VULNERABLE" "Acantholycosa" "Lycosidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "walking" "no" "Yes" 9.25 1.066 "absent" 6.49 2.9 2.34 0.13 0.08 0.13 0.11 3.4 1.995 2.38 8.52 8 6.9 7.52 2.2 0.8 2.21 1.5 1.75 0.59 1 0.94 1.15 1 1.775 0.39 1.58 1.03 1.89 0.34 1.65 1.55 1.5 1.44 0.7 0.77 0.646666666666667 0.765 "diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 "ground hunter" "foliage runner" 1 1.700319339 10.0272727272727 1.141138626 0 1 0 0 0 0 0 0 0 0 0 0 "very dry" 0.25 "partly shaded" 0.75 1 2896701.06498997 "NO"
"Acartauchenius scurrilis" "InfoSpecies" "Spiders" "Acartauchenius scurrilis (O.Pickard-Cambridge, 1873)" "SPECIES" "INN" NA NA "VULNERABLE" "Acartauchenius" "Linyphiidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "hanging" "yes" "Yes" 1.825 0.4754 "absent" 0.725 1.395 0.56 0.02 0.04 0.025 0.05 0.782857142857143 0.24 0.65 1.235 1.205 1.065 1.97 0.36 0.19 0.36 0.32 0.375 0.132 0.175 0.165 0.15 0.155 0.57 0.13 0.27 0.16 0.38 0.07 0.275 0.195 0.23 0.29 0.27 0.225 0.2 0.245 "cathemeral" "Carnivorous" 1 0 0 0 0 0 0 0 "sheet web" "aerial web builder" 0.19 0.0802802223333333 7.7125 3.357077713 1 1 1 0 0 1 0 0 0 0 0 0 "very dry" 0.5 "open" 0.75 1 1.2e+07 "NO"
"Aculepeira carbonaria" "SPEED2ZERO" "Spiders" "Aculepeira carbonaria (L.Koch, 1869)" "SPECIES" "INN" NA NA "DATA_DEFICIENT" "Aculepeira" "Araneidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "hanging" "yes" "Yes" 6.186 0.74078 "absent" 5.09333333333333 2.19 3.25 0.05 0.12 0.1 0.11 2.70979086698317 1.4 1.9875 7.1 5.475 6 7.52 2.1 0.506666666666667 2.19 1.65 2.13 0.42 0.77 1.1 0.78 0.74 1.95 0.29 1.97 0.8 1.12 0.28 1.545 1.91 0.933333333333333 1.4 1.11 0.795 0.845 0.855 "nocturnal" "Carnivorous" 1 0 0 0 0 0 0 0 "orb web" "aerial web builder" 0.44 0.082443149 10.0272727272727 1.684761219 0 1 1 0 0 0 0 0 1 0 0 0 "very dry" 0.5 "semi-open" 0.75 0.75 1.2e+07 "NO"
"Aculepeira ceropegia" "SPEED2ZERO" "Spiders" "Aculepeira ceropegia (Walckenaer, 1802)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Aculepeira" "Araneidae" "Araneae" "Arachnida" "Arthropoda" "ground" "hanging" "yes" "Yes" 11 0.737574222222222 "absent" 5.1 4.6 6.05 0.25 0.21 0.16 0.19 4.07166666666667 1.955 3.53 18.365 15.3 12.5466666666667 18.4 4.2 0.86 3.25 3.38333333333333 4.2 0.96 1.7 2.06 0.59 1.3 3.405 0.51 2.815 2.19 3.7 0.72 4.04333333333333 3.705 3.43666666666667 4.36 2.30333333333333 2.105 2.55 1.885 "nocturnal" "Carnivorous" 1 0 0 0 0 0 0 0 "orb web" "aerial web builder" 1.374 0.2361458565 7.7125 1.432234197 0 1 1 0 0 0 0 0 0 0 0 0 "very dry" 0.375 "semi-open" 0.625 1 2896701.06498997 "NO"
"Aelurillus v-insignitus" "InfoSpecies" "Spiders" "Aelurillus v-insignitus (Clerck, 1757)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Aelurillus" "Salticidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "walking" "no" "rare" 5.5625 0.79 "absent" 2.77 1.54 1.71666666666667 0.1 0.08 0.08 0.05 2.18717647058824 0.89 1.515 4.55 3.9825 3.8 5.05 0.555 0.29 0.465 1 1.3675 0.22 0.63 0.514 0.5 0.59 1.05 0.18 0.645 0.61 1.26 0.16 0.553333333333333 0.93 0.882 0.855 0.61 0.5 0.56 0.575 "diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 "other hunters" "ground runner" 0.3614 0.07310076575 3.82916666666667 3.555555556 0 1 1 0 0 0 0 0 1 0 0 1 "dry" 0.25 "partly shaded" 0.625 0.5 1.2e+07 "NO"
"Agalenatea redii" "SPEED2ZERO" "Spiders" "Agalenatea redii (Scopoli, 1763)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Agalenatea" "Araneidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "hanging" "yes" "Yes" 6.925 0.4754 "present" 3.6725 2.51 2.2 0.165 0.17 0.14 0.14 3.00111111111111 1.55 2.005 8.3 7.34 6 6.66 2.095 0.45 2.525 2.07 2.13 0.3 0.975 0.86 0.796666666666667 0.94 2.0025 0.29 1.97 0.81 1.7 0.26 1.31 2.01 1.1 1.195 0.98 0.77 0.7 0.7 "nocturnal" "Carnivorous" 1 0 0 0 0 0 0 0 "orb web" "aerial web builder" 0.55 0.700621617 7.7125 4.31858936 1 1 1 0 0 0 0 0 0 0 0 1 "very dry" 0.625 "open" 0.5 0.5 1.2e+07 "NO"
"Agelena labyrinthica" "SPEED2ZERO" "Spiders" "Agelena labyrinthica (Clerck, 1757)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Agelena" "Agelenidae" "Araneae" "Arachnida" "Arthropoda" "ground" "walking" "yes" "Yes" 12.6281818181818 0.708181818181818 "absent" 7.16666666666667 4.7 4.6 0.26 0.28 0.24 0.22 5.05333333333333 2.75 3.53 16.37 15.27 14.795 19.755 4.565 0.86 4.425 4.26 5.445 1.45 1.78 1.78 1.645 1.755 3.725 0.61 3.425 3.1 4.24 0.63 4.08 3.86 3.97 6.04 2.17 1.98 1.87 2.325 "diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 "sheet web" "sheet web builder" 1.97558333333333 0.2361458565 7.7125 5.67665152 1 0 0 0 0 1 0 0 0 0 0 1 "very dry" 0.375 "partly shaded" 0.75 1 1.2e+07 "NO"
"Agnyphantes expunctus" "InfoSpecies" "Spiders" "Agnyphantes expunctus (O.Pickard-Cambridge, 1875)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Agnyphantes" "Linyphiidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "hanging" "yes" "Yes" 2.15 0.760014 "absent" 1.57 1.12 1.29333333333333 0.064 0.044 0.07 0.04 0.906 0.295 0.79 2.675 2.285 1.99 2.975 0.765 0.22 0.81 0.43 0.8 0.15 0.27 0.2 0.23 0.275 0.49 0.16 0.59 0.4 0.64 0.05 0.4575 0.53 0.47 0.7 0.33 0.31 0.26 0.42 "nocturnal" "Carnivorous" 1 0 0 0 0 0 0 0 "sheet web" "aerial web builder" 0.16 0.131268128888889 3.82916666666667 3.769230769 1 1 1 0 0 1 0 0 0 0 0 0 "humid" 0.625 "partly shaded" 0.875 0.75 2896701.06498997 "NO"
"Agroeca brunnea" "SPEED2ZERO" "Spiders" "Agroeca brunnea (Blackwall, 1833)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Agroeca" "Liocranidae" "Araneae" "Arachnida" "Arthropoda" "ground" "walking" "no" "Yes" 7.08333333333333 0.47 "absent" 3.97 2.51 2.285 0.18 0.465 0.19 0.1 3.04 1.52 2.479625 4.98 5.82 4.28 5.46 1.18 0.45 1.305 1.6 2.01 0.385 0.92 0.65 0.9 1.11 0.915 0.29 1.37 0.95 1.07 0.265 0.815 1.02 0.78 1.55 0.46 0.69 0.55 0.565 "nocturnal" "Carnivorous" 1 0 0 0 0 0 0 0 "ground hunter" "foliage runner" 0.7475 0.700621617 3.82916666666667 1.739130435 0 1 1 0 0 0 0 0 1 1 0 0 "semi-humid" 0.625 "shaded" 0.375 0.5 2896701.06498997 "NO"
"Agroeca cuprea" "SPEED2ZERO" "Spiders" "Agroeca cuprea Menge, 1873" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Agroeca" "Liocranidae" "Araneae" "Arachnida" "Arthropoda" "ground" "walking" "no" "Yes" 4.23333333333333 0.760014 "present" 4.26666666666667 4.47 3.25 0.09 0.15 0.12 0.14 2.75 1.6 2.15666666666667 9.425 9.36 8.55 11.86 2.7 0.55 2.3 2.25 3.33 0.64 1.1425 1.325 0.83 1.01 1.775 0.25 1.805 1.92 2.4 0.26 1.65 2 2.3 3.7 1.35 1.36 1.2 1.2 "nocturnal" "Carnivorous" 1 0 0 0 0 0 0 0 "ground hunter" "foliage runner" 0.97 0.435126162875 7.7125 4.170638704 1 1 0 0 0 0 0 0 0 1 0 1 "dry" 0.125 "partly shaded" 0.75 1 2896701.06498997 "NO"
"Agroeca proxima" "InfoSpecies" "Spiders" "Agroeca proxima (O.Pickard-Cambridge, 1871)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Agroeca" "Liocranidae" "Araneae" "Arachnida" "Arthropoda" "ground" "walking" "no" "rare" 5.375 0.636695018181818 "present" 3.545 2.38 2.75 0.1 0.09 0.09 0.07 2.312 1.45666666666667 2.09 10.1566666666667 8 5.63 9.01 2.2 0.39 2.58 2.09 2.15 0.3 0.77 0.89 0.54 0.48 2.2 0.23 2.17 1.13 1.81 0.16 1.31 1.55 1.18 1.84 0.865 0.67 0.55 0.61 "diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 "ground hunter" "foliage runner" 0.42 0.0139294768333333 3.82916666666667 5.881118881 0 1 0 0 0 0 0 0 0 0 0 0 "semi-humid" 0.5 "partly shaded" 0.625 0.75 2896701.06498997 "NO"
"Agyneta affinis" "SPEED2ZERO" "Spiders" "Agyneta affinis (Kulczyński, 1898)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Agyneta" "Linyphiidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "hanging" "yes" "Yes" 1.75 0.47 "absent" 0.575 1.12 0.56 0.02 0.015 0.048 0.05 0.71 0.42 0.5875 1.455 1.245 1.065 1.97 0.39 0.19 0.36 0.305 0.42 0.132 0.175 0.165 0.115 0.145 0.4 0.13 0.235 0.22 0.44 0.1 0.26 0.235 0.22 0.465 0.2 0.225 0.22 0.245 "cathemeral" "Carnivorous" 1 0 0 0 0 0 0 0 "sheet web" "aerial web builder" 0.13 0.0802802223333333 10.0272727272727 2 1 1 1 0 0 1 0 1 0 0 0 0 "semi-humid" 0.5 "partly shaded" 0.625 0.75 2896701.06498997 "NO"
"Agyneta alpica" "SPEED2ZERO" "Spiders" "Agyneta alpica Tanasevitch, 2000" "SPECIES" "INN" NA NA NA "Agyneta" "Linyphiidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "hanging" "yes" "rare" 1.75 0.47 "absent" 1.49333333333333 1.12 1.15 0.064 0 0.0775 0.08 0.84 0.372 0.73 2.1 1.87 1.99 2.975 0.765 0.135 0.66 0.51 1.13 0.15 0.315 0.25 0.275 0.27 0.73 0.16 0.59 0.51 0.41 0.1 0.56 0.53 0.47 0.44 0.33 0.335 0.31 0.275 "diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 "sheet web" "aerial web builder" 0.207666666666667 0.131268128888889 3.82916666666667 2 1 1 1 0 0 1 0 0 0 0 0 0 "semi-humid" 0.625 "semi-open" 0.625 0.5 2896701.06498997 "YES"
"Agyneta cauta" "InfoSpecies" "Spiders" "Agyneta cauta (O.Pickard-Cambridge, 1903)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Agyneta" "Linyphiidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "hanging" "yes" "Yes" 2.5 0.758809579439252 "absent" 1.74 0.94 1.39 0.06 0.055 0.065 0.058 0.8136 0.235 0.668333333333333 2.675 1.87 1.845 2.125 0.88 0.19 0.98 0.51 0.8 0.14 0.27 0.2 0.22 0.275 0.49 0.11 0.505 0.345 1.04 0.07 0.625 0.41 0.47 0.51 0.405 0.33 0.31 0.44 "cathemeral" "Carnivorous" 1 0 0 0 0 0 0 0 "sheet web" "aerial web builder" 0.215 0.0802802223333333 3.82916666666667 4 1 1 0 0 0 1 0 1 0 0 0 1 "semi-humid" 0.625 "partly shaded" 0.625 0.75 1.2e+07 "NO"
"Agyneta conigera" "InfoSpecies" "Spiders" "Agyneta conigera (O.Pickard-Cambridge, 1863)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Agyneta" "Linyphiidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "hanging" "yes" "rare" 2.05 0.4754 "absent" 1.74 0.94 1.06666666666667 0.07 0.02 0.07 0.06 1.05875 0.35 0.85 2.675 2.285 1.71 2.975 0.87 0.22 0.66 0.48 0.93 0.11 0.23 0.29 0.27 0.27 0.525 0.11 0.59 0.345 1.04 0.1 0.625 0.53 0.47 0.51 0.56 0.31 0.26 0.44 "diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 "sheet web" "aerial web builder" 0.229625 0.131268128888889 10.0272727272727 4.106505201 1 1 1 0 0 1 0 0 0 0 0 1 "very humid" 0.625 "partly shaded" 0.5 0.5 2896701.06498997 "NO"
"Agyneta fuscipalpa" "InfoSpecies" "Spiders" "Agyneta fuscipalpa (C.L.Koch, 1836)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Agyneta" "Linyphiidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "hanging" "yes" "Yes" 1.878 0.799078 "present" 0.896666666666667 1.12 0.5315 0.046 0.015 0.025 0.025 0.723333333333333 0.256666666666667 0.526666666666667 1.35 1.205 1.065 1.97 0.36 0.19 0.34 0.415 0.375 0.05 0.175 0.165 0.115 0.145 0.64 0.08 0.235 0.22 0.23 0.07 0.26 0.195 0.23 0.29 0.183 0.25 0.17 0.21 "diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 "sheet web" "aerial web builder" 0.153333333333333 0.07310076575 7.7125 1.466587659 1 1 1 0 0 1 0 0 0 0 0 0 "very dry" 0.625 "open" 0.875 1 2896701.06498997 "NO"
"Agyneta gulosa" "SPEED2ZERO" "Spiders" "Agyneta gulosa (L.Koch, 1869)" "SPECIES" "INN" NA NA "LEAST_CONCERN" "Agyneta" "Linyphiidae" "Araneae" "Arachnida" "Arthropoda" "vegetation" "hanging" "yes" "rare" 1.9 0.47 "present" 1.49333333333333 1.09 1.405 0.06 0.015 0.065 0.04 0.88 0.375 0.668333333333333 2.67 2.59 1.4075 2.975 0.71 0.23 0.66 0.48 1.13 0.132 0.27 0.25 0.23 0.275 0.6 0.135 0.4 0.245 0.41 0.07 0.545 0.53 0.47 0.44 0.4 0.191666666666667 0.2 0.275 "diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 "sheet web" "aerial web builder" 0.19 0.131268128888889 3.82916666666667 2 1 1 0 0 0 1 0 1 0 0 0 0 "humid" 0.625 "semi-open" 0.75 0.75 1.2e+07 "NO"
