"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Tgroup_angio" "Tgroup_plant" "Life_form1" "Life_form2" "Life_form3" "Woodiness" "Growth" "Height_m" "Root_depth" "Leaf_type" "Leaf_area_m2" "LMA_g.m2" "SLA_m2.kg" "SSD_mg.mm3" "LDMC_g.g" "Nmass_mg.g" "C.N_perct" "Diaspore_mass_mg" "Diaspore_dispersal1" "Diaspore_dispersal2" "Flowering_months" "Pop_config" "Ter" "Aqu" "Aer" "HABfi_1.1" "HABfi_1.2" "HABfi_1.3" "HABfi_1.4" "HABfi_2.1" "HABfi_2.2" "HABfi_2.3" "HABfi_2.4" "HABfi_2.5" "HABfi_2.6" "HABfi_2.7" "HABfi_2.8" "HABfi_2.9" "HABfi_3.1" "HABfi_3.2" "HABfi_3.3" "HABfi_3.4" "HABfi_3.5" "HABfi_4.1" "HABfi_4.2" "HABfi_5.1" "HABfi_5.2" "HABfi_6.1" "HABfi_6.2" "HABfi_6.3" "HABfi_6.4" "HABfi_6.5" "HABfi_6.6" "HABfi_6.7" "HABfi_7.1" "HABfi_7.2" "HABfi_7.3" "HABfi_7.4" "HABfi_7.5" "HABfi_7.6" "HABfi_8.1" "HABfi_8.2" "HABfi_9.1" "HABfi_9.2" "HABfi_9.2.2" "HABfi_9.3" "HABfi_9.4" "HABfi_9.5" "Geo_class" "EIVoa_Moisture" "EIVeu_Moisture" "EIVeu_M_range" "EIVoa_pH" "EIVeu_pH" "EIVeu_pH_range" "EIVoa_Nitrogen" "EIVeu_Nitrogen" "EIVeu_N_range" "EIVoa_Calcareous" "EIVeu_Temp" "EIVeu_T_range" "EIVeu_Light" "EIVeu_L_range" "Elev_class" "Elevation_low" "Elevation" "Elevation_up" "Dispersal_min" "Dispersal_km" "Dispersal_max" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abies alba" "SPEED2ZERO" "Vascular_plants" "Abies alba Mill." "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Abies" "Pinaceae" "Pinales" "Pinopsida" "Tracheophyta" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 "non-Angiosperm" "Gymnosperm" "Phanerophyte" "None" "None" "Woody" "Tree" 42.074 5 "Needleleaved" 32.42 106.045 5.87 0.499 0.33193 26.4 32.21711973 62.007 "Meteorochory" "None" "5" 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 "Mixed" 3.66666666666667 5.18315712725518 4.18003329717547 2 5.30575728431131 5.73223709061042 2 4.89670025203823 7.18511027769503 2 3.68221723622716 3.25372106578688 3.04121397555945 8.37158161532046 "alt_subalpine" 402.457523409774 565.463522031618 1561.67783853056 0.04 0.095 0.15 960886.762044786 "NO"
"Abies nebrodensis" "EEA" "Vascular_plants" "Abies nebrodensis (Lojac.) Mattei" "SPECIES" NA "Yes" NA "CRITICALLY_ENDANGERED" "Abies" "Pinaceae" "Pinales" "Pinopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 "non-Angiosperm" "Gymnosperm" "Phanerophyte" "None" "None" "Woody" "Tree" 15 3.5 "Needleleaved" 5247 193.054 13.5881818181818 0.48 0.18 13.218 46.9092516633333 140.681 "Meteorochory" "None" "4-5" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Calcareous" 3 2.58975946984374 2.47358616921388 2.5 6.47477747428747 2.78249183958083 1.4 2.98249546712787 2.86396393476328 2.2 5.51011328552915 2.64354516456554 2.34593697199482 2.76982198897175 "alt_montane" 280.024028986376 390.919832808913 1093.65117377581 0.04 0.095 0.15 8.75813902424632 "NO"
"Abies nordmanniana" "SPEED2ZERO" "Vascular_plants" "Abies nordmanniana (Steven) Spach" "SPECIES" "NEO" NA NA "LEAST_CONCERN" "Abies" "Pinaceae" "Pinales" "Pinopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "non-Angiosperm" "Gymnosperm" "Phanerophyte" "None" "None" "Woody" "Tree" 42.486 5 "Needleleaved" 3162 150.37 7.25 0.582 0.318 13.85 46.9092516633333 72.866 "Meteorochory" "None" "3-4" 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 "Silicious" 3 4.69497130843339 2.99582809149566 2 5.68175220048175 10 2 5.24344684209335 7.55997076332161 2 4.21956619640231 3.16762753389008 4.96666379852139 10 "alt_lowlands" 365.324523991132 506.514439858385 1447.83130016417 0.04 0.095 0.15 1020.3709248096 "NO"
"Abutilon theophrasti" "SPEED2ZERO" "Vascular_plants" "Abutilon theophrasti Medik." "SPECIES" "NLS" NA NA NA "Abutilon" "Malvaceae" "Malvales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "Therophyte" "None" "None" "non-woody" "Herb_non_gram" 1.5 2 "Broadleaved" 15964.06 41.157 23.8263636363636 0.212 0.221 39.3 18.46482946 8.491 "Meteorochory" "None" "7-10" 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Mixed" 3 3.91783492521525 4.12198154732885 2 6.45003271038708 4.32548238730773 3 6.20524797694062 6.27344091967285 2 6.25291136706699 4.32379272712958 7.71310819476703 3.77856955478148 "alt_lowlands" 76.0243105567041 165.871076703552 753.61506014285 0.001 0.003 0.005 3871082.9921651 "NO"
"Acacia dealbata" "SPEED2ZERO" "Vascular_plants" "Acacia dealbata Link" "SPECIES" "NLI" NA NA "LEAST_CONCERN" "Acacia" "Fabaceae" "Fabales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "Phanerophyte" "None" "None" "Woody" "Shrub_tree" 5 4 "Broadleaved" 815.01 113.062 11.6209090909091 0.58 0.00022657587054125 23.37 30.84 12.074 "Endochory" "None" "1-3" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 "Silicious" 2.33333333333333 3.83725842419608 3.50808232994304 2 5.60177064928977 5.09833628103788 2 4.30698773751712 6.57952324354451 1.8 7.00606499052776 2.83705715133638 8.40231939077584 3.66467785099459 "alt_lowlands" 2.2744684126194 63.985225243627 514.038072841472 0.002 0.0085 0.015 39232.3262029786 "NO"
"Acalypha australis" "InfoSpecies" "Vascular_plants" "Acalypha australis L." "SPECIES" "NEO" NA NA NA "Acalypha" "Euphorbiaceae" "Malpighiales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "Therophyte" "None" "None" "non-woody" "Herb_non_gram" 0.9 2.5 "Broadleaved" 49970.25 45.579 28.1918802279353 0.192 0.17 39.865 13.5797578066667 0.99 "Meteorochory" "None" "6-9" 2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Silicious" 2.71428571428571 3.40725074698496 2.47358616921388 1.4 6.47477747428747 2.78249183958083 2.6 10 2.86396393476328 1.8 6.40809062842332 2.64354516456554 8.21077940198188 2.76982198897175 "alt_lowlands" 106.719514408004 181.464370879448 1001.03617506306 1e-04 0.003 0.005 3038535.17051794 "NO"
"Acalypha virginica" "SPEED2ZERO" "Vascular_plants" "Acalypha virginica L." "SPECIES" "NEO" NA NA NA "Acalypha" "Euphorbiaceae" "Malpighiales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "Therophyte" "None" "None" "non-woody" "Herb_non_gram" 0.91 1 "Broadleaved" 1351.62 34.457 20.3886047142857 0.222 0.24 24.567 16.1366666666667 0.639 "Epichory" "None" "6-10" 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Mixed" 3 4.101434573074 3.68129313229766 2 5.35712266846719 2.31486040813539 2 6.27237576712228 7.47814653225615 2 6.06638742864519 3.37927734128318 7.33162780569838 2.78780787134389 "alt_lowlands" 1.2894289975622 53.7051075822969 2350.60648954638 0.002 0.0085 0.015 980600.1872821 "NO"
"Acanthus mollis" "SPEED2ZERO" "Vascular_plants" "Acanthus mollis L." "SPECIES" "NEO" NA NA NA "Acanthus" "Acanthaceae" "Lamiales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "LongLived_Hemicryptophyte" "None" "None" "non-woody" "Herb_non_gram" 0.8 3 "Broadleaved" 140.22 52.657 31.8966666666667 0.18 0.000351111111 26.905 22.3276449433333 208 "Anemochory" "None" "6-8" 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Mixed" 2 3.29272099123468 2.93464276059792 2 6.76466453574244 4.67563516155141 2.6 7.8315579470703 3.49080269167586 2 6.70673920956303 2.83563371356646 5.69340456210436 4.09297009647822 "alt_lowlands" 6.74382228741263 148.14934869856 645.413891594285 0.001 0.003 0.005 624440.659200367 "NO"
"Acer campestre" "SPEED2ZERO" "Vascular_plants" "Acer campestre L." "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Acer" "Sapindaceae" "Sapindales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "Phanerophyte" "None" "None" "Woody" "Tree" 12.217 4.5 "Broadleaved" 3146.41 72.148 19.458125 0.607 0.0809 21.331 33.7281521033333 122 "Meteorochory" "Dysochory" "4-5" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 "Mixed" 3 4.22124343470358 2.7946187745981 2.6 6.80497981151289 4.23437188611686 2 5.79099281662 4.89054964898582 2 4.98177019848305 3.11767487073539 5.0465312707016 6.09060695998001 "alt_montane" 182.482741031848 394.514183264444 1037.25816808568 0.04 0.095 0.15 106318.67394552 "NO"
"Acer monspessulanum" "InfoSpecies" "Vascular_plants" "Acer monspessulanum L." "SPECIES" "NEO" NA NA "LEAST_CONCERN" "Acer" "Sapindaceae" "Sapindales" "Magnoliopsida" "Tracheophyta" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "Nanophanerophyte" "Phanerophyte" "None" "Woody" "Tree" 7.666 3 "Broadleaved" 1232.88 84.904 46.1661829666667 0.9 0.000203224623800111 19.562 29.0866666666667 26.681 "Meteorochory" "None" "4-5" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 "Calcareous" 2 2.90006024164343 2.49132531823291 2.6 7.92700189620286 3.65955938488519 1.4 3.69667193970185 3.59452745563579 2.66666666666667 6.08609801798973 3.42718333410873 5.66638712456507 2.60071628855246 "alt_lowlands" 0 170.99220916959 1047.61579974949 0.04 0.095 0.15 624440.659200367 "NO"
"Acer negundo" "SPEED2ZERO" "Vascular_plants" "Acer negundo L." "SPECIES" "NEO" NA NA "LEAST_CONCERN" "Acer" "Sapindaceae" "Sapindales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "Phanerophyte" "None" "None" "Woody" "Tree" 10.025 3 "Broadleaved" 3379.06 44.796 26.4228571428571 0.448 0.02543 28.35 19.79581755 29.733 "Meteorochory" "None" "4-5" 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 "Mixed" 3 5.11983489849462 3.12636115125929 2 6.58945982472483 3.82651532059216 2.6 6.74810657428696 4.93002603533427 2 4.94732609927357 3.49753962213953 5.4173337960542 6.11609241339705 "alt_lowlands" 2.92433758543792 50.8687362694031 483.000850475192 0.04 0.095 0.15 4330213.15668686 "NO"
"Acer opalus" "SPEED2ZERO" "Vascular_plants" "Acer opalus Mill." "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Acer" "Sapindaceae" "Sapindales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "Phanerophyte" "None" "None" "Woody" "Tree" 9.611 3 "Broadleaved" 5570.16 61.882 23.9476923076923 0.726 0.025938 32.7 37.0639170733333 77 "Meteorochory" "None" "4-5" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 "Calcareous" 2 3.35452059180673 2.26695302604184 2.6 7.95904560745022 3.44761315380636 2 5.72867451689054 3.81685880408401 2.66666666666667 6.16658913669624 2.84843393909987 5.3725272078136 4.18071817224461 "alt_lowlands" 209.271638838816 548.538735343467 1363.26882215705 0.04 0.095 0.15 110645.754945644 "NO"
"Acer platanoides" "SPEED2ZERO" "Vascular_plants" "Acer platanoides L." "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Acer" "Sapindaceae" "Sapindales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "Phanerophyte" "None" "None" "Woody" "Tree" 21.926 4 "Broadleaved" 7085.13 51.661 21.6389361841176 0.584 0.0796666666666667 19.417 24.9568890533333 121.596 "Meteorochory" "Dysochory" "4-5" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 "Calcareous" 3 4.70664227176896 3.68187781236573 2.6 6.33764865748765 5.02906735957076 2 5.65616877788922 6.86918813112701 2.66666666666667 4.41239720014038 2.50215089568076 3.87198680913025 6.51535724370789 "alt_montane" 246.750987013761 411.619024954492 1001.95523621125 0.04 0.095 0.15 3232.3545821331 "NO"
"Acer pseudoplatanus" "SPEED2ZERO" "Vascular_plants" "Acer pseudoplatanus L." "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Acer" "Sapindaceae" "Sapindales" "Magnoliopsida" "Tracheophyta" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "Phanerophyte" "None" "None" "Woody" "Tree" 24.463 3.5 "Broadleaved" 8456.57 72.118 17.520967121 0.563 0.2625 23.626 27.3 64.607 "Meteorochory" "None" "4-5" 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 "Mixed" 3 5.05225058865355 3.22803186253685 2 5.91956875666971 5.31680816600951 2.6 6.89185037193308 4.79946735744831 2 4.16247910194677 4.1798690732357 3.79887637416296 6.14997273291293 "alt_subalpine" 319.150061330057 475.456237776833 1524.10814644711 0.04 0.095 0.15 1262106.63272623 "NO"
"Acer saccharinum" "SPEED2ZERO" "Vascular_plants" "Acer saccharinum L." "SPECIES" "NEO" NA NA "LEAST_CONCERN" "Acer" "Sapindaceae" "Sapindales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "Phanerophyte" "None" "None" "Woody" "Tree" 33.665 3 "Broadleaved" 4605.58 51.099 15.5946666666667 0.51 0.0001273169684387 23.66 40.1563241175 156.199 "Meteorochory" "None" "3-4" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 "Silicious" 3 4.48615901595845 2.42409546391297 2 5.17440245337955 2.68030083831066 2.6 4.96923387271174 2.52124553256069 1.75 4.96390274297442 4.56438420158767 5.31200579593184 8.78582638917024 "alt_montane" 23.4805452960718 384.341871095109 878.709642122686 0.04 0.095 0.15 2528745.96847353 "NO"
"Aceras anthropophorum" "SPEED2ZERO" "Vascular_plants" "Orchis anthropophora (L.) All." "SPECIES" "INN" NA "NT" NA "Orchis" "Orchidaceae" "Asparagales" "Liliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "Monocotyledon" "Angiosperm" "Geophyte" "None" "None" "non-woody" "Herb_non_gram" 0.265 1 "Broadleaved" 2663.47 49.801 29.005 0.139 0.073825 39.865 12.31285549 0.19 "Meteorochory" "None" "5-6" 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 "Calcareous" 2 3.18185118854038 2.37057205094773 2.6 7.81528503642131 2.78249183958083 1.4 4.17551693989118 2.86396393476328 2.66666666666667 4.6054610114575 2.34747488326958 5.37294795145241 2.12079744361464 "alt_montane" 250.397308563566 437.098159179224 936.53899261851 1e-04 0.003 0.001 1353885.25954845 "NO"
"Achillea atrata" "SPEED2ZERO" "Vascular_plants" "Achillea atrata L." "SPECIES" "IEP" NA "LC" NA "Achillea" "Asteraceae" "Asterales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "LongLived_Hemicryptophyte" "None" "None" "non-woody" "Herb_non_gram" 0.12 3 "Broadleaved" 5336 40.147 30.504 0.162 0.097 26.456 17.59197502 0.3408 "Anemochory" "None" "7-9" 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Calcareous" 3 4.47831921734551 2.44521167801785 3 8.98234276298419 3.78891490141938 1.4 2.9992995724678 2.78574576538605 2.5 0.650689731319742 3.37155408145726 9.60192199429004 2.71983650094805 "alt_nival" 1555.47442774406 1944.65281169035 2693.56829200124 1e-04 0.00055 0.001 954.459242149317 "NO"
"Achillea clavenae" "SPEED2ZERO" "Vascular_plants" "Achillea clavennae L." "SPECIES" "INN" NA "VU" NA "Achillea" "Asteraceae" "Asterales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "LongLived_Hemicryptophyte" "None" "None" "non-woody" "Herb_non_gram" 0.02625 3.5 "Broadleaved" 32 55.525 16.525 0.181 0.15 22 14.1533333333333 0.07 "Anemochory" "None" "6-9" 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Calcareous" 2 3.54193538676565 3.34623003501056 3 7.63220767835517 5.72833380721784 1.4 3.15222149127031 5.40855700751601 2.66666666666667 2.90731372140679 6.23500391234955 8.21077940198188 4.40034818383211 "alt_alpine" 598.751088925309 1439.02245981954 2311.29430393494 0.001 0.003 0.005 97.0573455451804 "NO"
"Achillea collina" "SPEED2ZERO" "Vascular_plants" "Achillea collina (Wirtg.) Becker ex Heimerl" "SPECIES" "INN" NA "VU" NA "Achillea" "Asteraceae" "Asterales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "nWoody_Chamaephyte" "LongLived_Hemicryptophyte" "None" "non-woody" "Herb_non_gram" 0.565 3 "Broadleaved" 1037.49 57.471 19.12 0.195 0.19 17.603 22.4225531833333 0.15 "Anemochory" "Endochory" "6-9" 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "Calcareous" 1.33333333333333 2.61328463279938 3.02624212989 2.6 6.80566515616473 4.58021055027613 1.4 2.6735974729858 4.03083997167932 2.2 4.82761833988879 2.7255661726209 8.56880049668121 3.53541894719136 "alt_montane" 95.9819389356826 510.067655058514 1766.03816517728 0.001 0.003 0.005 685.646636499805 "NO"
"Achillea crithmifolia" "InfoSpecies" "Vascular_plants" "Achillea crithmifolia Waldst. & Kit." "SPECIES" "NEO" NA NA "LEAST_CONCERN" "Achillea" "Asteraceae" "Asterales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "LongLived_Hemicryptophyte" "None" "None" "non-woody" "Herb_non_gram" 0.3975 1.5 "Broadleaved" 984.5 52.045 24.5264705882353 0.198 0.2 33.674 12.3166666666667 2.017 "Anemochory" "None" "5-10" 3 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Mixed" 2 3.70843816285408 2.84501318080041 2 5.40187555210955 4.52227594345921 2 4.09223231018307 5.57687525000923 2 5.4493174843523 2.47481777190278 8.12642312191155 2.14727553586618 "alt_montane" 150.066323681535 223.231010835233 893.729498609757 0.001 0.003 0.005 901226.734322734 "NO"
"Achillea distans" "Origin-Alps" "Vascular_plants" "Achillea distans Waldst. & Kit. ex Willd." "SPECIES" "OTH" NA NA NA "Achillea" "Asteraceae" "Asterales" "Magnoliopsida" "Tracheophyta" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "LongLived_Hemicryptophyte" "None" "None" "non-woody" "Herb_non_gram" 0.431 2 "Broadleaved" 3379.06 54.59 25.48 0.206 0.178 38.474 8.96004065733333 0.212 "Anemochory" "None" "7-9" 3 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 "Calcareous" 3 3.75261469560518 2.2997372652726 2.6 6.42945807823052 3.31761768934158 2.6 4.06796524174957 4.29495037421055 2.2 4.06760900457572 3.8512037403516 6.8807180244799 2.93452421766633 "alt_montane" 338.027367647149 585.948437860056 2101.72768442859 0.001 0.003 0.005 2471735.9619226 "NO"
"Achillea erba-rotta" "InfoSpecies" "Vascular_plants" "Achillea erba-rotta All." "SPECIES" "INN" NA "LC" NA "Achillea" "Asteraceae" "Asterales" "Magnoliopsida" "Tracheophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "Eudicotyledon" "Angiosperm" "LongLived_Hemicryptophyte" "None" "None" "non-woody" "Herb_non_gram" 0.111 3 "Broadleaved" 2019.99 45.025 28.6438916837217 0.148 0.226 46.2 10.1769522136667 0.3371 "Anemochory" "None" "7-9" 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Silicious" 3 4.38892814368977 2.69954351386631 2 3.21452036858348 2.20002166930094 1.4 2.5333025009942 2.3506172108744 1.8 0.00381273101205706 4.53345811010218 9.82561878732835 2.20017409191605 "alt_alpine" 1258.75878347836 2220.41808274923 2969.37319026038 1e-04 0.00055 0.001 5659.32969944774 "NO"
