"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "BodyLength_mm" "Litter_size" "Sexes" "Reprod_cross" "Reprod_self" "Reprod_parthenog" "Longevity_max_y" "Whorls" "Shape_oblong" "Shape_globose_conical" "Shape_depressed" "Shell_calcified_minus" "Shell_calcified_plus" "Shell_rudimentary" "Shell_close_operculum" "Shell_close_epiphrag" "Shell_close_calc" "Shell_close_nocalc" "Shell_close_noepiphrag" "Shell_close_cap" "Peri_structr_hairs" "Peri_structr_scales" "Peri_structr_ribs" "Peri_structr_none" "Aperture_peristome" "Aperture_rib" "Aperture_armature" "Aperture_simple" "Transport_sws" "Transport_swd" "Transport_bub" "Transport_spw" "Transport_ses" "Transport_oth" "Stream_pref_euc" "Stream_pref_hyc" "Stream_pref_erh" "Stream_pref_mrh" "Stream_pref_hrh" "Stream_pref_epo" "Stream_pref_mpo" "Stream_pref_hpo" "Stream_pref_lit" "Stream_pref_pro" "Diet_detritus" "Diet_litter" "Diet_pleuston" "Diet_fungi" "Diet_lichen" "Diet_epiphyte" "Diet_endolithic" "Diet_moss" "Diet_algae" "Diet_plant" "Diet_alive" "Diet_scav" "Diet_carniv" "Diet_gra" "Diet_min" "Diet_xyl" "Diet_shr" "Diet_gat" "Diet_aff" "Diet_pff" "Diet_pre" "Diet_par" "Diet_oth" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate_arg" "Substrate_pel" "Substrate_psa" "Substrate_aka" "Substrate_lit" "Substrate_phy" "Substrate_pom" "Substrate_oth" "Flow_habitat" "Salt_pref_salfr" "Salt_pref_salol" "Salt_pref_salme" "Salt_pref_salpo" "Salt_pref_saleu" "EIV_Moisture" "EIV_Drought" "EIV_Light" "EIV_Temp" "EIV_T_range" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Geo_range" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abida ateni" "EEA" "Molluscs" "Abida ateni E.Gittenberger, 1973" "SPECIES" NA "Yes" NA "VULNERABLE" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 "1-10" "Hermaphordite" 1 0 0 "2-5+y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 2 3 5 0 0 1 3 0 1 5 0 0 2 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 10 0 0 0 0 0 1 0 1 0 0 3 5 1 0 0 0 1 "limnophil" 7 3 0 0 0 0.533333333333333 0.769230769230769 0.75 18.88 4.541 0 1 0 0 0 "very_wide" 1825.42806284042 "NO"
"Abida attenuata" "EEA" "Molluscs" "Abida attenuata (Fagot, 1887)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.75 "1-10" "Hermaphordite" 1 1 0 "1-2y" "5+w" 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 3 8 0 0 0 0 1 0 0 1 0 2 3 0 0 0 0 0 0 0 0 0 1 1 0 1 0 3 0 0 2 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 2 3 "limno_to_rheophil" 10 0 0 0 0 0.133333333333333 0.384615384615385 0 17.85 1.282 0 1 1 1 0 "wide" 842.669952314103 "NO"
"Abida bigerrensis" "EEA" "Molluscs" "Abida bigerrensis (Moquin-Tandon, 1856)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 "11-100" "Hermaphordite" 1 0 0 "2-5y" "3-5+w" 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 8 0 0 0 3 2 0 0 0 2 2 4 0 0 0 0 0 0 0 0 0 1 1 1 1 0 5 0 0 2 2 8 0 0 0 0 0 1 0 1 0 0 3 0 1 0 10 0 3 "limno_to_rheophil" 10 0 0 0 0 0.133333333333333 0.923076923076923 0.875 18.45 4.415 0 1 0 0 0 "very_wide" 6597.90656263483 "NO"
"Abida cylindrica" "EEA" "Molluscs" "Abida cylindrica (Michaud, 1829)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 "11-100" "Hermaphordite" 1 0 0 "1-2y" "5+w" 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 3 10 0 0 0 0 1 0 1 1 0 0 3 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 4 0 0 0 0 1 1 "rheobiont" 10 0 0 0 0 0.2 1 0.375 16.84 0.686 0 1 0 0 0 "very_wide" 14440.7003704918 "NO"
"Abida gittenbergeri" "EEA" "Molluscs" "Abida gittenbergeri Bössneck, 2000" "SPECIES" NA "Yes" NA "NEAR_THREATENED" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.875 "1-10" "Hermaphordite" 1 0 0 "1-2y" "5+w" 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 3 8 0 0 0 0 2 1 1 0 5 1 5 0 0 0 0 0 0 0 0 0 1 1 1 1 0 7 0 0 0 2 3 0 0 0 0 0 1 0 1 0 0 0 1 0 5 2 0 7 "limnophil" 10 0 0 0 0 0.2 0.846153846153846 0.25 18.53 2.423 0 1 1 0 0 "very_wide" 703.212928109133 "NO"
"Abida occidentalis" "EEA" "Molluscs" "Abida occidentalis (Fagot, 1888)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 "1-10" "Hermaphordite" 1 1 0 "2-5+y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 2 5 0 0 0 0 1 1 5 3 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 10 0 0 0 0 0 1 0 0 0 0 5 5 0 0 0 0 1 "rheo_to_limnophil" 7 3 0 0 0 0.133333333333333 0.923076923076923 0.75 18.37 3.058 0 0 1 0 0 "very_wide" 5226.07771636732 "NO"
"Abida partioti" "EEA" "Molluscs" "Abida partioti (Saint-Simon, 1848)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 15 "1-10" "Hermaphordite" 1 0 0 "2-5+y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 2 3 3 0 0 0 1 1 0 2 2 1 1 0 0 0 0 0 1 1 0 0 1 1 1 1 0 0 0 0 0 2 10 0 0 0 0 0 1 0 1 0 0 3 3 0 3 0 0 3 "rheo_to_limnophil" 7 3 0 0 0 0.133333333333333 0.923076923076923 0.75 17.87 1.54 1 1 1 1 0 "wide" 10736.8231572685 "NO"
"Abida polyodon" "InfoSpecies" "Molluscs" "Abida polyodon (Draparnaud, 1801)" "SPECIES" NA NA "NE" "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 15 "1-10" "Hermaphordite" 1 0 0 "2-5y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 5 2 5 0 0 0 2 1 1 2 5 2 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 2 10 0 0 0 0 0 1 0 1 0 5 5 3 0 0 0 0 3 "limno_to_rheophil" 7 2 0 0 0 0.133333333333333 0.923076923076923 0.875 18 0.578 1 1 1 0 0 "wide" 36740.2801831613 "NO"
"Abida pyrenaearia" "EEA" "Molluscs" "Abida pyrenaearia (Michaud, 1831)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 "1-10" "Hermaphordite" 1 1 0 "1-2y" "3-5w" 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 5 3 3 0 0 0 0 1 1 0 0 0 4 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 10 0 0 0 0 0 1 0 1 0 0 6 1 0 0 0 0 7 "limnophil" 7 3 0 0 0 0.2 1 0.75 17.85 2.243 0 0 1 0 0 "very_wide" 1577.00923366577 "NO"
"Abida secale" "SPEED2ZERO" "Molluscs" "Abida secale (Draparnaud, 1801)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 10 "1-10" "Hermaphordite" 1 1 0 "2-5+y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 2 3 5 0 0 0 3 1 1 0 1 0 0 0 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 10 0 0 0 0 0 1 0 0 0 3 4 0 0 0 0 4 1 "limnophil" 7 3 0 0 0 0.133333333333333 1 0.875 18.04 3.971 0 1 1 1 1 "wide" 2186752.59035235 "NO"
