"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Riparian_sp" "Overwinter_stage" "BodyLength_min" "BodyLength_mm" "BodyLength_max" "BodyWidth_mm" "Body_height_mm" "Head_length_mm" "Head_width_mm" "Eye_area_mm2" "Antenna_length_mm" "Mandible_length_mm" "Proximal_mandible_width_mm" "Front_leg_length_mm" "Mid_leg_length_mm" "Hind_leg_length_mm" "Flight_capacity" "Elytra_length_mm" "Elytra_width_mm" "Wing_length_mm" "Wing_width_mm" "Wing_area_mm2" "Hairiness_total" "Colour_lightness" "Diet" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Fos" "Ter" "Aqu" "Arb" "Aer" "Biotope_range" "HAB_MesoGrass" "HAB_DryGrass" "HAB_Shrubs" "HAB_Forests" "HAB_TallGrass" "HAB_Wetlands" "HAB_Water" "HAB_Rocks" "HAB_Human" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abax baenningeri" "SPEED2ZERO" "Insects" "Abax baenningeri Schauberger, 1927" "SPECIES" "INN" NA "LC (n)" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.8 "imago" 11.4 13.50972 15.96 3.85664 3.16952 2.13892 2.3206 0.74232 11.7154 0.86044 0.37 4.82816 5.56992 7.39104 "dimorphy" 8.54988 2.01076 11.4944 4.44984 47.31512 28.63028 131.848 "Carnivorous" 1 0 0 0 0 0 0 0 0 1 0 0 0 "stenotop" 0 0 0 0 0 0 0 0 0 3.32 1 1 1 1 0 1 503994.519113365 "YES"
"Abax carinatus subsp. carinatus" "InfoSpecies" "Insects" "Abax carinatus carinatus" "SUBSPECIES" "INN" NA "LC (n)" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6 "imago" 12.48 15.25544 18.24 5.04744 4.337 2.83944 2.88324 1.02668 17.82708 1.15316 0.54992 5.86512 7.28156 9.2 "dimorphy" 10.49568 2.51804 13.79304 5.2778 70.67424 25.67032 129.5064 "Carnivorous" 1 0 0 0 0 0 0 0 0 1 0 0 0 "stenotop" 0 0 0 0 0 0 0 0 0 3.36 1 1 1 1 0 0.99 1023869.0644098 "YES"
"Abax carinatus subsp. porcatus" "InfoSpecies" "Insects" "Abax carinatus carinatus" "SUBSPECIES" NA NA "LC" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.56 "imago" 13 15.5 18 5.23864 4.26488 3.1098 2.981 0.98396 24.03616 1.17436 0.50412 6.31396 7.40956 9.34704 "brachyptery" 10.53888 2.53996 14.27372 5.08924 61.3074 22.80392 134.2116 "Carnivorous" 1 0 0 0 0 0 0 0 1 1 0 0 0 "eurytop" 0 0 1 0 0 0 0 0 1 3 0 0 1 0 0 1 227330.700242291 "NO"
"Abax continuus subsp. wuesthoffi" "SPEED2ZERO" "Insects" NA "SUBSPECIES" "INN" NA "LC" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "larva" 14 16.5 19 5.46848 4.587 3.20476 2.9806 1.08868 25.2866 1.22408 0.48416 6.26724 7.564 9.58428 "brachyptery" 10.91912 2.65532 14.49748 5.29972 59.88224 25.89176 133.0332 "Carnivorous" 1 0 0 0 0 0 0 0 0 1 0 0 0 "stenotop" 0 0 0 1 0 0 0 0 0 3 1 1 1 1 0 0.99 497435.273711673 "NO"
"Abax exaratus" "InfoSpecies" "Insects" "Abax exaratus (Dejean, 1828)" "SPECIES" "INN" NA "LC (n)" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.92 "imago" 10.44 12.78864 15.72 4.20456 3.35324 2.25368 2.24572 0.61748 12.85112 0.80564 0.40572 4.7656 5.47108 6.99948 "macroptery" 8.04968 1.99412 11.13848 4.08104 39.6736 26.466 131.7504 "Carnivorous" 1 0 0 0 0 0 0 0 0 1 0 0 0 "stenotop" 0 0 0 0 0 0 0 0 0 3.52 0 1 1 1 0 0.99 568088.73222188 "YES"
"Abax exaratus s.l." "InfoSpecies" "Insects" "Abax exaratus (Dejean, 1828)" "SPECIES" NA NA NA NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.76 "imago" 13 15.22236 18.76 5.48308 4.77152 2.85816 2.90248 1.07144 18.39512 1.27244 0.59568 5.86456 7.31472 8.7352 "dimorphy" 9.95072 2.66308 14.43112 5.35656 75.35488 24.13348 129.0484 "Carnivorous" 1 0 0 0 0 0 0 0 0 1 0 0 0 "stenotop" 0 0 0 0 0 0 0 0 0 3.28 0 1 1 1 0 1 572957.347408717 "YES"
"Abax exaratus subsp. baenningeri" "InfoSpecies" "Insects" NA "SUBSPECIES" NA NA "LC" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "imago" 10.84 13.05864 16.28 4.10668 3.58312 2.46268 2.43608 0.71928 13.08872 0.96712 0.38692 4.94244 6.01844 7.54908 "brachyptery" 8.73208 2.09004 12.14088 4.30568 47.77572 24.72656 125.5152 "Carnivorous" 1 0 0 1 0 0 0 0 0 1 1 0 0 "eurytop" 0 0 0 1 0 1 1 0 0 3 1 1 1 1 0 1 588920.58329091 "NO"
"Abax exaratus subsp. exaratus" "InfoSpecies" "Insects" NA "SUBSPECIES" NA NA "LC" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.28 "imago" 12 14.5 17 4.53564 3.91116 2.61392 2.56792 0.84428 21.81108 1.02956 0.44648 5.73652 6.89012 8.76592 "brachyptery" 9.59092 2.17 13.33504 4.7524 51.27984 28.51076 135.744 "Carnivorous" 1 0 0 0 0 0 0 0 0 1 0 0 0 "eurytop" 0 1 0 1 0 0 0 0 0 3 0 1 1 1 0 1 391186.533832247 "NO"
"Abax exaratus subsp. pilleri" "InfoSpecies" "Insects" NA "SUBSPECIES" NA NA "LC" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.36 "imago" 11.6 14.13712 16.08 4.20488 3.54668 2.3416 2.63276 0.74432 14.87836 1.14004 0.4296 5.0714 6.10004 7.885 "brachyptery" 9.07064 2.05484 11.999 4.41408 48.56892 29.05268 135.43 "Carnivorous" 1 0 0 1 0 0 0 0 0 1 0 0 0 "stenotop" 1 1 0 0 0 0 0 0 0 3 0 1 1 1 0 1 269779.908832395 "NO"
"Abax fiorii" "InfoSpecies" "Insects" "Abax fiorii Jakobson, 1907" "SPECIES" "INN" NA "LC" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.24 "imago" 18 19.5 21 6.14412 5.34564 3.57308 3.46308 1.21968 15.85688 1.58216 0.60872 7.81868 9.10532 10.9114 "brachyptery" 12.15824 3.21256 16.48548 5.78732 79.8532 17.29932 128.3084 "Carnivorous" 1 0 0 1 0 1 0 0 0 1 0 0 0 "eurytop" 0 1 0 1 0 0 0 0 0 3 0 1 1 1 0 1 156550.360723251 "NO"
"Abax oblongus" "InfoSpecies" "Insects" "Abax oblongus (Dejean, 1831)" "SPECIES" "IEP" NA "LC" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1.32 "imago" 13 15 17 4.79364 3.91192 2.7856 2.62392 0.87472 14.42412 0.97808 0.48456 5.80488 6.91588 9.16576 "brachyptery" 9.82396 2.28244 13.68816 5.0614 53.74624 26.31676 136.8576 "Carnivorous" 1 0 0 0 0 0 0 0 0 1 0 0 0 "stenotop" 0 0 0 0 0 0 0 0 0 3 0 0 1 1 0 1 580854.183817821 "NO"
"Abax ovalis" "SPEED2ZERO" "Insects" "Abax ovalis (Duftschmid, 1812)" "SPECIES" "INN" NA "LC" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "imago" 11 13 15 4.47376 3.6602 2.52692 2.5098 0.75636 15.7888 0.90264 0.40028 5.4366 6.16376 8.25196 "brachyptery" 9.41452 2.14288 12.3064 4.40308 48.51 25.1268 136.2204 "Carnivorous" 1 0 0 0 0 0 0 0 0 1 0 0 0 "eurytop" 1 0 0 1 0 0 0 0 0 4 1 1 1 1 0 0.99 604734.008367914 "NO"
"Abax parallelepipedus" "SPEED2ZERO" "Insects" "Abax parallelepipedus (Piller & Mitterpacher, 1783)" "SPECIES" NA NA NA NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.8 "imago" 10.6 12.89976 15.24 4.1178 3.49352 2.39968 2.34108 0.58744 15.19632 0.91536 0.39972 5.01836 5.85352 7.39944 "dimorphy" 8.71756 2.00444 11.78516 4.18316 44.90512 29.70232 132.4484 "Carnivorous" 1 0 0 0 0 0 0 0 0 1 0 0 0 "stenotop" 0 0 0 0 0 0 0 0 0 3.36 0 1 1 1 0 1 536526.833436336 "YES"
"Abax parallelepipedus s.l." "InfoSpecies" "Insects" "Abax parallelepipedus (Piller & Mitterpacher, 1783)" "SPECIES" NA NA NA NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.08 "imago" 13 16.15752 18.68 4.99904 4.01504 2.82316 2.79944 0.78372 13.07396 1.11892 0.55764 5.9756 7.1144 8.9872 "dimorphy" 10.2084 2.27012 14.02124 5.06476 73.33304 22.90672 126.4236 "Carnivorous" 1 0 0 1 0 0 0 0 0 1 0 0 0 "stenotop" 0 0 0 1 0 0 0 0 0 3.48 0 1 1 1 0 1 730044.645294052 "YES"
"Abax parallelepipedus subsp. lombardus" "SPEED2ZERO" "Insects" "Abax parallelepipedus lombardus A.Fiori, 1896" "SUBSPECIES" "INN" NA "LC" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4 "imago" 11.2 13.92332 16.04 4.50044 3.57732 2.50388 2.43456 0.874 20.02112 0.95948 0.42888 5.48104 6.23628 7.9086 "brachyptery" 9.15208 2.3164 12.6282 4.57632 58.43324 27.0082 127.636 "Carnivorous" 1 0 0 1 0 0 0 0 0 1 0 0 0 "stenotop" 0 0 0 1 0 0 0 0 0 3 0 1 1 1 0 0.98 243610.721962719 "NO"
"Abax parallelepipedus subsp. parallelepipedus" "SPEED2ZERO" "Insects" "Abax parallelepipedus parallelepipedus" "SUBSPECIES" "INN" NA "LC" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "imago" 16 19 22 5.94588 4.99052 3.34604 3.23288 1.156 17.71492 1.37748 0.5906 7.65968 8.9632 10.66864 "brachyptery" 11.90156 2.94352 16.03564 5.5724 73.90888 21.5518 126.6376 "Carnivorous" 1 0 0 1 0 0 0 0 0 1 0 0 0 "stenotop" 0 0 0 1 0 0 0 0 0 3 0 1 1 1 0 0.98 676198.891720863 "NO"
"Abax parallelus subsp. parallelus" "SPEED2ZERO" "Insects" "Abax parallelus parallelus" "SUBSPECIES" "INN" NA "LC" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "imago" 13 15.5 18 5.2044 4.2424 2.99764 2.79588 0.8752 25.43016 1.16928 0.4708 6.31752 7.39572 8.9662 "brachyptery" 10.91844 2.51672 14.46992 5.29048 61.24792 22.74844 129.9456 "Carnivorous" 1 0 0 0 0 0 0 0 0 1 0 0 0 "eurytop" 0 0 0 1 0 0 0 0 1 4 1 1 1 1 1 1 656333.450126028 "NO"
"Abax pilleri" "InfoSpecies" "Insects" "Abax pilleri Csiki, 1916" "SPECIES" "INN" NA "LC (n)" NA "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.88 "imago" 11.64 14.0978 17 4.57132 3.66 2.52296 2.47228 0.81116 18.15412 0.98772 0.50288 5.69308 6.59464 8.45228 "dimorphy" 9.6546 2.196 12.79512 4.47496 54.29424 28.18628 129.2484 "Carnivorous" 1 0 0 1 0 0 0 0 0 1 0 0 0 "stenotop" 0 0 0 0 0 0 0 0 0 3.36 0 1 1 1 0 1 950594.52477476 "YES"
"Abdera flexuosa" "InfoSpecies" "Insects" "Abdera flexuosa (Paykull, 1799)" "SPECIES" "INN" NA NA NA "Abdera" "Melandryidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.16 "imago" 3.52 4.635 4.56 1.625 0.961 0.652 0.721 0.045 1.027 0.24864 0.10084 1.343 1.618 1.693 "dimorphy" 3.053 0.789 4.1172 1.6864 5.63712 72.742 127.46 "Herbivorous" 0 0 0 0 0 0 0 0 0 1 0 1 0 "stenotop" 0 0 0 0 0 0 0 0 0 3.96 0 1 1 1 0 1 1890014.3783575 "NO"
"Abdera quadrifasciata" "InfoSpecies" "Insects" "Abdera quadrifasciata (Curtis, 1829)" "SPECIES" "INN" NA NA NA "Abdera" "Melandryidae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.92 "imago" 3.6 4.50012 5.16 1.60848 1.31556 0.73424 0.91436 0.07224 1.6818 0.30404 0.1196 1.44684 1.57844 1.74332 "dimorphy" 2.9966 0.80712 4.48252 1.75256 7.11848 47.15504 116.9328 "Herbivorous" 0 0 0 0 0 0 0 0 0 1 0 1 0 "stenotop" 0 0 0 0 0 0 0 0 0 3.84 0 1 1 1 0 1 1029362.54691292 "YES"
"Abraeus granulum" "SPEED2ZERO" "Insects" "Abraeus granulum Erichson, 1839" "SPECIES" "INN" NA NA NA "Abraeus" "Histeridae" "Coleoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.08 "imago" 1.96 1.675 2.12 0.977 0.774 0.438 0.44 0.011 0.502 0.212 0.087 0.722 0.654 0.742 "dimorphy" 0.787 0.472 1.934 0.934 1.478 39.745 120.93 "Omnivorous" 0 0 0 0 0 0 0 0 0 1 0 1 0 "stenotop" 0 0 0 0 0 0 0 0 0 3.48 0 1 1 1 0 0.96 1349132.0160932 "NO"
