"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Reproductive_mode" "Development" "Longevity_max_y" "Transport_sws" "Transport_swd" "Transport_bub" "Transport_spw" "Transport_ses" "Transport_oth" "Stream_pref_euc" "Stream_pref_hyc" "Stream_pref_erh" "Stream_pref_mrh" "Stream_pref_hrh" "Stream_pref_epo" "Stream_pref_mpo" "Stream_pref_hpo" "Stream_pref_lit" "Stream_pref_pro" "Diet_gra" "Diet_min" "Diet_xyl" "Diet_shr" "Diet_gat" "Diet_aff" "Diet_pff" "Diet_pre" "Diet_par" "Diet_oth" "Respir_teg" "Respir_gil" "Respir_pls" "Respir_spi" "Respir_ves" "Respir_tap" "Respir_sur" "Ter" "Aqu" "Aer" "Aqu_stage_egg" "Aqu_stage_lar" "Aqu_stage_nym" "Aqu_stage_pup" "Aqu_stage_adu" "Substrate_arg" "Substrate_pel" "Substrate_psa" "Substrate_aka" "Substrate_mil" "Substrate_mal" "Substrate_hpe" "Substrate_alg" "Substrate_mph" "Substrate_pom" "Substrate_woo" "Substrate_mad" "Substrate_oth" "Flow_habitat" "Rhithral_pref" "Potamal_pref" "Salt_pref_salfr" "Salt_pref_salol" "Salt_pref_salme" "Salt_pref_salpo" "Salt_pref_saleu" "Drought" "Temp_pref" "pH_pref" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Elev_Nival" "Emergence_winter" "Emergence_spring" "Emergence_summmer" "Emergence_autumn" "Emergence_length" "Geo_range" "MISSING_ALL_TRAITS"
"Acentrella sinaica" "SPEED2ZERO" "Insects" "Acentrella sinaica Bogoescu, 1931" "SPECIES" "INN" NA "CR" NA "Acentrella" "Baetidae" "Ephemeroptera" "Insecta" "Arthropoda" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "frc" "hemimetabolic" "<=1" 0 2 0 8 0 0 0 0 3 4 2 1 0 0 0 0 9 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 3.2 0 6.56 0 0 0 0 0 0 4 5 0 0 1 0 0 0 0 "rheophil" 5 2 10 0 0 0 0 "egg_resist" "mixed" "neutral_to_alka" 1 0 1 0 0 0 0 4 6 0 "long" "wide" "NO"
"Acrophylax zerberus" "SPEED2ZERO" "Insects" "Acrophylax zerberus Brauer, 1867" "SPECIES" "INN" NA "VU" NA "Acrophylax" "Limnephilidae" "Trichoptera" "Insecta" "Arthropoda" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "fic" "holometabolic" "<=1" 0 0 0 7.32 2.72 0.04 1.52 1.6 1.16 1.44 1.64 1.16 0.24 0 1.24 0.04 1.68 0 0 4.6 1 0 0.36 1.36 0 0 1 1 0 0 0 0 0 0 1 0 1.36 7.76 0 1 0 0 0.28 0.24 0.36 1.48 1.28 0 0.56 2.04 2.68 1.08 0.24 0.4 "rheo_to_limnophil" 2.8 1.72 7.56 2.4 0 0 0 "no_resist" "cold" "no_pref" 1 1 1 0 0 0 0 0.6 5.04 5 "long" "very_wide" "NO"
"Adicella filicornis" "InfoSpecies" "Insects" "Adicella filicornis (Pictet, 1834)" "SPECIES" "INN" NA "EN" NA "Adicella" "Leptoceridae" "Trichoptera" "Insecta" "Arthropoda" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "vec" "holometabolic" "<=1" 0 0 0 7 3 0 5 5 0 0 0 0 0 0 0 0 2 0 0 8 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 8 0 1 0 0 0 0 0 0 0 0 0 8 0 2 0 0 "rheo_to_limnophil" 1 1 8.16 1.84 0 0 0 "no_resist" "cold" "neutral_to_alka" 1 1 1 1 0 0 0 1 8 1 "short" "small" "NO"
"Adicella reducta" "InfoSpecies" "Insects" "Adicella reducta (McLachlan, 1865)" "SPECIES" "INN" NA "EN" NA "Adicella" "Leptoceridae" "Trichoptera" "Insecta" "Arthropoda" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "vec" "holometabolic" "<=1" 0 0 0 7 3 0 0 0 0 5 5 0 0 0 0 0 2 0 0 8 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 8 0 1 0 0 0 0 0 0 0 0 0 8 0 2 0 0 "rheo_to_limnophil" 5 1 7.96 2.04 0 0 0 "no_resist" "mixed" "no_pref" 1 1 1 1 0 0 0 3 7 0 "short" "small" "NO"
"Agapetus fuscipes" "SPEED2ZERO" "Insects" "Agapetus fuscipes Curtis, 1834" "SPECIES" "INN" NA "LC" NA "Agapetus" "Glossosomatidae" "Trichoptera" "Insecta" "Arthropoda" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "fic" "holometabolic" "<=1" 0 0 0 3 7 0 6 3 1 0 0 0 0 0 0 0 8 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 8 0 1 0 0 0 0 0 5 5 0 0 0 0 0 0 0 "rheophil" 2 1 8.4 1.56 0 0 0 "no_resist" "cold" "no_pref" 1 1 1 0 0 0 0 3 4 3 "long" "moderate" "NO"
"Agapetus laniger" "SPEED2ZERO" "Insects" "Agapetus laniger Pictet, 1834" "SPECIES" "INN" NA "VU" NA "Agapetus" "Glossosomatidae" "Trichoptera" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "fic" "holometabolic" "<=1" 0 0 0 6.2 3.12 0.04 0.68 0.6 0.12 0.32 1.28 2.08 0.88 0 2.96 0.12 1.88 0 0 1.4 0.84 0 0.24 0.76 0 2.32 1 1 0 0 0 0 0 0 1 0 1.16 7.76 0 0.96 0 0.04 0.6 0.64 0.12 0.84 1.32 0 2.2 2.92 0.64 2.08 0 0 "limnophil" 1.8 2.24 8.2 1.92 0 0 0 "no_resist" "mixed" "no_pref" 1 1 0 0 0 0 0 1.52 5.8 2.4 "long" "very_wide" "NO"
"Agapetus nimbulus" "SPEED2ZERO" "Insects" "Agapetus nimbulus McLachlan, 1879" "SPECIES" "INN" NA "VU" NA "Agapetus" "Glossosomatidae" "Trichoptera" "Insecta" "Arthropoda" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "fic" "holometabolic" "<=1" 0 0 0.12 5.6 3.68 0 1.96 1.84 1.76 2.2 2.16 0.8 0.16 0 0.32 0 5.28 0 0 1.16 1.24 0 0.44 0.16 0 0 1 1 0 0 0 0 0 0 1 0 1.16 7.76 0 0.92 0 0 0 0.2 0.72 2.44 2.56 0 0.16 1.16 0.32 0.76 0.08 0 "rheophil" 3.12 1.44 8.4 1.6 0 0 0 "no_resist" "cold" "no_pref" 1 1 1 0 0 0 0 1.8 5.36 2.12 "long" "very_wide" "NO"
"Agapetus ochripes" "SPEED2ZERO" "Insects" "Agapetus ochripes Curtis, 1834" "SPECIES" "INN" NA "LC" NA "Agapetus" "Glossosomatidae" "Trichoptera" "Insecta" "Arthropoda" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "fic" "holometabolic" "<=1" 0 0 0 3 7 0 0 0 1 7 2 0 0 0 0 0 8 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 8 0 1 0 0 0 0 0 5 5 0 0 0 0 0 0 0 "rheophil" 5 1 8.72 1.44 0 0 0 "no_resist" "mixed" "no_pref" 1 1 1 0 0 0 0 5 5 0 "short" "moderate" "NO"
"Agraylea multipunctata" "SPEED2ZERO" "Insects" "Agraylea multipunctata Curtis, 1834" "SPECIES" "INN" NA "LC" NA "Agraylea" "Hydroptilidae" "Trichoptera" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "fic" "holometabolic" "<=1" 0 0 0 7.48 2.76 0 0.08 0.28 0.12 0 0.64 2.72 1.36 0 4.84 0 0.28 0 0 1.04 0.4 0 0.2 2.32 0 5.16 1 1 0 0 0 0 0 0 1 0 1 8.08 0 1.04 0 0 0.84 0.2 0 0.36 0.96 0 2.24 2.6 0.44 2.56 0.04 0 "limnophil" 1.36 2.64 7.96 2.04 0 0 0 "no_resist" "mixed" "no_pref" 1 1 0 0 0 0 0 1.4 6.32 2.68 "long" "very_wide" "NO"
"Agraylea sexmaculata" "SPEED2ZERO" "Insects" "Agraylea sexmaculata Curtis, 1834" "SPECIES" "INN" NA "LC" NA "Agraylea" "Hydroptilidae" "Trichoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "vec" "holometabolic" "<=1" 0 0 0 8 0 2 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 10 1 0 0 0 0 0 0 0 1 0 1 8 0 1 0 0 0 0 0 0 0 0 10 0 0 0 0 0 "limnobiont" 1 1 7 3 0 0 0 "no_resist" "warm" "no_pref" 1 1 0 0 0 0 0 2 6 2 "long" "very_wide" "NO"
