"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "BodyLength_max" "BEl" "VEp" "REs" "OGp" "RMl" "BLs" "PFv" "PFs" "CPt" "Litter_size" "CAT_Litter_size" "Age_at_maturity_y" "CAT_Age_at_maturity_y" "Longevity_max_y" "CAT_Longevity_max_y" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Eggs" "Diet_Scav" "Diet_Phyto" "Diet_Plant" "Diet_Parasit" "Diet_Other" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat" "Feeding_habitat" "Reprod_habitat" "Spawning_habitat" "Flow_habitat" "Salt_habitat" "MinTemp" "MaxTemp" "Migration_type" "Migration_dist" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abramis brama" "SPEED2ZERO" "Fishes" "Abramis brama (Linnaeus, 1758)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Abramis" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 820 2.546312456 0.546875558 0.341575092 0.512381063 0.26297763 0.398473812 0.36893787 0.194460833 3.01447933 602772.08 "fe3" 1.96 "ma4" 13.32 "ls3" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "phylith" "eury" "rheo" "frb" -8.192 30.504 "pot" "short" 10087817.6155522 "NO"
"Achondrostoma arcasii" "EEA" "Fishes" "Achondrostoma arcasii (Steindachner, 1866)" "SPECIES" NA "Yes" NA "VULNERABLE" "Achondrostoma" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250 3.492962902 0.434414978 0.383017098 0.359907758 0.392035207 0.507366533 0.206647267 0.189963951 2.959343127 31236.56 "fe1" 2.94 "ma1" 9.64 "ls1" "Scavenger" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "rheo" "fre" -7.96 30.716 "pot" "short" 309692.349539848 "NO"
"Achondrostoma occidentale" "EEA" "Fishes" "Achondrostoma occidentale (Robalo, Almada, Sousa Santos, Moreira & Doadrio, 2005)" "SPECIES" NA "Yes" NA "ENDANGERED" "Achondrostoma" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 342.68 3.96166761516 0.48393933544 0.4877114418 0.41533761412 0.36581361072 0.44342499924 0.26175799772 0.16193310012 2.47235530372 167819 "fe1" 2.24 "ma2" 9.34 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.092 31.26 "pot" "short" 2613.76228591715 "NO"
"Achondrostoma oligolepis" "EEA" "Fishes" "Achondrostoma oligolepis (Robalo, Doadrio, Almada & Kottelat, 2005)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Achondrostoma" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250 3.578175354 0.553902596 0.469234191 0.461755347 0.406155015 0.488770623 0.299459876 0.169568676 1.778714295 206876.44 "fe2" 2.52 "ma2" 9.84 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.028 30.444 "nom" "short" 80217.2070572461 "NO"
"Achondrostoma salmantinum" "EEA" "Fishes" "Achondrostoma salmantinum Doadrio & Elvira, 2007" "SPECIES" NA "Yes" NA "ENDANGERED" "Achondrostoma" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 487.56 4.04322405912 0.47604369856 0.46486233044 0.36454027224 0.35165030392 0.44328168048 0.24380267768 0.15946585872 2.6306424206 305086.4 "fe1" 2.26 "ma1" 11.44 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.116 30.58 "pot" "short" 9963.26549595016 "NO"
"Acipenser gueldenstaedtii" "EEA" "Fishes" "Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833" "SPECIES" NA "No" NA "CRITICALLY_ENDANGERED" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2360 5.623484547 0.281538806 0.373503483 0 0.23484922148 0.456523899 0 0.161473163 4.036914648 614173.4 "fe3" 4.24 "ma5" 21.06 "ls3" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" -8.18 30.912 "dia" "long" 2022524.84398356 "NO"
"Acipenser naccarii" "InfoSpecies" "Fishes" "Acipenser naccarii Bonaparte, 1836" "SPECIES" "NEO" NA NA "CRITICALLY_ENDANGERED" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2000 6.551865129 0.212053188 0.360114556 0.212053188 0.29425293124 0.295935313 0 0.128569755 3.691615757 523450 "fe3" 4.1 "ma5" 23.4 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "lithpel" "rheo" "eury" "fbm" -8.192 30.64 "dia" "long" 36728.0543319357 "NO"
"Acipenser nudiventris" "EEA" "Fishes" "Acipenser nudiventris Lovetsky, 1828" "SPECIES" NA "No" NA "CRITICALLY_ENDANGERED" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2110 6.063213804 0.427132717 0.225251679 0 0.147225851 0.40131362 0 0.168950701 3.772213697 735377 "fe3" 4.7 "ma5" 18.42 "ls3" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" -8.028 30.776 "dia" "long" 1260706.33859222 "NO"
"Acipenser persicus" "EEA" "Fishes" "Acipenser persicus Borodin, 1897" "SPECIES" NA "No" NA "CRITICALLY_ENDANGERED" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2550 5.90920942 0.34835932 0.286088355 0 0.167096847 0.458549889 0 0.141044583 4.677642862 593966.2 "fe3" 4.76 "ma5" 18.38 "ls3" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" -8.204 30.912 "dia" "long" 779250.579211533 "NO"
"Acipenser ruthenus" "EEA" "Fishes" "Acipenser ruthenus Linnaeus, 1758" "SPECIES" NA "No" NA "ENDANGERED" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1250 7.503637265 0.284759694 0.306006503 0.121716216 0.231894883 0.428815146 0 0.146616693 4.013454139 488121.44 "fe3" 4.26 "ma5" 19.42 "ls3" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "lithpel" "rheo" "rheo" "frb" -8.216 30.912 "pot" "medium" 2204002.25304739 "NO"
"Acipenser stellatus" "EEA" "Fishes" "Acipenser stellatus Pallas, 1771" "SPECIES" NA "No" NA "CRITICALLY_ENDANGERED" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2500 8.674477993 0.280231335 0.280278547 0 0.278200985 0.325371789 0 0.098354576 4.437812167 601936.4 "fe3" 4.6 "ma5" 22.8 "ls3" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" -8.232 30.64 "dia" "long" 2209946.33100385 "NO"
"Acipenser sturio" "InfoSpecies" "Fishes" "Acipenser sturio Linnaeus, 1758" "SPECIES" NA NA "RE" "CRITICALLY_ENDANGERED" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6000 8.307055489 0.343421838 0.311984323 0 0.196335259 0.433890215 0 0.1219932778 3.30320441 558509.44 "fe3" 4.56 "ma5" 18 "ls3" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "lith" "rheo" "rheo" "fbm" -8.356 30.776 "dia" "long" 1417046.95898062 "NO"
"Alburnoides bipunctatus" "SPEED2ZERO" "Fishes" "Alburnoides bipunctatus (Bloch, 1782)" "SPECIES" "INN" NA "VU" NA "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 185 3.512796769 0.525739563 0.623262053 0.488984023 0.580383492 0.451359456 0.268386674 0.204675647 3.342143807 36091.6 "fe1" 3.14 "ma2" 8.92 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "rheo" "frb" -8.32 30.988 "pot" "short" 1406240.32785825 "NO"
"Alburnoides eichwaldii" "EEA" "Fishes" "Alburnoides eichwaldii (De Filippi, 1863)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 567.56 4.12076777364 0.480840563 0.48311663888 0.35016009036 0.36955199592 0.46999670744 0.2634795028 0.15768014624 2.44262819968 458790.84 "fe1" 3.64 "ma3" 12.4 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "limno" "fre" -8.168 31.124 "pot" "short" 483821.228857157 "YES"
"Alburnoides gmelini" "EEA" "Fishes" "Alburnoides gmelini Bogutskaya & Coad, 2009" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 288.44 3.838645624 0.49283337116 0.50812346316 0.39906833324 0.3383506648 0.45483924428 0.2512167688 0.1637801194 2.68853145016 188111.88 "fe1" 2.4 "ma1" 9.8 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.08 30.912 "pot" "short" 22631.4264943026 "NO"
