"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abortiporus biennis" "SPEED2ZERO" "Fungi" "Abortiporus biennis (Bull.) Singer" "SPECIES" "INN" NA "VU" NA "Abortiporus" "Podoscyphaceae" "Polyporales" "Agaricomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44 2.14230256410256 0.41 38.2238307692308 275.89 18.4776857142857 2.52 88.6379873998666 10.126 12.444 9756.53940221481 5941.32 0 1 0 1 0 "wood" 5886215.89271422 "NO"
"Abrothallus bertianus" "InfoSpecies" "Fungi" "Abrothallus parmeliarum (Sommerf.) Arnold" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.991919047619 3.74136 0.742621481481481 15.9125333333333 253.008635695007 19.5951857142857 5.252 45.0309106332 6.012 8.824 227.179413747708 7101 0 1 0 1 0 "mosses_lichens" 9225068.58525694 "NO"
"Abrothallus bryoriarum" "InfoSpecies" "Fungi" "Abrothallus bryoriarum Hafellner" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.7535866666667 3.9024 0.859813333333333 14.7245466666667 217.84739924812 22.0794 5.228 60.8442000138 6.294 9.196 245.66412604241 7113.96 0 1 0 1 0 "mosses_lichens" 10657063.3530399 "NO"
"Abrothallus buellianus" "InfoSpecies" "Fungi" "Abrothallus buellianus De Not." "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.889968115942 3.9063 0.848514426450742 14.9633641025641 214.658005263158 20.1677333333333 5.448 60.1138879515333 6.272 8.726 3379.77450076902 8086 0 1 0 1 0 "mosses_lichens" 9766309.24162745 "NO"
"Abrothallus caerulescens" "InfoSpecies" "Fungi" "Abrothallus caerulescens I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.8104 3.94528 0.870634228734228 14.59296 190.839131851852 16.6186857142857 5.012 95.1402359582666 5.744 8.956 205.773983706915 7598.28 0 1 0 1 0 "mosses_lichens" 8005481.20180539 "NO"
"Abrothallus cetrariae" "InfoSpecies" "Fungi" "Abrothallus cetrariae I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.8780105175983 4.47890666666667 0.85171 15.0381415384615 188.221128852901 16.6107714285714 5.16 64.7017245867333 5.94 8.706 3305.73473316221 7926.86 0 1 0 1 0 "mosses_lichens" 7788339.73095786 "NO"
"Abrothallus chrysanthus" "InfoSpecies" "Fungi" "Abrothallus chrysanthus Stein, 1879" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.8157147089947 3.74594 0.744089649122807 15.27806 214.06210877193 18.3077523809524 5.044 76.3430636834 6.302 9.16 208.79787135575 8334.74 0 1 0 1 0 "mosses_lichens" 4593986.19596272 "NO"
"Abrothallus cladoniae" "InfoSpecies" "Fungi" "Abrothallus cladoniae R.Sant. & D.Hawksw." "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.9486428571429 4.20746666666667 0.889727368421053 16.2772107692308 235.883053809524 21.0247857142857 5.428 74.8755371466667 5.974 9.308 3411.09466108887 7752.12 0 1 0 1 0 "mosses_lichens" 7016099.64895211 "NO"
"Abrothallus microspermus" "InfoSpecies" "Fungi" "Abrothallus microspermus Tul." "SPECIES" NA NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.8010857142857 3.86184 0.863466666666667 14.771 196.56565 17.9093 5.712 74.7679627474 5.814 8.752 166.5154690464 8553.16 0 1 0 1 0 "mosses_lichens" 6485846.92803314 "NO"
"Abrothallus parmeliarum" "SPEED2ZERO" "Fungi" "Abrothallus parmeliarum (Sommerf.) Arnold" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.8473333333333 3.91770666666667 0.815904463937622 15.82296 219.043805263158 16.7716857142857 5.508 71.2802728062667 6.21 8.754 185.499883068582 8608.12 0 1 0 1 0 "mosses_lichens" 6082312.138005 "NO"
"Abrothallus parmotrematis" "InfoSpecies" "Fungi" "Abrothallus parmotrematis Diederich" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.7033925925926 3.999 0.774766666666667 16.0673907692308 230.404461885483 19.1845904761905 5.256 65.4393603287333 6.056 9.032 209.142200382559 7224.88 0 1 0 1 0 "mosses_lichens" 5661573.9981494 "NO"
"Abrothallus peyritschii" "InfoSpecies" "Fungi" "Abrothallus peyritschii (Stein) I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.6632592592593 4.07002666666667 0.780099966329966 14.9854933333333 233.782394708995 21.1168 5.796 87.0035429798 5.76 8.39 3339.61802468033 7876.2 0 1 0 1 0 "mosses_lichens" 11164524.7667694 "NO"
"Abrothallus pezizicola" "InfoSpecies" "Fungi" "Abrothallus pezizicola Diederich & R.C.Harris" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.6933333333333 3.90246923076923 0.946774463937622 15.5427507692308 171.989448555149 15.9170380952381 5.448 73.3589926717333 5.718 8.43 181.179910426557 8237 0 1 0 1 0 "mosses_lichens" 9338363.56649313 "NO"
"Abrothallus prodiens" "InfoSpecies" "Fungi" "Abrothallus prodiens (Harm.) Diederich & Hafellner" "SPECIES" NA NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.9397142857143 3.86920666666667 0.796431871345029 16.1049533333333 221.919336190476 19.2888523809524 5.344 50.7371029184667 6.102 8.75 244.678357099567 9479 0 1 0 1 0 "mosses_lichens" 7786306.42887861 "NO"
