"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Riparian_sp" "Meadow_sp" "Overwinter_stage" "BodyLength_mm" "BodyWidth_mm" "Litter_size" "Flight_capacity" "Wing_length_mm" "Wing_width_mm" "Wingspan_mm" "Diet" "Diet_WoodyFlower" "Diet_HerbFlower" "Diet_Fungi" "Diet_Scav" "Diet_Mineral" "LARVA_Diet_range" "LARVA_Diet_Grass" "LARVA_Diet_Herbs" "LARVA_Diet_Woody" "LARVA_DietPart_Flower" "LARVA_DietPart_Leaf" "LARVA_DietPart_Bud" "LARVA_DietPart_Stem" "nGenus" "nFamily" "PrimaryHostplantFamily" "SecondaryHostplantFamily" "HostPlantIndex" "Ter" "Aqu" "Arb" "Aer" "CanopyAffinity" "Biotope_range" "HAB_MesoGrass" "HAB_DryGrass" "HAB_Shrubs" "HAB_Forests" "HAB_TallGrass" "HAB_Wetlands" "HAB_Water" "HAB_Rocks" "HAB_Human" "LARVA_Soil" "LARVA_Ground" "LARVA_Field" "LARVA_Shrubs" "LARVA_Forests" "Basking_dorsalA" "Basking_dorsalR" "Basking_wings" "EIV_Temp" "AnnuMeanTemp" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abrostola agnorista" "SPEED2ZERO" "Insects" "Abrostola agnorista Dufay, 1956" "SPECIES" "INN" NA NA NA "Abrostola" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1.6 "larva" 11.6 2.66 2.64 0.425454545454546 15.1964 8.88 29.68 "Herbivorous" 0 1 0 0 1 "narrow_oligophag" 0 0 0 1 1 0 0 2.44 1.32 "Fabaceae" "None" 0.57204 1 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 2.4 8.1772 1 0 1 1 0 0.176 1839110.6649049 "YES"
"Abrostola asclepiadis" "SPEED2ZERO" "Insects" "Abrostola asclepiadis (Denis & Schiffermüller), 1775" "SPECIES" "INN" NA NA NA "Abrostola" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1.92 "larva" 10.78 2.5 2.4 0.36 14.2362 8.34 27.94 "Herbivorous" 0 1 0 0 0 "narrow_oligophag" 0 1 0 1 1 0 0 1.88 1.16 "Fabaceae" "None" 0.5834 1 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 2.12 7.6532 0 1 1 1 0 0.216 630315.268311455 "YES"
"Abrostola tripartita" "SPEED2ZERO" "Insects" "Abrostola tripartita (Hufnagel, 1766)" "SPECIES" "INN" NA NA NA "Abrostola" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.92 2.04 "larva" 11.08 2.56 2.68 0.316363636363636 14.4545 8.38 27.52 "Herbivorous" 0 1 0 0 1 "narrow_oligophag" 0 1 0 1 1 0 0 1.88 1.24 "Fabaceae" "None" 0.65268 1 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 3.12 7.8308 0 1 1 0 0 0.210666666666667 1512983.19270091 "YES"
"Abrostola triplasia" "SPEED2ZERO" "Insects" "Abrostola triplasia (Linnaeus, 1758)" "SPECIES" "INN" NA NA NA "Abrostola" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.28 1.8 "larva" 11.16 2.46 2.52 0.36 14.5812 8.74 28 "Herbivorous" 0 1 0 0 0 "narrow_oligophag" 0 1 0 1 1 0 0 1.8 1.12 "Fabaceae" "None" 0.54652 1 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 1.92 7.7468 0 0 1 1 0 0.16 533521.450797777 "YES"
"Acanthopsyche atra" "InfoSpecies" "Insects" "Acanthopsyche atra (Linnaeus, 1767)" "SPECIES" "INN" NA "NT (4)" NA "Acanthopsyche" "Psychidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 1.56 "cocoon" 16.1 3.56 3 0.436363636363636 21.513 12.74 38.39 "Herbivorous" 0 1 0 0 0 "oligophag" 0 1 0 1 1 0 0 2.56 1.32 "Brassicaceae" "None" 0.4248 0 0 1 1 "Mixed canopy (open affinity)" "stenotope" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2.44 9.0876 0 1 1 0 0 0.394666666666667 183631.893249654 "YES"
"Acherontia atropos" "SPEED2ZERO" "Insects" "Acherontia atropos Linnaeus, 1758" "SPECIES" "INM" NA NA NA "Acherontia" "Sphingidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1.72 "cocoon" 16.2 3.48 3.44 0.44 21.5589 13.24 40.4 "Herbivorous" 0 1 0 0 0 "narrow_oligophag" 0 1 0 1 1 0 0 2.16 1.16 "Brassicaceae" "None" 0.57112 1 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 2.96 9.582 1 1 1 0 0 0.472 126054.198757529 "YES"
"Achlya flavicornis" "SPEED2ZERO" "Insects" "Achlya flavicornis Linnaeus, 1758" "SPECIES" "INN" NA NA NA "Achlya" "Drepanidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.08 1.84 "larva" 12.92 3.52 2.4 0.447272727272727 15.1005 8.54 29.72 "Herbivorous" 0 1 0 0 0 "narrow_oligophag" 0 1 0 0 1 0 0 1.92 1.24 "Fabaceae" "None" 0.60116 1 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 2.2 7.5184 0 0 1 1 0 0.205333333333333 158691.873918582 "YES"
"Acontia lucida" "SPEED2ZERO" "Insects" "Acontia lucida Hufnagel, 1766" "SPECIES" "INN" NA NA NA "Acontia" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.08 2.16 "larva" 11.46 2.52 2.52 0.363636363636364 14.5903 8.68 28.46 "Herbivorous" 0 1 0 0 0 "narrow_oligophag" 0 1 0 1 1 0 0 3.92 1.48 "Fabaceae" "None" 0.5838 1 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1.76 7.8336 0 1 1 1 0 0.226666666666667 925410.470766785 "YES"
"Acosmetia caliginosa" "InfoSpecies" "Insects" "Acosmetia caliginosa (Hübner, 1813)" "SPECIES" "INN" NA NA NA "Acosmetia" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1.88 "larva" 11.32 2.64 2.48 0.261818181818182 14.9614 8.66 28.27 "Herbivorous" 0 1 0 0 0 "narrow_oligophag" 0 1 0 1 1 0 0 1.8 1.16 "Fabaceae" "None" 0.54332 1 0 1 1 "Mixed canopy (open affinity)" "oligotope" 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 2.16 7.6032 0 0 1 1 0 0.189333333333333 365874.147668328 "YES"
"Acronicta aceris" "SPEED2ZERO" "Insects" "Acronicta aceris (Linnaeus, 1758)" "SPECIES" "INN" NA NA NA "Acronicta" "Noctuidae" "Lepidoptera" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.08 1.8 "larva" 10.62 2.58 2.6 0.305454545454546 14.5566 9.16 27.87 "Herbivorous" 0 1 0 0 0 "narrow_oligophag" 0 1 0 1 1 0 0 2.32 1.36 "Fabaceae" "None" 0.54012 0 0 1 1 "Canopy generalist" "oligotope" 0 1 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 2.44 7.8548 0 0 1 1 0 0.224 1540482.08072661 "YES"
