"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "BodyLength_mm" "Litter_size" "Sexes" "Reprod_cross" "Reprod_self" "Reprod_parthenog" "Longevity_max_y" "Whorls" "Shape_oblong" "Shape_globose_conical" "Shape_depressed" "Shell_calcified_minus" "Shell_calcified_plus" "Shell_rudimentary" "Shell_close_operculum" "Shell_close_epiphrag" "Shell_close_calc" "Shell_close_nocalc" "Shell_close_noepiphrag" "Shell_close_cap" "Peri_structr_hairs" "Peri_structr_scales" "Peri_structr_ribs" "Peri_structr_none" "Aperture_peristome" "Aperture_rib" "Aperture_armature" "Aperture_simple" "Transport_sws" "Transport_swd" "Transport_bub" "Transport_spw" "Transport_ses" "Transport_oth" "Stream_pref_euc" "Stream_pref_hyc" "Stream_pref_erh" "Stream_pref_mrh" "Stream_pref_hrh" "Stream_pref_epo" "Stream_pref_mpo" "Stream_pref_hpo" "Stream_pref_lit" "Stream_pref_pro" "Diet_detritus" "Diet_litter" "Diet_pleuston" "Diet_fungi" "Diet_lichen" "Diet_epiphyte" "Diet_endolithic" "Diet_moss" "Diet_algae" "Diet_plant" "Diet_alive" "Diet_scav" "Diet_carniv" "Diet_gra" "Diet_min" "Diet_xyl" "Diet_shr" "Diet_gat" "Diet_aff" "Diet_pff" "Diet_pre" "Diet_par" "Diet_oth" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate_arg" "Substrate_pel" "Substrate_psa" "Substrate_aka" "Substrate_lit" "Substrate_phy" "Substrate_pom" "Substrate_oth" "Flow_habitat" "Salt_pref_salfr" "Salt_pref_salol" "Salt_pref_salme" "Salt_pref_salpo" "Salt_pref_saleu" "EIV_Moisture" "EIV_Drought" "EIV_Light" "EIV_Temp" "EIV_T_range" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Geo_range" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abida ateni" "EEA" "Molluscs" "Abida ateni E.Gittenberger, 1973" "SPECIES" NA "Yes" NA "VULNERABLE" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.025 "1-10" "Hermaphordite" 1 1 0 "2-5+y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0.4 0 1.72 4.44 3.36 0 0.08 0.52 0.88 0.68 0.96 1.96 2 1.08 2.76 0.04 0 0 0 0 1 1 0 0 1 1 0 1 0 1.08 0 0 0.4 0.6 7.24 0 0 0 0.4 0 1 0 0 0 0.32 2.8 1.6 0.72 0.88 1.48 1.32 1.88 "rheo_to_limnophil" 6.96 2.6 0.16 0 0 0.269333333333333 0.809230769230769 0.475 18.1448 2.47988 0 1 1 1 0 "very_wide" 181832.234379978 "NO"
"Abida attenuata" "EEA" "Molluscs" "Abida attenuata (Fagot, 1887)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.75 "1-10" "Hermaphordite" 1 1 0 "2-5+y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0.28 0 1.44 5.44 3.52 0 0 0.52 1.44 1.08 0.92 1.2 1.76 1.2 2.68 0.08 0 0 0 0 1 1 0 0 1 1 0 1 0 1.48 0 0 0.56 0.6 6.52 0 0 0 0.48 0 1 0 0 0 0.08 3.04 1.16 0.36 0.92 2.52 1.2 2.52 "limno_to_rheophil" 8.16 1.88 0 0 0 0.152 0.821538461538462 0.475 17.5116 1.88928 0 1 1 1 0 "very_wide" 842.669952314103 "NO"
"Abida bigerrensis" "EEA" "Molluscs" "Abida bigerrensis (Moquin-Tandon, 1856)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.375 "1-10" "Hermaphordite" 1 1 0 "2-5+y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0.16 0 1.64 5.68 3.08 0 0 0.64 1 0.92 0.88 1.44 1.56 1.32 2.36 0.52 0 0 0 0 1 1 0 0 1 1 0 1 0 1.36 0 0 0.56 1.32 6.92 0 0 0 0.72 0 1 0 1 0 0.48 3.12 1.28 0.84 0.92 2.44 1.36 2.08 "limno_to_rheophil" 8.04 1.64 0 0 0 0.165333333333333 0.843076923076923 0.54 17.9512 2.14548 0 1 1 1 0 "very_wide" 187042.357231016 "NO"
"Abida cylindrica" "EEA" "Molluscs" "Abida cylindrica (Michaud, 1829)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.3 "1-10" "Hermaphordite" 1 0 0 "1-2y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0.04 0 2.04 4.68 3.64 0 0.04 0.28 1.24 0.84 0.92 1.36 1.68 0.68 3.04 0.84 0 0 0 0 1 1 0 0 1 1 0 1 0 1.08 0 0 0.12 0.6 7.04 0 0 0 0.2 0 1 0 0 0 0.84 3.04 1.8 1.04 1.12 1.6 0.88 1.08 "limno_to_rheophil" 7.36 2.4 0 0 0 0.202666666666667 0.778461538461539 0.55 17.74 1.98628 0 1 1 1 0 "very_wide" 14440.7003704918 "NO"
"Abida gittenbergeri" "EEA" "Molluscs" "Abida gittenbergeri Bössneck, 2000" "SPECIES" NA "Yes" NA "NEAR_THREATENED" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.275 "1-10" "Hermaphordite" 1 1 0 "1-2y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0.44 0 1.48 5.44 2.56 0 0 0.44 0.92 0.8 1.24 1.68 2.08 1.08 3.84 0.48 0 0 0 0 1 1 0 0 1 1 0 1 0 1.92 0 0 0.84 1.48 5.44 0 0 0 0.56 0 1 0 0 0 0.44 2.6 1.32 0.44 1.32 2.16 1.76 2.68 "limnophil" 8.28 1.72 0 0 0 0.258666666666667 0.753846153846154 0.435 17.7916 2.07568 0 1 1 1 0 "very_wide" 703.212928109133 "NO"
"Abida occidentalis" "EEA" "Molluscs" "Abida occidentalis (Fagot, 1888)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.85 "1-10" "Hermaphordite" 1 0 0 "2-5+y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0.56 0 1.96 5.44 3.08 0 0 0.4 0.92 0.88 0.88 1.48 1.84 1.12 2.36 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1.4 0 0 0.68 0.72 6.24 0 0 0 0.52 0 1 0 0 0 0.28 2.36 2.2 0.64 1.04 1.4 1.2 1.48 "rheo_to_limnophil" 7.32 2.32 0.08 0 0 0.125333333333333 0.883076923076923 0.59 17.5984 2.18052 0 1 1 1 0 "very_wide" 5226.07771636732 "NO"
"Abida partioti" "EEA" "Molluscs" "Abida partioti (Saint-Simon, 1848)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.95 "1-10" "Hermaphordite" 1 1 0 "1-2y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0.16 0 1.4 5.6 2.8 0 0.04 1.12 1.12 1.08 1 1.48 1.64 1.36 2.76 0.4 0 0 0 0 1 1 0 0 1 1 0 1 0 1.48 0 0 0.52 1.24 6.88 0 0 0 0.36 0 1 0 0 0 0.2 3.32 1.32 0.88 1 2.36 1.16 2.12 "limno_to_rheophil" 7.8 2.2 0 0 0 0.208 0.729230769230769 0.535 17.7112 1.76532 0 1 1 1 0 "very_wide" 10736.8231572685 "NO"
"Abida polyodon" "InfoSpecies" "Molluscs" "Abida polyodon (Draparnaud, 1801)" "SPECIES" NA NA "NE" "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.15 "1-10" "Hermaphordite" 1 0 0 "2-5y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0.44 0 2.16 5.72 3.16 0 0 0.2 0.72 0.68 1.28 1.28 1.84 1.36 2.76 0.48 0 0 0 0 1 1 0 0 1 1 0 1 0 1.36 0 0 0.44 0.52 7.52 0 0 0 0.32 0 1 0 0 0 0.52 2.92 1.44 1.08 0.76 1.4 1.32 1.88 "limnophil" 7.44 2.2 0 0 0 0.194666666666667 0.784615384615385 0.47 17.79 1.85988 0 1 1 1 0 "very_wide" 36740.2801831613 "NO"
"Abida pyrenaearia" "EEA" "Molluscs" "Abida pyrenaearia (Michaud, 1831)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.7 "1-10" "Hermaphordite" 1 1 0 "2-5+y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0.28 0 1.36 5.6 2.64 0 0.04 0.56 0.92 0.72 0.76 1.28 1.64 1.4 3.08 1.24 0 0 0 0 1 1 0 0 1 1 0 1 0 1.68 0 0 0.72 1.32 5.92 0 0 0 0.6 0 1 0 0 0 0.28 3.36 1.4 0.76 1.08 1.32 1.44 2.44 "limno_to_rheophil" 7.72 1.92 0.08 0 0 0.226666666666667 0.809230769230769 0.455 17.5776 1.96596 0 1 1 1 0 "very_wide" 1577.00923366577 "NO"
"Abida secale" "SPEED2ZERO" "Molluscs" "Abida secale (Draparnaud, 1801)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 "1-10" "Hermaphordite" 1 1 0 "2-5+y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0.28 0 1.72 4.36 3.96 0 0.04 0.8 1.72 1.36 2.12 1.64 1.72 1.4 2.32 0 0 1 0 0 1 1 0 0 1 1 0 1 0 0.56 0 0 0.08 0.56 8.24 0 0 0 0.2 0 1 0 0 0 0.6 4.08 1.8 0.28 0.76 1.6 1.92 2.04 "rheo_to_limnophil" 7.36 2.44 0 0 0 0.133333333333333 1 0.875 17.3116 1.80964 0 1 1 1 1 "very_wide" 2186752.59035235 "NO"
