"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Acanthis flammea" "Acanthis.flammea" "aves" 1 0 0.0045045045045045 0.10028813477198 0.661835748792271
"Accipiter gentilis" "Accipiter.gentilis" "aves" 1 0 0.0045045045045045 0.30419714572018 0.516908212560387
"Accipiter nisus" "Accipiter.nisus" "aves" 1 0 0.0045045045045045 0.25217567367236 0.516908212560387
"Acrocephalus palustris" "Acrocephalus.palustris" "aves" 1 0 0.0045045045045045 0.246269290116436 0.620772946859903
"Acrocephalus scirpaceus" "Acrocephalus.scirpaceus" "aves" 1 0 0.0045045045045045 0.213015463742029 0.688405797101449
"Actitis hypoleucos" "Actitis.hypoleucos" "aves" 1 1 0.0135135135135135 0.225828249399682 0.849033816425121
"Aegithalos caudatus" "Aegithalos.caudatus" "aves" 1 0 0.027027027027027 0.171136779060731 0.527777777777778
"Aegolius funereus" "Aegolius.funereus" "aves" 1 0 0.00900900900900901 0.271758891305424 0.617149758454106
"Aix galericulata" "Aix.galericulata" "aves" 0 1 0.0135135135135135 0.183335060655776 0.93719806763285
"Alauda arvensis" "Alauda.arvensis" "aves" 1 0 0.00900900900900901 0.228062336832614 0.555555555555556
"Alcedo atthis" "Alcedo.atthis" "aves" 0 1 0.0045045045045045 0.347146221879912 0.699275362318841
"Alectoris graeca" "Alectoris.graeca" "aves" 1 0 0.00900900900900901 0.241086665932244 0.702898550724638
"Anas platyrhynchos" "Anas.platyrhynchos" "aves" 0 1 0.0135135135135135 0.183335060655776 0.535024154589372
"Anser anser" "Anser.anser" "aves" 1 0 0.0045045045045045 0.685835396775215 0.904589371980676
"Anthus pratensis" "Anthus.pratensis" "aves" 1 0 0.0045045045045045 0.228062336832614 0.722222222222222
"Anthus spinoletta" "Anthus.spinoletta" "aves" 1 0 0.0045045045045045 0.322102675213265 0.630434782608696
"Anthus trivialis" "Anthus.trivialis" "aves" 1 0 0.00900900900900901 0.279269755155228 0.516908212560387
"Apus apus" "Apus.apus" "aves" 0 0 0.00900900900900901 0.210918555116971 0.518115942028986
"Aquila chrysaetos" "Aquila.chrysaetos" "aves" 1 0 0.036036036036036 0.544301767800713 0.696859903381642
"Ardea cinerea" "Ardea.cinerea" "aves" 0 1 0.0045045045045045 0.389900618988171 0.708937198067633
"Ardea purpurea" "Ardea.purpurea" "aves" 0 1 0.0045045045045045 0.310286974295055 0.972222222222222
"Asio otus" "Asio.otus" "aves" 1 0 0.00900900900900901 0.219868028332976 0.596618357487923
"Athene noctua" "Athene.noctua" "aves" 1 0 0.0045045045045045 0.180232755704934 0.943236714975845
"Aythya ferina" "Aythya.ferina" "aves" 0 1 0.0045045045045045 0.18631444444146 0.957729468599034
"Aythya fuligula" "Aythya.fuligula" "aves" 0 1 0.0045045045045045 0.243777736489772 0.714975845410628
"Bonasa bonasia" "Bonasa.bonasia" "aves" 1 0 0.0135135135135135 0.299167514568322 0.595410628019324
"Bubo bubo" "Bubo.bubo" "aves" 1 0 0.0045045045045045 0.355755097702983 0.660628019323672
"Buteo buteo" "Buteo.buteo" "aves" 1 0 0.00900900900900901 0.448981674160144 0.519323671497585
"Caprimulgus europaeus" "Caprimulgus.europaeus" "aves" 1 0 0.0135135135135135 0.388578354069972 0.795893719806763
"Carduelis carduelis" "Carduelis.carduelis" "aves" 1 0 0.0045045045045045 0.168498709629812 0.518115942028986
"Carduelis citrinella" "Carduelis.citrinella" "aves" 1 0 0.0045045045045045 0.155061669679176 0.631642512077295
"Carpodacus erythrinus" "Carpodacus.erythrinus" "aves" 1 0 0.045045045045045 0.216662128897355 0.730676328502415
"Certhia brachydactyla" "Certhia.brachydactyla" "aves" 1 0 0.0045045045045045 0.0673709356237515 0.541062801932367
"Certhia familiaris" "Certhia.familiaris" "aves" 1 0 0.0045045045045045 0.179028449115379 0.518115942028986
"Charadrius dubius" "Charadrius.dubius" "aves" 1 0 0.00900900900900901 0.225828249399682 0.734299516908212
"Chloris chloris" "Chloris.chloris" "aves" 1 0 0.036036036036036 0.10028813477198 0.516908212560387
"Ciconia ciconia" "Ciconia.ciconia" "aves" 1 0 0.027027027027027 0.712371283212341 0.846618357487923
"Cinclus cinclus" "Cinclus.cinclus" "aves" 0 1 0.0945945945945946 0.690320816300625 0.516908212560387
"Cisticola juncidis" "Cisticola.juncidis" "aves" 1 0 0.121621621621622 0.324849655644953 0.967391304347826
"Coccothraustes coccothraustes" "Coccothraustes.coccothraustes" "aves" 0 0 0.0495495495495495 0.102637550247551 0.516908212560387
"Columba livia subsp. domestica" "Columba.livia.domestica" "aves" 1 0 0.0045045045045045 0.241086665932244 1
"Columba oenas" "Columba.oenas" "aves" 1 0 0.0045045045045045 0.410660525511563 0.669082125603865
"Columba palumbus" "Columba.palumbus" "aves" 1 0 0.00900900900900901 0.26070190826365 0.516908212560387
