"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Allodynerus rossii" "Allodynerus.rossii" "bees" 1 0 0.0832196452933151 0.0342084826037145 0.935990338164251
"Ancistrocerus claripennis" "Ancistrocerus.claripennis" "bees" 1 0 0.0163710777626194 0.00525885416627362 0.780193236714976
"Ancistrocerus gazella" "Ancistrocerus.gazella" "bees" 1 0 0.0163710777626194 0.0171727438153113 0.698067632850242
"Ancistrocerus nigricornis" "Ancistrocerus.nigricornis" "bees" 1 0 0.0163710777626194 0.00551702252412569 0.729468599033816
"Ancistrocerus oviventris" "Ancistrocerus.oviventris" "bees" 1 0 0.0163710777626194 0.00525885416627362 0.706521739130435
"Ancistrocerus trifasciatus" "Ancistrocerus.trifasciatus" "bees" 1 0 0.0163710777626194 0.00551702252412569 0.914251207729469
"Andrena alfkenella" "Andrena.alfkenella" "bees" 1 0 0.0136425648021828 0.172292616887292 0.844202898550725
"Andrena amieti" "Andrena.amieti" "bees" 1 0 0.0109140518417462 0.0337889122496011 0.671497584541063
"Andrena barbilabris" "Andrena.barbilabris" "bees" 1 0 0.169167803547067 0.00376326114903544 0.908212560386473
"Andrena bicolor" "Andrena.bicolor" "bees" 1 0 0.0109140518417462 0.00659183882255359 0.61231884057971
"Andrena bucephala" "Andrena.bucephala" "bees" 1 0 0.0068212824010914 0.226594918784487 0.829710144927536
"Andrena carantonica" "Andrena.carantonica" "bees" 1 0 0.0068212824010914 0.226594918784487 0.692028985507246
"Andrena chrysosceles" "Andrena.chrysosceles" "bees" 1 0 0.00272851296043656 0.00100016859052906 0.741545893719807
"Andrena cineraria" "Andrena.cineraria" "bees" 1 0 0.00818553888130968 0.0116649300383457 0.791062801932367
"Andrena combinata" "Andrena.combinata" "bees" 1 0 0.00272851296043656 0.0166357812032447 0.730676328502415
"Andrena congruens" "Andrena.congruens" "bees" 1 0 0.00272851296043656 0.00215646460685413 0.810386473429952
"Andrena curvungula" "Andrena.curvungula" "bees" 1 0 0.169167803547067 0.0235297784684993 0.653381642512077
"Andrena dorsata" "Andrena.dorsata" "bees" 1 0 0.00272851296043656 0.00659183882255359 0.740338164251208
"Andrena falsifica" "Andrena.falsifica" "bees" 1 0 0.0136425648021828 0.0135253193024373 0.699275362318841
"Andrena flavipes" "Andrena.flavipes" "bees" 1 0 0.00136425648021828 0.0292763597765305 0.731884057971014
"Andrena florea" "Andrena.florea" "bees" 1 0 0.169167803547067 0.32930769956156 0.840579710144927
"Andrena fucata" "Andrena.fucata" "bees" 1 0 0.169167803547067 0.0032468024229006 0.763285024154589
"Andrena fulva" "Andrena.fulva" "bees" 1 0 0.0068212824010914 0.0116649300383457 0.829710144927536
"Andrena fulvago" "Andrena.fulvago" "bees" 1 0 0.169167803547067 0.012887153304928 0.615942028985507
"Andrena fulvata" "Andrena.fulvata" "bees" 1 0 0.169167803547067 0.00100016859052906 0.736714975845411
"Andrena gravida" "Andrena.gravida" "bees" 1 0 0.00136425648021828 0.00115580630170687 0.783816425120773
"Andrena haemorrhoa" "Andrena.haemorrhoa" "bees" 1 0 0.00545702592087312 0.00115580630170687 0.693236714975845
"Andrena hattorfiana" "Andrena.hattorfiana" "bees" 1 0 0.169167803547067 0.0197449235365612 0.783816425120773
"Andrena helvola" "Andrena.helvola" "bees" 1 0 0.169167803547067 0.0032468024229006 0.783816425120773
"Andrena humilis" "Andrena.humilis" "bees" 1 0 0.169167803547067 0.00892621654030751 0.60024154589372
"Andrena intermedia" "Andrena.intermedia" "bees" 1 0 0.00545702592087312 0.0103965729231328 0.661835748792271
"Andrena labialis" "Andrena.labialis" "bees" 1 0 0.169167803547067 0.0070270236644248 0.754830917874396
"Andrena labiata" "Andrena.labiata" "bees" 1 0 0.00272851296043656 0.0183202656129342 0.678743961352657
"Andrena lagopus" "Andrena.lagopus" "bees" 1 0 0.169167803547067 0.0588668435335005 0.740338164251208
"Andrena lapponica" "Andrena.lapponica" "bees" 1 0 0.0068212824010914 0.0197449235365612 0.811594202898551
"Andrena lathyri" "Andrena.lathyri" "bees" 1 0 0.00545702592087312 0.0202953132670016 0.692028985507246
"Andrena minutula" "Andrena.minutula" "bees" 1 0 0.169167803547067 0 0.628019323671498
"Andrena minutuloides" "Andrena.minutuloides" "bees" 1 0 0.0136425648021828 0.0049183022874275 0.72463768115942
"Andrena mitis" "Andrena.mitis" "bees" 1 0 0.0068212824010914 0.183375052245137 0.829710144927536
"Andrena nigroaenea" "Andrena.nigroaenea" "bees" 1 0 0.169167803547067 0 0.753623188405797
"Andrena nigroolivacea" "Andrena.nigroolivacea" "bees" 1 0 0.169167803547067 0 0.907004830917874
"Andrena nitida" "Andrena.nitida" "bees" 1 0 0.169167803547067 0.0208592943650184 0.696859903381642
"Andrena nitidiuscula" "Andrena.nitidiuscula" "bees" 1 0 0.00272851296043656 0.015790138153261 0.890096618357488
"Andrena ovatula" "Andrena.ovatula" "bees" 1 0 0.169167803547067 0.00215646460685413 0.673913043478261
"Andrena pandellei" "Andrena.pandellei" "bees" 1 0 0.169167803547067 0.012887153304928 0.798309178743961
"Andrena praecox" "Andrena.praecox" "bees" 1 0 0.169167803547067 0.00492841136406673 0.910628019323672
"Andrena propinqua" "Andrena.propinqua" "bees" 1 0 0.0405373198113052 0.00892621654030751 0.910628019323672
"Andrena proxima" "Andrena.proxima" "bees" 1 0 0.169167803547067 0.0055644317829033 0.706521739130435
"Andrena rosae" "Andrena.rosae" "bees" 1 0 0.0068212824010914 0.0070270236644248 0.878019323671498
"Andrena ruficrus" "Andrena.ruficrus" "bees" 1 0 0.0109140518417462 0.0201134204369623 0.909420289855073
"Andrena semilaevis" "Andrena.semilaevis" "bees" 1 0 0.0136425648021828 0 0.852657004830918
"Andrena similis" "Andrena.similis" "bees" 1 0 0.00545702592087312 0 0.770531400966184
"Andrena strohmella" "Andrena.strohmella" "bees" 1 0 0.0136425648021828 0.0137728152428473 0.664251207729469
"Andrena subopaca" "Andrena.subopaca" "bees" 1 0 0.0136425648021828 0 0.613526570048309
"Andrena thoracica" "Andrena.thoracica" "bees" 1 0 0.00818553888130968 0.0562755114813986 0.920289855072464
"Andrena tibialis" "Andrena.tibialis" "bees" 1 0 0.169167803547067 0 0.826086956521739
"Andrena vaga" "Andrena.vaga" "bees" 1 0 0.00818553888130968 0.0575446107277029 0.830917874396135
"Andrena ventralis" "Andrena.ventralis" "bees" 1 0 0.169167803547067 0.161730902461535 0.68719806763285
"Andrena viridescens" "Andrena.viridescens" "bees" 1 0 0.00272851296043656 0.015790138153261 0.72463768115942
"Andrena wilkella" "Andrena.wilkella" "bees" 1 0 0.00545702592087312 0.00376326114903544 0.592995169082126
"Anthidiellum strigatum" "Anthidiellum.strigatum" "bees" 1 0 0.0204638472032742 0.00499385322038457 0.611111111111111
"Anthidium manicatum" "Anthidium.manicatum" "bees" 1 0 0.00954979536152797 0.0849139873510803 0.723429951690821
"Anthidium montanum" "Anthidium.montanum" "bees" 1 0 0.00954979536152797 0.197829701890754 0.688405797101449
"Anthidium oblongatum" "Anthidium.oblongatum" "bees" 1 0 0.00954979536152797 0.00395974977310538 0.68719806763285
"Anthidium punctatum" "Anthidium.punctatum" "bees" 1 0 0.00954979536152797 0.214346505698557 0.75
"Anthophora aestivalis" "Anthophora.aestivalis" "bees" 1 0 0.236016371077763 0.0533840701221809 0.590579710144927
