"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Abietinella abietina" "Abietinella.abietina" "bryophytes" 1 0 0.0736932305055698 0.000335047447568243 0.577294685990338
"Amblyodon dealbatus" "Amblyodon.dealbatus" "bryophytes" 1 0 0.00428449014567266 0.510491893041197 0.660628019323672
"Amblystegium confervoides" "Amblystegium.confervoides" "bryophytes" 1 0 0.000856898029134533 0.137662860899866 0.597826086956522
"Amblystegium serpens" "Amblystegium.serpens" "bryophytes" 1 0 0.00428449014567266 0.00804113874163771 0.672705314009662
"Amblystegium subtile" "Amblystegium.subtile" "bryophytes" 1 0 0.156812339331619 0.141172292039959 0.631642512077295
"Amphidium lapponicum" "Amphidium.lapponicum" "bryophytes" 1 0 0.000856898029134533 0.297983754368356 0.793478260869565
"Amphidium mougeotii" "Amphidium.mougeotii" "bryophytes" 1 0 0.000856898029134533 0.111235752592655 0.769323671497585
"Anastrophyllum minutum" "Anastrophyllum.minutum" "bryophytes" 1 0 0.0154241645244216 0.142221409701114 0.729468599033816
"Anastrophyllum minutum subsp. minutum" "Anastrophyllum.minutum.minutum" "bryophytes" 1 0 0.0154241645244216 0.178326053550373 1
"Aneura pinguis" "Aneura.pinguis" "bryophytes" 1 0 0.00428449014567266 0.321445521338602 0.673913043478261
"Anoectangium aestivum" "Anoectangium.aestivum" "bryophytes" 1 0 0.00514138817480719 0.297971742566301 0.707729468599034
"Anomodon attenuatus" "Anomodon.attenuatus" "bryophytes" 1 0 0.00428449014567266 0.137739425896424 0.698067632850242
"Anomodon longifolius" "Anomodon.longifolius" "bryophytes" 1 0 0.00428449014567266 0.411382507717671 0.966183574879227
"Anomodon viticulosus" "Anomodon.viticulosus" "bryophytes" 1 0 0.00428449014567266 0.0581463677006425 0.759661835748792
"Anthelia juratzkana" "Anthelia.juratzkana" "bryophytes" 1 0 0.00942587832047986 0.056287971191464 0.730676328502415
"Anthoceros agrestis" "Anthoceros.agrestis" "bryophytes" 1 0 0.0025706940874036 0.144740497349479 0.840579710144927
"Antitrichia curtipendula" "Antitrichia.curtipendula" "bryophytes" 1 0 0.127677806341045 0.451733305308003 0.733091787439613
"Atrichum angustatum" "Atrichum.angustatum" "bryophytes" 1 0 0.0025706940874036 0.123297460705112 0.827294685990338
"Atrichum undulatum" "Atrichum.undulatum" "bryophytes" 1 0 0.0025706940874036 0.334847419241332 0.648550724637681
"Aulacomnium palustre" "Aulacomnium.palustre" "bryophytes" 1 0 0.324764353041988 0.414018130960072 0.681159420289855
"Barbilophozia attenuata" "Barbilophozia.attenuata" "bryophytes" 1 0 0.000856898029134533 0.121649227291403 0.772946859903382
"Barbilophozia barbata" "Barbilophozia.barbata" "bryophytes" 1 0 0.0025706940874036 0.195131633463742 0.699275362318841
"Barbilophozia floerkei" "Barbilophozia.floerkei" "bryophytes" 1 0 0.000856898029134533 0.100771948544321 0.713768115942029
"Barbilophozia hatcheri" "Barbilophozia.hatcheri" "bryophytes" 1 0 0.0025706940874036 0.00469066426595533 0.716183574879227
"Barbilophozia kunzeana" "Barbilophozia.kunzeana" "bryophytes" 1 0 0.0154241645244216 0.439363137798945 0.794685990338164
"Barbilophozia lycopodioides" "Barbilophozia.lycopodioides" "bryophytes" 1 0 0.0025706940874036 0.282872447721939 0.683574879227053
"Barbula unguiculata" "Barbula.unguiculata" "bryophytes" 1 0 0.00771208226221079 0.10084928171804 0.678743961352657
"Bartramia halleriana" "Bartramia.halleriana" "bryophytes" 1 0 0.0025706940874036 0.190977045113896 0.646135265700483
"Bartramia ithyphylla" "Bartramia.ithyphylla" "bryophytes" 1 0 0.0025706940874036 0.107751259137945 0.730676328502415
"Bartramia ithyphylla subsp. ithyphylla" "Bartramia.ithyphylla.ithyphylla" "bryophytes" 1 0 0.0330690946582137 0.0982429126184491 1
"Bartramia pomiformis" "Bartramia.pomiformis" "bryophytes" 1 0 0.0025706940874036 0.216038594192 0.952898550724638
"Bazzania tricrenata" "Bazzania.tricrenata" "bryophytes" 1 0 0.00171379605826907 0.205653123459019 0.670289855072464
"Bazzania trilobata" "Bazzania.trilobata" "bryophytes" 1 0 0.00171379605826907 0.272829136554816 0.863526570048309
"Blepharostoma trichophyllum" "Blepharostoma.trichophyllum" "bryophytes" 1 0 0.999999999999999 0.0868442984096873 0.568840579710145
"Blindia acuta" "Blindia.acuta" "bryophytes" 1 0 0.012853470437018 0.124008604746735 0.780193236714976
"Brachytheciastrum velutinum" "Brachytheciastrum.velutinum" "bryophytes" 1 0 0.17395029991431 0.118184656658053 0.550724637681159
"Brachythecium glareosum" "Brachythecium.glareosum" "bryophytes" 1 0 0.0145672664952871 0.0679142176362453 0.619565217391304
