"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Abax baenningeri" "Abax.baenningeri" "coleoptera" 1 0 0.00356718192627824 0.090674170680102 0.960144927536232
"Abax ovalis" "Abax.ovalis" "coleoptera" 1 0 0.00356718192627824 0.224069038779741 0.592995169082126
"Abax parallelepipedus" "Abax.parallelepipedus" "coleoptera" 1 0 0.00356718192627824 0.187955544036224 0.780193236714976
"Abax parallelus subsp. parallelus" "Abax.parallelus.parallelus" "coleoptera" 1 0 0.0281343458364861 0.398406304820645 1
"Acanthocinus aedilis" "Acanthocinus.aedilis" "coleoptera" 1 0 0.00416171224732461 0.0606539045515824 0.8743961352657
"Acrossus depressus" "Acrossus.depressus" "coleoptera" 1 0 0.0261593341260404 0.0123181513927283 0.706521739130435
"Acrossus luridus" "Acrossus.luridus" "coleoptera" 1 0 0.000594530321046373 0.161928092498704 0.79951690821256
"Acrossus rufipes" "Acrossus.rufipes" "coleoptera" 1 0 0.000594530321046373 0.00657607223029015 0.766908212560386
"Actenicerus siaelandicus" "Actenicerus.siaelandicus" "coleoptera" 1 0 0.0124851367419738 0.0112750884137303 0.79951690821256
"Acupalpus flavicollis" "Acupalpus.flavicollis" "coleoptera" 1 0 0.00416171224732461 0.0108175292169605 0.589371980676328
"Acupalpus meridianus" "Acupalpus.meridianus" "coleoptera" 1 0 0.00416171224732461 0.0108175292169605 0.815217391304348
"Adrastus limbatus" "Adrastus.limbatus" "coleoptera" 1 0 0.00356718192627824 0.0133676271917562 0.671497584541063
"Adrastus pallens" "Adrastus.pallens" "coleoptera" 1 0 0.00356718192627824 0.0131979417895312 0.840579710144927
"Adrastus rachifer" "Adrastus.rachifer" "coleoptera" 1 0 0.00356718192627824 0.142264673870087 0.702898550724638
"Aegomorphus clavipes" "Aegomorphus.clavipes" "coleoptera" 1 0 0.0362663495838288 0.0426237237926952 0.723429951690821
"Aegosoma scabricorne" "Aegosoma.scabricorne" "coleoptera" 1 0 0.00178359096313912 0.379198217428413 0.842995169082126
"Agapanthia villosoviridescens" "Agapanthia.villosoviridescens" "coleoptera" 1 0 0.0362663495838288 0.0493731284804044 0.75
"Agolius abdominalis subsp. abdominalis" "Agolius.abdominalis.abdominalis" "coleoptera" 1 0 0.0281343458364861 0.0281172740639266 1
"Agonum emarginatum" "Agonum.emarginatum" "coleoptera" 1 1 0.0130796670630202 0.118640332985338 0.781400966183575
"Agonum fuliginosum" "Agonum.fuliginosum" "coleoptera" 1 1 0.0130796670630202 0.118640332985338 0.891304347826087
"Agonum hypocrita" "Agonum.hypocrita" "coleoptera" 1 1 0.0130796670630202 0.058396654356848 0.746376811594203
"Agonum micans" "Agonum.micans" "coleoptera" 1 1 0.0130796670630202 0.112735688660602 0.903381642512077
"Agonum muelleri" "Agonum.muelleri" "coleoptera" 1 0 0.0130796670630202 0.150680839699717 0.736714975845411
"Agonum sexpunctatum" "Agonum.sexpunctatum" "coleoptera" 1 1 0.0130796670630202 0.00867619103199312 0.6256038647343
"Agonum thoreyi" "Agonum.thoreyi" "coleoptera" 1 0 0.0130796670630202 0.0343322389627291 0.92512077294686
"Agonum viduum" "Agonum.viduum" "coleoptera" 1 1 0.0130796670630202 0.0492134554389845 0.67512077294686
"Agrilinus ater" "Agrilinus.ater" "coleoptera" 1 0 0.00118906064209275 0.0172856618486539 0.867149758454106
"Agrilus angustulus" "Agrilus.angustulus" "coleoptera" 1 0 0.0184304399524376 0.0238282189075737 0.710144927536232
"Agrilus ater" "Agrilus.ater" "coleoptera" 1 0 0.0184304399524376 0.0284804370062521 0.786231884057971
"Agrilus biguttatus" "Agrilus.biguttatus" "coleoptera" 1 0 0.0184304399524376 0.153394966842223 0.75
"Agrilus convexicollis" "Agrilus.convexicollis" "coleoptera" 1 0 0.0184304399524376 0.0168175501247048 0.821256038647343
"Agrilus cuprescens" "Agrilus.cuprescens" "coleoptera" 1 0 0.0184304399524376 0.0596876301730873 0.6256038647343
