"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Agapetus ochripes" "Agapetus.ochripes" "ept" 0 1 0.0135135135135135 0.181303770444391 0.722222222222222
"Agraylea multipunctata" "Agraylea.multipunctata" "ept" 0 1 0.00193050193050193 0.159277520713617 0.841787439613527
"Agraylea sexmaculata" "Agraylea.sexmaculata" "ept" 0 1 0.00193050193050193 0.434422918592176 0.752415458937198
"Agrypnia varia" "Agrypnia.varia" "ept" 0 1 0.0173745173745174 0.138352043874827 0.760869565217391
"Alainites muticus" "Alainites.muticus" "ept" 0 1 0.0386100386100386 0.00906518852221955 0.97463768115942
"Allogamus auricollis" "Allogamus.auricollis" "ept" 0 1 0.00772200772200772 0.530158125318034 0.966183574879227
"Allogamus uncatus" "Allogamus.uncatus" "ept" 0 1 0.00772200772200772 0.0591395632163847 0.695652173913043
"Amphinemura sulcicollis" "Amphinemura.sulcicollis" "ept" 0 1 0.00386100386100386 0.124193082754408 0.841787439613527
"Amphinemura triangularis" "Amphinemura.triangularis" "ept" 0 1 0.00386100386100386 0.124193082754408 0.979468599033816
"Anabolia nervosa" "Anabolia.nervosa" "ept" 0 1 0.0752895752895753 0.434422918592176 0.830917874396135
"Athripsodes albifrons" "Athripsodes.albifrons" "ept" 0 1 0.00772200772200772 0.140057162668292 0.844202898550725
"Athripsodes aterrimus" "Athripsodes.aterrimus" "ept" 0 1 0.00772200772200772 0.00906518852221956 0.990338164251208
"Athripsodes cinereus" "Athripsodes.cinereus" "ept" 0 1 0.00772200772200772 0.116520048183815 0.869565217391304
"Baetis alpinus" "Baetis.alpinus" "ept" 0 1 0.0212355212355212 0.297640356479542 0.966183574879227
"Baetis buceratus" "Baetis.buceratus" "ept" 0 1 0.0212355212355212 0.0418005915191235 0.993961352657005
"Baetis fuscatus" "Baetis.fuscatus" "ept" 0 1 0.0212355212355212 0.002014486338271 0.792270531400966
"Baetis liebenauae" "Baetis.liebenauae" "ept" 0 1 0.0212355212355212 0.26064935109304 0.990338164251208
"Baetis lutheri" "Baetis.lutheri" "ept" 0 1 0.0212355212355212 0.168713230830197 0.981884057971015
"Baetis melanonyx" "Baetis.melanonyx" "ept" 0 1 0.0212355212355212 0.297640356479542 0.968599033816425
"Baetis nubecularis" "Baetis.nubecularis" "ept" 0 1 0.0212355212355212 0.384483603468444 1
