"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Abramis brama" "Abramis.brama" "fishes" 0 1 0.0108695652173913 0.389428326482854 0.991545893719807
"Alburnoides bipunctatus" "Alburnoides.bipunctatus" "fishes" 0 1 0.0326086956521739 0.224946550390591 0.996376811594203
"Alburnus alburnus" "Alburnus.alburnus" "fishes" 0 1 0.0217391304347826 0.148351250433293 0.993961352657005
"Anguilla anguilla" "Anguilla.anguilla" "fishes" 0 1 0.934782608695652 1 0.995169082125604
"Barbus barbus" "Barbus.barbus" "fishes" 0 1 0.0543478260869565 0.588823341505109 0.991545893719807
"Blicca bjoerkna" "Blicca.bjoerkna" "fishes" 0 1 0.0108695652173913 0.371259010698333 0.998792270531401
"Carassius auratus" "Carassius.auratus" "fishes" 0 1 0.0108695652173913 0.253218133229429 0.997584541062802
"Carassius carassius" "Carassius.carassius" "fishes" 0 1 0.0108695652173913 0.253218133229429 0.997584541062802
"Chondrostoma nasus" "Chondrostoma.nasus" "fishes" 0 1 0.0434782608695652 0.484411299845105 0.996376811594203
"Cottus gobio" "Cottus.gobio" "fishes" 0 1 0.0543478260869565 0.567388366818998 0.975845410628019
"Cyprinus carpio" "Cyprinus.carpio" "fishes" 0 1 0.0217391304347826 0.389428326482854 0.990338164251208
"Esox lucius" "Esox.lucius" "fishes" 0 1 0.260869565217391 0.287237250270164 0.986714975845411
"Gobio gobio" "Gobio.gobio" "fishes" 0 1 0.271739130434783 0.224946550390591 0.990338164251208
"Gymnocephalus cernua" "Gymnocephalus.cernua" "fishes" 0 1 0.0326086956521739 0.401431428364367 0.997584541062802
"Lampetra planeri" "Lampetra.planeri" "fishes" 0 1 1 0.484411299845105 1
"Lepomis gibbosus" "Lepomis.gibbosus" "fishes" 0 1 0.0760869565217391 0.493959281991664 0.990338164251208
"Leucaspius delineatus" "Leucaspius.delineatus" "fishes" 0 1 0.0217391304347826 0.523065841404078 1
"Leuciscus leuciscus" "Leuciscus.leuciscus" "fishes" 0 1 0.206521739130435 0.177309224149667 0.993961352657005
"Lota lota" "Lota.lota" "fishes" 0 1 0.130434782608696 0.47033196265164 0.977053140096618
"Oncorhynchus mykiss" "Oncorhynchus.mykiss" "fishes" 0 1 0.0543478260869565 0.341030346533372 0.967391304347826
"Perca fluviatilis" "Perca.fluviatilis" "fishes" 0 1 0.0217391304347826 0.287237250270164 0.984299516908213
"Phoxinus lumaireul" "Phoxinus.lumaireul" "fishes" 0 1 0.228260869565217 0.588823341505109 0.991545893719807
"Rhodeus amarus" "Rhodeus.amarus" "fishes" 0 1 0.391304347826087 0.414489042225088 0.997584541062802
"Rutilus rutilus" "Rutilus.rutilus" "fishes" 0 1 0.0326086956521739 0.148351250433293 0.98792270531401
"Salmo trutta" "Salmo.trutta" "fishes" 0 1 0.141304347826087 0.242876604275919 0.966183574879227
"Salvelinus fontinalis" "Salvelinus.fontinalis" "fishes" 0 1 0.0108695652173913 0.242876604275919 0.971014492753623
"Salvelinus namaycush" "Salvelinus.namaycush" "fishes" 0 1 0.0108695652173913 0.264968656215244 0.985507246376812
"Salvelinus umbla" "Salvelinus.umbla" "fishes" 0 1 0.0434782608695652 0.414489042225088 0.977053140096618
"Sander lucioperca" "Sander.lucioperca" "fishes" 0 1 0.0217391304347826 0.803250566870527 0.997584541062802
"Scardinius erythrophthalmus" "Scardinius.erythrophthalmus" "fishes" 0 1 0.0434782608695652 0.250248354719813 0.989130434782609
"Silurus glanis" "Silurus.glanis" "fishes" 0 1 0.478260869565217 0.401431428364367 0.997584541062802
"Squalius cephalus" "Squalius.cephalus" "fishes" 0 1 0.0108695652173913 0.503900945626842 0.990338164251208
"Squalius squalus" "Squalius.squalus" "fishes" 0 1 0.0108695652173913 0.294157685970755 0.996376811594203
"Telestes muticellus" "Telestes.muticellus" "fishes" 0 1 0.0108695652173913 0.523065841404078 0.995169082125604
"Telestes souffia" "Telestes.souffia" "fishes" 0 1 0.0108695652173913 0.264968656215244 0.992753623188406
"Thymallus thymallus" "Thymallus.thymallus" "fishes" 0 1 0.173913043478261 0.177309224149667 0.993961352657005
"Tinca tinca" "Tinca.tinca" "fishes" 0 1 0.293478260869565 0.250248354719813 0.986714975845411
