"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Abortiporus biennis" "Abortiporus.biennis" "fungi" 1 0 0.0114214330329258 0 0.786231884057971
"Acrocordia gemmata" "Acrocordia.gemmata" "fungi" 1 0 0.000178459891139466 0 0.891304347826087
"Acrospermum compressum" "Acrospermum.compressum" "fungi" 1 0 0.419826893905595 0 0.594202898550725
"Adelphella babingtonii" "Adelphella.babingtonii" "fungi" 1 0 0.0122245025430534 0 0.682367149758454
"Agaricus aestivalis" "Agaricus.aestivalis" "fungi" 1 0 0.496029267422147 0 0.876811594202899
"Agaricus arvensis" "Agaricus.arvensis" "fungi" 1 0 8.92299455697332e-05 0 0.739130434782609
"Agaricus augustus" "Agaricus.augustus" "fungi" 1 0 0.0002676898367092 0 0.684782608695652
"Agaricus bitorquis" "Agaricus.bitorquis" "fungi" 1 0 0.000356919782278933 0 0.760869565217391
"Agaricus campestris" "Agaricus.campestris" "fungi" 1 0 8.92299455697332e-05 0 0.764492753623188
"Agaricus essettei" "Agaricus.essettei" "fungi" 1 0 0.496029267422147 0 0.714975845410628
"Agaricus langei" "Agaricus.langei" "fungi" 1 0 0.496029267422147 0 0.608695652173913
"Agaricus macrosporus" "Agaricus.macrosporus" "fungi" 1 0 0.000178459891139466 0 0.747584541062802
"Agaricus praeclaresquamosus" "Agaricus.praeclaresquamosus" "fungi" 1 0 8.92299455697332e-05 0 0.576086956521739
"Agaricus semotus" "Agaricus.semotus" "fungi" 1 0 0.496029267422147 0 0.78743961352657
"Agaricus squamuliferus" "Agaricus.squamuliferus" "fungi" 1 0 0.0683075527511654 0 0.747584541062802
"Agaricus sylvaticus" "Agaricus.sylvaticus" "fungi" 1 0 0.496029267422147 0 0.653381642512077
"Agaricus sylvicola" "Agaricus.sylvicola" "fungi" 1 0 0.0683075527511654 0 0.758454106280193
"Agaricus xanthodermus" "Agaricus.xanthodermus" "fungi" 1 0 8.92299455697332e-05 0 0.82487922705314
"Agrocybe dura" "Agrocybe.dura" "fungi" 1 0 0.00151690907468546 0 0.815217391304348
"Agrocybe erebia" "Agrocybe.erebia" "fungi" 1 0 0.00151690907468546 0 0.861111111111111
"Agrocybe firma" "Agrocybe.firma" "fungi" 1 0 0.00151690907468546 0 0.817632850241546
"Agrocybe pediades" "Agrocybe.pediades" "fungi" 1 0 0.00151690907468546 0 0.878019323671498
"Agrocybe praecox" "Agrocybe.praecox" "fungi" 1 0 0.00151690907468546 0 0.694444444444444
"Aleuria aurantia" "Aleuria.aurantia" "fungi" 1 0 0.0275720531810476 0 0.772946859903382
"Aleurocystidiellum disciforme" "Aleurocystidiellum.disciforme" "fungi" 1 0 0.0016061390202552 0 0.838164251207729
"Aleurodiscus amorphus" "Aleurodiscus.amorphus" "fungi" 1 0 0.000713839564557866 0 0.713768115942029
"Alutaceodontia alutacea" "Alutaceodontia.alutacea" "fungi" 1 0 0.00356919782278933 0 0.91304347826087
"Amanita battarrae" "Amanita.battarrae" "fungi" 1 0 0.00481841706076559 0 0.599033816425121
"Amanita caesarea" "Amanita.caesarea" "fungi" 1 0 0.00481841706076559 0 0.816425120772947
"Amanita ceciliae" "Amanita.ceciliae" "fungi" 1 0 0.00481841706076559 0 0.688405797101449
"Amanita citrina" "Amanita.citrina" "fungi" 1 0 0.00481841706076559 0 0.756038647342995
"Amanita crocea" "Amanita.crocea" "fungi" 1 0 0.00481841706076559 0 0.821256038647343
"Amanita eliae" "Amanita.eliae" "fungi" 1 0 0.00481841706076559 0 0.943236714975845
"Amanita excelsa" "Amanita.excelsa" "fungi" 1 0 0.00481841706076559 0 0.640096618357488
"Amanita franchetii" "Amanita.franchetii" "fungi" 1 0 0.00481841706076559 0 0.880434782608696
"Amanita fulva" "Amanita.fulva" "fungi" 1 0 0.00481841706076559 0 0.806763285024155
"Amanita gemmata" "Amanita.gemmata" "fungi" 1 0 0.00481841706076559 0 0.72463768115942
"Amanita mairei" "Amanita.mairei" "fungi" 1 0 0.00481841706076559 0 0.702898550724638
"Amanita muscaria" "Amanita.muscaria" "fungi" 1 0 0.00481841706076559 0 0.566425120772947
"Amanita nivalis" "Amanita.nivalis" "fungi" 1 0 0.00481841706076559 0 0.682367149758454
"Amanita pantherina" "Amanita.pantherina" "fungi" 1 0 0.00481841706076559 0 0.692028985507246
"Amanita phalloides" "Amanita.phalloides" "fungi" 1 0 0.00481841706076559 0 0.702898550724638
"Amanita porphyria" "Amanita.porphyria" "fungi" 1 0 0.00481841706076559 0 0.657004830917874
"Amanita rubescens" "Amanita.rubescens" "fungi" 1 0 0.00481841706076559 0 0.585748792270531
"Amanita solitaria" "Amanita.solitaria" "fungi" 1 0 0.00481841706076559 0 0.699275362318841
"Amanita strobiliformis" "Amanita.strobiliformis" "fungi" 1 0 0.00481841706076559 0 0.706521739130435
"Amanita submembranacea" "Amanita.submembranacea" "fungi" 1 0 0.00481841706076559 0 0.592995169082126
"Amanita vaginata" "Amanita.vaginata" "fungi" 1 0 0.0683075527511654 0 0.636473429951691
"Amanita virosa" "Amanita.virosa" "fungi" 1 0 0.00481841706076559 0 0.752415458937198
"Amphinema byssoides" "Amphinema.byssoides" "fungi" 1 0 0.359418220754885 0 0.623188405797101
"Amphisphaerella xylostei" "Amphisphaerella.xylostei" "fungi" 1 0 0.0220397965557241 0 0.648550724637681
"Ampulloclitocybe clavipes" "Ampulloclitocybe.clavipes" "fungi" 1 0 0.00481841706076559 0 0.72463768115942
"Amylostereum areolatum" "Amylostereum.areolatum" "fungi" 1 0 0.000178459891139466 0 0.958937198067633
"Amylostereum chailletii" "Amylostereum.chailletii" "fungi" 1 0 0.000178459891139466 0 0.692028985507246
"Amylostereum laevigatum" "Amylostereum.laevigatum" "fungi" 1 0 0.000178459891139466 0 0.792270531400966
"Amyloxenasma allantospora" "Amyloxenasma.allantospora" "fungi" 1 0 0.00919068439368252 0 0.97463768115942
"Anellaria semiovata" "Anellaria.semiovata" "fungi" 1 0 0.00124921923797626 0 0.516908212560387
"Anisomeridium polypori" "Anisomeridium.polypori" "fungi" 1 0 0.000178459891139466 0 0.909420289855073
