"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Abrostola asclepiadis" "Abrostola.asclepiadis" "lepidoptera" 1 0 0.00286532951289398 0.000786809065938573 0.786231884057971
"Abrostola tripartita" "Abrostola.tripartita" "lepidoptera" 1 0 0.00286532951289398 8.90727244458859e-05 0.791062801932367
"Abrostola triplasia" "Abrostola.triplasia" "lepidoptera" 1 0 0.00286532951289398 0.00671239455281271 0.780193236714976
"Acherontia atropos" "Acherontia.atropos" "lepidoptera" 1 0 0.000955109837631327 0.00935713468926374 0.664251207729469
"Achlya flavicornis" "Achlya.flavicornis" "lepidoptera" 1 0 0.00764087870105062 0.00146835036662293 0.852657004830918
"Acronicta aceris" "Acronicta.aceris" "lepidoptera" 0 0 0.0105062082139446 7.42272703716495e-06 0.881642512077295
"Acronicta alni" "Acronicta.alni" "lepidoptera" 1 0 0.0105062082139446 0.00052363965280303 0.786231884057971
"Acronicta auricoma" "Acronicta.auricoma" "lepidoptera" 1 0 0.0105062082139446 0.00255409289414879 0.814009661835749
"Acronicta euphorbiae" "Acronicta.euphorbiae" "lepidoptera" 0 0 0.0105062082139446 6.95037168024755e-05 0.658212560386473
"Acronicta leporina" "Acronicta.leporina" "lepidoptera" 0 0 0.0105062082139446 0.000295559494752234 0.835748792270531
"Acronicta megacephala" "Acronicta.megacephala" "lepidoptera" 0 0 0.0105062082139446 0.000260470239667476 0.818840579710145
"Acronicta psi" "Acronicta.psi" "lepidoptera" 0 0 0.0105062082139446 0.000295559494752234 0.792270531400966
"Acronicta rumicis" "Acronicta.rumicis" "lepidoptera" 0 0 0.0105062082139446 0.000197039663168152 0.745169082125604
"Actinotia polyodon" "Actinotia.polyodon" "lepidoptera" 1 0 0.0764087870105062 4.9259915792041e-05 0.823671497584541
"Adscita alpina" "Adscita.alpina" "lepidoptera" 0 0 0.00477554918815664 0.221279050663341 0.745169082125604
"Adscita geryon" "Adscita.geryon" "lepidoptera" 1 0 0.00477554918815664 0.000719329729237152 0.673913043478261
"Adscita statices" "Adscita.statices" "lepidoptera" 1 0 0.00477554918815664 0.00373835525325873 0.690821256038647
"Aedia funesta" "Aedia.funesta" "lepidoptera" 1 0 0.0429799426934097 0.000230554400396525 0.810386473429952
"Aetheria bicolorata" "Aetheria.bicolorata" "lepidoptera" 1 0 0.000955109837631327 0.000126861152998676 0.748792270531401
"Aetheria dysodea" "Aetheria.dysodea" "lepidoptera" 1 0 0.000955109837631327 0.000955507407692125 0.75
"Aglais io" "Aglais.io" "lepidoptera" 0 0 0.000955109837631327 0.216635662546243 0.516908212560387
"Aglais urticae" "Aglais.urticae" "lepidoptera" 0 0 0.000955109837631327 0.0445363622229379 0.516908212560387
"Aglia tau" "Aglia.tau" "lepidoptera" 1 0 0.00573065902578796 0.00174096688689667 0.642512077294686
"Agriades glandon" "Agriades.glandon" "lepidoptera" 0 0 0.00191021967526265 0.0215933877444548 0.764492753623188
"Agriades optilete" "Agriades.optilete" "lepidoptera" 1 0 0.000955109837631327 0.24832395906123 0.776570048309179
"Agriades orbitulus" "Agriades.orbitulus" "lepidoptera" 0 0 0.000955109837631327 0.0202438010104264 0.725845410628019
