"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Agonimia tristicula" "Agonimia.tristicula" "lichens" 1 0 0.104477611940298 0.708924092643427 0.833333333333333
"Alectoria ochroleuca" "Alectoria.ochroleuca" "lichens" 1 0 0.000728066982162359 0.0774592778974994 0.757246376811594
"Alectoria sarmentosa" "Alectoria.sarmentosa" "lichens" 1 0 0.000728066982162359 0.0774592778974994 0.91304347826087
"Amandinea punctata" "Amandinea.punctata" "lichens" 1 0 0.149253731343284 0.70087870645139 0.695652173913043
"Anaptychia ciliaris" "Anaptychia.ciliaris" "lichens" 1 0 0.0855478704040772 0.193648194743749 0.753623188405797
"Bacidia arceutina" "Bacidia.arceutina" "lichens" 1 0 0.0163815070986531 0.298218219905373 0.657004830917874
"Bacidia arnoldiana" "Bacidia.arnoldiana" "lichens" 1 0 0.0163815070986531 0.245303311263527 0.876811594202899
"Bacidia globulosa" "Bacidia.globulosa" "lichens" 1 0 0.00873680378594831 0.195176996281199 0.545893719806763
"Bacidia naegelii" "Bacidia.naegelii" "lichens" 1 0 0.00764470331270477 0.190062117063309 0.698067632850242
"Bacidia rubella" "Bacidia.rubella" "lichens" 1 0 0.0163815070986531 0.103279037196666 0.81280193236715
"Bacidia subincompta" "Bacidia.subincompta" "lichens" 1 0 0.0163815070986531 0.108442989056499 0.559178743961353
"Baeomyces rufus" "Baeomyces.rufus" "lichens" 1 0 0.997815799053512 0.517591206360157 0.852657004830918
"Biatora chrysantha" "Biatora.chrysantha" "lichens" 1 0 0.00873680378594831 0.265298026798936 0.516908212560387
"Biatora efflorescens" "Biatora.efflorescens" "lichens" 1 0 0.00873680378594831 0.298218219905373 0.608695652173913
"Bryoria bicolor" "Bryoria.bicolor" "lichens" 1 0 0.00436840189297415 0.193648194743749 0.684782608695652
"Bryoria capillaris" "Bryoria.capillaris" "lichens" 1 0 0.00436840189297415 0.225922893867707 0.665458937198068
"Bryoria fuscescens" "Bryoria.fuscescens" "lichens" 1 0 0.00436840189297415 0.154918555794999 0.623188405797101
"Bryoria implexa" "Bryoria.implexa" "lichens" 1 0 0.00436840189297415 0.154918555794999 0.643719806763285
"Buellia disciformis" "Buellia.disciformis" "lichens" 1 0 0.0174736075718966 0.206558074393332 0.536231884057971
"Buellia griseovirens" "Buellia.griseovirens" "lichens" 1 0 0.0174736075718966 0.206558074393332 0.585748792270531
"Buellia schaereri" "Buellia.schaereri" "lichens" 1 0 0.0174736075718966 0.280789882378435 0.527777777777778
"Calicium trabinellum" "Calicium.trabinellum" "lichens" 1 0 0.00436840189297415 0.33888434080156 0.666666666666667
"Calicium viride" "Calicium.viride" "lichens" 1 0 0.00436840189297415 0.193648194743749 0.68719806763285
"Caloplaca alnetorum" "Caloplaca.alnetorum" "lichens" 1 0 0.0502366217692028 0.33473473662848 0.718599033816425
"Caloplaca cerinella" "Caloplaca.cerinella" "lichens" 1 0 0.0502366217692028 0.0387296389487497 0.681159420289855
"Caloplaca cerinelloides" "Caloplaca.cerinelloides" "lichens" 1 0 0.0502366217692028 0.0387296389487497 0.592995169082126
"Caloplaca chlorina" "Caloplaca.chlorina" "lichens" 1 0 0.0502366217692028 0.530295853703043 0.788647342995169
"Caloplaca herbidella" "Caloplaca.herbidella" "lichens" 1 0 0.0502366217692028 0.298218219905373 0.60024154589372
"Caloplaca holocarpa" "Caloplaca.holocarpa" "lichens" 1 0 0.0502366217692028 0.417005663809294 0.559178743961353
"Caloplaca lucifuga" "Caloplaca.lucifuga" "lichens" 1 0 0.0502366217692028 0.349867943942164 0.946859903381642
"Candelaria concolor" "Candelaria.concolor" "lichens" 1 0 0.00982890425919184 0.190420724831353 0.607487922705314
"Candelariella reflexa" "Candelariella.reflexa" "lichens" 1 0 0.00910083727702948 0.44548985601019 0.671497584541063
"Candelariella vitellina" "Candelariella.vitellina" "lichens" 1 0 0.00910083727702948 0.505058697916039 0.839371980676328
"Candelariella xanthostigma" "Candelariella.xanthostigma" "lichens" 1 0 0.00910083727702948 0.222695423955311 0.657004830917874
"Catapyrenium squamulosum" "Catapyrenium.squamulosum" "lichens" 1 0 0.104477611940298 0.495907768278556 0.79951690821256
"Catillaria nigroclavata" "Catillaria.nigroclavata" "lichens" 1 0 0.997815799053513 0.26223193038216 0.725845410628019
"Catillaria pulverea" "Catillaria.pulverea" "lichens" 1 0 0.997815799053513 0.0968240973718743 0.629227053140097
"Cetraria aculeata" "Cetraria.aculeata" "lichens" 1 0 0.00400436840189297 0.259190660657017 0.882850241545894
"Cetraria chlorophylla" "Cetraria.chlorophylla" "lichens" 1 0 0.0713505642519111 0.333251524352562 0.797101449275362
"Cetraria cucullata" "Cetraria.cucullata" "lichens" 1 0 0.000364033491081179 0.116188916846249 0.719806763285024
"Cetraria ericetorum" "Cetraria.ericetorum" "lichens" 1 0 0.00400436840189297 0.135553736320624 0.76207729468599
"Cetraria islandica" "Cetraria.islandica" "lichens" 1 0 0.00400436840189297 0.135553736320624 0.793478260869565
"Cetraria nivalis" "Cetraria.nivalis" "lichens" 1 0 0.000364033491081179 0.0839142177222911 0.743961352657005
"Cetrelia cetrarioides" "Cetrelia.cetrarioides" "lichens" 1 0 0.0713505642519111 0.387296389487497 0.751207729468599
"Chaenotheca brachypoda" "Chaenotheca.brachypoda" "lichens" 1 0 0.052470056753418 0.260349239599929 0.973429951690821
"Chaenotheca chrysocephala" "Chaenotheca.chrysocephala" "lichens" 1 0 0.052470056753418 0.193648194743749 0.596618357487923
"Chaenotheca ferruginea" "Chaenotheca.ferruginea" "lichens" 1 0 0.052470056753418 0.323669125500265 0.840579710144927
