"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Apodemus alpicola" "Apodemus.alpicola" "mammals" 1 0 0.0210526315789474 0.234528348936965 0.683574879227053
"Apodemus flavicollis" "Apodemus.flavicollis" "mammals" 1 0 0.0105263157894737 0.182373342852408 0.603864734299517
"Apodemus sylvaticus" "Apodemus.sylvaticus" "mammals" 1 0 0.0105263157894737 0.331767985034256 0.611111111111111
"Arvicola amphibius" "Arvicola.amphibius" "mammals" 1 1 0.0526315789473684 0.555345691364798 0.665458937198068
"Barbastella barbastellus" "Barbastella.barbastellus" "mammals" 0 0 0.031578947368421 0.196406151737561 0.800724637681159
"Canis lupus" "Canis.lupus" "mammals" 1 0 0.031578947368421 0.26476755191521 0.595410628019324
"Capra ibex" "Capra.ibex" "mammals" 1 0 0.0210526315789474 0.347428799967807 0.68719806763285
"Capreolus capreolus" "Capreolus.capreolus" "mammals" 1 0 0.031578947368421 0.106476425469066 0.516908212560387
"Castor fiber" "Castor.fiber" "mammals" 1 1 0.178947368421053 0.437021470838047 0.986714975845411
"Cervus elaphus" "Cervus.elaphus" "mammals" 1 0 0.0105263157894737 0.266612501914518 0.530193236714976
"Cervus nippon" "Cervus.nippon" "mammals" 1 0 0.0105263157894737 0.272996107138329 0.945652173913043
"Chionomys nivalis" "Chionomys.nivalis" "mammals" 1 0 0.0631578947368421 0.234528348936965 0.699275362318841
"Crocidura leucodon" "Crocidura.leucodon" "mammals" 1 0 0.0210526315789474 0.102155215792486 0.644927536231884
"Crocidura russula" "Crocidura.russula" "mammals" 1 0 0.0210526315789474 0.102155215792486 0.734299516908212
"Crocidura suaveolens" "Crocidura.suaveolens" "mammals" 1 0 0.0210526315789474 0.389899513609485 0.903381642512077
"Eliomys quercinus" "Eliomys.quercinus" "mammals" 0 0 0.0210526315789474 0.323158467684411 0.740338164251208
"Eptesicus nilssonii" "Eptesicus.nilssonii" "mammals" 0 0 0.0105263157894737 0.30503600903676 0.652173913043478
"Eptesicus serotinus" "Eptesicus.serotinus" "mammals" 0 0 0.0105263157894737 0.443975183107579 0.798309178743961
"Erinaceus europaeus" "Erinaceus.europaeus" "mammals" 1 0 0.11578947368421 0.198737537936764 0.63768115942029
"Felis silvestris" "Felis.silvestris" "mammals" 1 0 0.0105263157894737 0.305099216047969 0.863526570048309
"Glis glis" "Glis.glis" "mammals" 0 0 0.031578947368421 0.2852610660768 0.590579710144927
"Hypsugo savii" "Hypsugo.savii" "mammals" 0 0 0.0105263157894737 0.137064714200957 0.741545893719807
"Lepus europaeus" "Lepus.europaeus" "mammals" 1 0 0.0105263157894737 0.236162109691384 0.524154589371981
"Lepus timidus" "Lepus.timidus" "mammals" 1 0 0.0105263157894737 0.33485709956246 0.666666666666667
"Lutra lutra" "Lutra.lutra" "mammals" 1 1 0.031578947368421 1 0.993961352657005
"Lynx lynx" "Lynx.lynx" "mammals" 1 0 0.0105263157894737 0.422087413586642 0.531400966183575
"Marmota marmota" "Marmota.marmota" "mammals" 1 0 0.031578947368421 0.347428799967807 0.665458937198068
