"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Abida secale" "Abida.secale" "molluscs" 1 0 0.0338983050847458 0.156393873070177 0.636473429951691
"Acanthinula aculeata" "Acanthinula.aculeata" "molluscs" 1 0 0.0203389830508475 0.392722392376222 0.6243961352657
"Acicula lineata" "Acicula.lineata" "molluscs" 1 0 0.00677966101694915 0.156393873070177 0.652173913043478
"Acroloxus lacustris" "Acroloxus.lacustris" "molluscs" 0 1 0.0915254237288135 0.364919037163746 0.891304347826087
"Aegopinella minor" "Aegopinella.minor" "molluscs" 1 0 0.00677966101694915 0.0660329686296302 0.626811594202899
"Aegopinella nitens" "Aegopinella.nitens" "molluscs" 1 0 0.00677966101694915 0.0660329686296302 0.588164251207729
"Aegopinella pura" "Aegopinella.pura" "molluscs" 1 0 0.00677966101694915 0.189410357384992 0.591787439613527
"Ancylus fluviatilis" "Ancylus.fluviatilis" "molluscs" 0 1 0.00338983050847458 0.382296134171543 0.809178743961353
"Anisus septemgyratus" "Anisus.septemgyratus" "molluscs" 0 1 0.0549713915578106 0.195492341337721 0.606280193236715
"Anodonta anatina" "Anodonta.anatina" "molluscs" 0 1 0.0101694915254237 0.175350706169592 0.997584541062802
"Anodonta cygnea" "Anodonta.cygnea" "molluscs" 0 1 0.0101694915254237 0.195492341337721 0.992753623188406
"Aplexa hypnorum" "Aplexa.hypnorum" "molluscs" 0 1 0.00677966101694915 0.33885339165205 0.870772946859903
"Arianta arbustorum" "Arianta.arbustorum" "molluscs" 1 0 0.0271186440677966 0.170295550676415 0.560386473429952
"Arion circumscriptus" "Arion.circumscriptus" "molluscs" 1 0 0.00677966101694915 0.0832362946673497 0.985507246376812
"Arion distinctus" "Arion.distinctus" "molluscs" 1 0 0.0372881355932203 0.000347541940155967 0.861111111111111
"Arion fuscus" "Arion.fuscus" "molluscs" 1 0 0.0372881355932203 0.10461012398694 0.599033816425121
"Arion hortensis" "Arion.hortensis" "molluscs" 1 0 0.0372881355932203 0.0986324026162581 0.910628019323672
"Arion rufus" "Arion.rufus" "molluscs" 1 0 0.0372881355932203 0.210610415734505 0.783816425120773
"Arion silvaticus" "Arion.silvaticus" "molluscs" 1 0 0.00677966101694915 0.00243279358109166 0.567632850241546
"Arion vulgaris" "Arion.vulgaris" "molluscs" 1 0 0.0372881355932203 0.000347541940155967 0.583333333333333
"Balea perversa" "Balea.perversa" "molluscs" 1 0 0.00677966101694915 0.260656455116961 0.748792270531401
"Bathyomphalus contortus" "Bathyomphalus.contortus" "molluscs" 0 1 0.0542372881355932 0.46918161921053 0.879227053140097
"Bithynia tentaculata" "Bithynia.tentaculata" "molluscs" 0 1 0.0372881355932203 0.260656455116961 0.82487922705314
"Boettgerilla pallens" "Boettgerilla.pallens" "molluscs" 1 0 0.105084745762712 0.369801173942127 0.705314009661836
"Candidula unifasciata subsp. unifasciata" "Candidula.unifasciata.unifasciata" "molluscs" 1 0 0.0677966101694915 0.215476002896688 1
"Carychium minimum" "Carychium.minimum" "molluscs" 1 0 0.0549713915578106 0.159869292471736 0.739130434782609
"Carychium tridentatum" "Carychium.tridentatum" "molluscs" 1 0 0.0549713915578106 0.159869292471736 0.597826086956522
"Causa holosericea" "Causa.holosericea" "molluscs" 1 0 0.0271186440677966 0.473815511745943 0.661835748792271
"Cecilioides acicula" "Cecilioides.acicula" "molluscs" 1 0 1 0.612253051241396 0.677536231884058
"Cepaea hortensis" "Cepaea.hortensis" "molluscs" 1 0 0.00338983050847458 0.208525164093569 0.670289855072464
"Cepaea nemoralis" "Cepaea.nemoralis" "molluscs" 1 0 0.00338983050847458 0.165256192544153 0.635265700483092
"Charpentieria itala subsp. albopustulata" "Charpentieria.itala.albopustulata" "molluscs" 1 0 0.0610169491525424 0.219035959526934 1
"Chondrina avenacea" "Chondrina.avenacea" "molluscs" 1 0 0.0338983050847458 0.312787746140354 0.647342995169082
"Chondrula tridens" "Chondrula.tridens" "molluscs" 1 0 0.00677966101694915 0.208525164093569 0.917874396135266
"Ciliella ciliata" "Ciliella.ciliata" "molluscs" 1 0 0.0677966101694915 0.312787746140354 0.818840579710145
"Clausilia bidentata" "Clausilia.bidentata" "molluscs" 1 0 0.0135593220338983 0.013901677606238 0.985507246376812
"Clausilia cruciata" "Clausilia.cruciata" "molluscs" 1 0 0.0135593220338983 0.013901677606238 0.652173913043478
"Clausilia dubia" "Clausilia.dubia" "molluscs" 1 0 0.0135593220338983 0.0533476878139381 0.596618357487923
"Clausilia rugosa subsp. parvula" "Clausilia.rugosa.parvula" "molluscs" 1 0 0.0135593220338983 0.0905153675250603 1
"Cochlicopa lubrica" "Cochlicopa.lubrica" "molluscs" 1 0 0.00677966101694915 0.125115098456141 0.579710144927536
"Cochlicopa lubricella" "Cochlicopa.lubricella" "molluscs" 1 0 0.00677966101694915 0.125115098456141 0.660628019323672
"Cochlodina laminata" "Cochlodina.laminata" "molluscs" 1 0 0.0610169491525424 0.053869000724172 0.619565217391304
"Cochlostoma septemspirale" "Cochlostoma.septemspirale" "molluscs" 1 0 0.0101694915254237 0.465706199808971 0.77536231884058
"Columella aspera" "Columella.aspera" "molluscs" 1 0 0.00677966101694915 0.143650668597792 0.949275362318841
"Columella columella" "Columella.columella" "molluscs" 1 0 0.00677966101694915 0 0.67512077294686
"Columella edentula" "Columella.edentula" "molluscs" 1 0 0.00677966101694915 0 0.6256038647343
"Corbicula fluminea" "Corbicula.fluminea" "molluscs" 0 1 0.00677966101694915 0.20331203499123 0.948067632850242
