"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Acheta domesticus" "Acheta.domesticus" "orthoptera" 1 0 0.0431034482758621 0.312392525507279 0.894927536231884
"Aeropedellus variegatus" "Aeropedellus.variegatus" "orthoptera" 1 0 0.25 0.240742863693683 0.961352657004831
"Aiolopus strepens" "Aiolopus.strepens" "orthoptera" 1 1 0.00862068965517241 0.662042875157629 0.923913043478261
"Aiolopus thalassinus" "Aiolopus.thalassinus" "orthoptera" 1 1 0.00862068965517241 0.240742863693683 0.8756038647343
"Anacridium aegyptium" "Anacridium.aegyptium" "orthoptera" 1 0 0.448275862068965 0.565745729680156 0.967391304347826
"Anonconotus alpinus" "Anonconotus.alpinus" "orthoptera" 1 0 0.181034482758621 0.499541442164393 0.93719806763285
"Antaxius pedestris" "Antaxius.pedestris" "orthoptera" 1 0 0.181034482758621 0.561733348618594 0.683574879227053
"Arcyptera fusca" "Arcyptera.fusca" "orthoptera" 1 0 0.25 0.240742863693683 0.728260869565217
"Barbitistes obtusus" "Barbitistes.obtusus" "orthoptera" 0 0 0.00862068965517241 0.300928579617104 0.920289855072464
"Barbitistes serricauda" "Barbitistes.serricauda" "orthoptera" 0 0 0.00862068965517241 0.300928579617104 0.646135265700483
"Bohemanella frigida" "Bohemanella.frigida" "orthoptera" 1 0 0.0258620689655172 0.120371431846842 0.809178743961353
"Calliptamus barbarus" "Calliptamus.barbarus" "orthoptera" 1 0 0.0172413793103448 0.120371431846842 0.979468599033816
"Calliptamus italicus" "Calliptamus.italicus" "orthoptera" 1 1 0.0172413793103448 0.0601857159234208 0.811594202898551
"Calliptamus siciliae" "Calliptamus.siciliae" "orthoptera" 1 0 0.0172413793103448 0.0601857159234208 0.977053140096618
"Chorthippus albomarginatus" "Chorthippus.albomarginatus" "orthoptera" 1 0 0.0862068965517241 0.180557147770262 0.788647342995169
"Chorthippus apricarius" "Chorthippus.apricarius" "orthoptera" 1 0 0.0862068965517241 0.361114295540525 0.774154589371981
"Chorthippus biguttulus" "Chorthippus.biguttulus" "orthoptera" 1 0 0.0862068965517241 0.160495242462456 0.516908212560387
