"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Abies alba" "Abies.alba" "plants" 1 0 0.00372538584353379 0.164947861782894 0.580917874396135
"Abutilon theophrasti" "Abutilon.theophrasti" "plants" 1 0 0.00319318786588611 0.1331096245993 0.857487922705314
"Acacia dealbata" "Acacia.dealbata" "plants" 1 0 0.0494944119212347 0.310948280031687 0.885265700483092
"Acanthus mollis" "Acanthus.mollis" "plants" 1 0 0.00372538584353379 0.152735943072635 0.903381642512077
"Acer campestre" "Acer.campestre" "plants" 1 0 0.000266098988823842 0.104806843533005 0.619565217391304
"Acer negundo" "Acer.negundo" "plants" 1 0 0.00106439595529537 0.114254143241663 0.927536231884058
"Acer opalus" "Acer.opalus" "plants" 1 0 0.000532197977647685 0.112004888199378 0.856280193236715
"Acer platanoides" "Acer.platanoides" "plants" 1 0 0.000266098988823842 0.189404819496185 0.603864734299517
"Acer pseudoplatanus" "Acer.pseudoplatanus" "plants" 1 0 0.000532197977647685 0.175398268807715 0.538647342995169
"Aceras anthropophorum" "Aceras.anthropophorum" "plants" 1 0 0.000266098988823842 0.144494736028401 0.856280193236715
"Achillea atrata" "Achillea.atrata" "plants" 1 0 0.00266098988823842 0.150741229087418 0.731884057971014
"Achillea macrophylla" "Achillea.macrophylla" "plants" 1 0 0.000266098988823842 0.0405870219006762 0.681159420289855
"Achillea millefolium" "Achillea.millefolium" "plants" 1 0 0.005055880787653 0.136826094461342 0.518115942028986
"Achillea millefolium subsp. millefolium" "Achillea.millefolium.millefolium" "plants" 1 0 0.000532197977647685 0.0793632216255467 1
"Achillea nana" "Achillea.nana" "plants" 1 0 0.000266098988823842 0.164501845616936 0.797101449275362
"Achillea nobilis" "Achillea.nobilis" "plants" 1 0 0.00133049494411921 0.052538598330299 0.917874396135266
"Achillea ptarmica" "Achillea.ptarmica" "plants" 1 0 0.00372538584353379 0.229760585632371 0.853864734299517
"Achillea roseoalba" "Achillea.roseoalba" "plants" 1 0 0.000532197977647685 0.288955927182602 0.859903381642512
"Achillea setacea" "Achillea.setacea" "plants" 1 0 0.00239489089941458 0.16106465178133 0.766908212560386
"Achillea tomentosa" "Achillea.tomentosa" "plants" 1 0 0.005055880787653 0.134311032375098 0.916666666666667
"Achnatherum calamagrostis" "Achnatherum.calamagrostis" "plants" 1 0 0.0814262905800957 0.476140453302343 0.673913043478261
"Acinos alpinus" "Acinos.alpinus" "plants" 1 0 0.000266098988823842 0.360794280002868 0.652173913043478
"Acinos arvensis" "Acinos.arvensis" "plants" 1 0 0.000266098988823842 0.191410700413798 0.632850241545894
"Aconitum lycoctonum" "Aconitum.lycoctonum" "plants" 1 0 0.00106439595529537 0.278481051322505 0.52536231884058
"Aconitum lycoctonum subsp. neapolitanum" "Aconitum.lycoctonum.neapolitanum" "plants" 1 0 0.0105447554835846 0.374847470644929 1
"Aconitum napellus" "Aconitum.napellus" "plants" 1 0 0.000266098988823842 0.0906241799726954 0.6256038647343
"Aconitum napellus subsp. lusitanicum" "Aconitum.napellus.lusitanicum" "plants" 1 0 0.0105447554835846 0.161346804244921 1
"Aconitum variegatum" "Aconitum.variegatum" "plants" 1 0 0.000266098988823842 0.0906241799726954 0.684782608695652
"Aconitum variegatum subsp. paniculatum" "Aconitum.variegatum.paniculatum" "plants" 1 0 0.0105447554835846 0.0831241494028813 1
"Acorus calamus" "Acorus.calamus" "plants" 1 0 0.205162320383182 0.468539690508975 0.997584541062802
"Actaea spicata" "Actaea.spicata" "plants" 1 0 0.000266098988823842 0.404356150491694 0.573671497584541
"Actinidia chinensis" "Actinidia.chinensis" "plants" 1 0 0.000266098988823842 0.251464485011939 0.840579710144927
"Adenostyles alliariae" "Adenostyles.alliariae" "plants" 1 0 0.000798296966471527 0.104290910803081 0.60024154589372
"Adenostyles alpina" "Adenostyles.alpina" "plants" 1 0 0.000798296966471527 0.0573630131752744 0.607487922705314
"Adenostyles leucophylla" "Adenostyles.leucophylla" "plants" 1 0 0.000798296966471527 0.163632102284788 0.76207729468599
"Adonis aestivalis" "Adonis.aestivalis" "plants" 1 0 0.000798296966471527 0.0836732750099958 0.845410628019324
"Adonis flammea" "Adonis.flammea" "plants" 1 0 0.000798296966471527 0.0382261451984691 0.933574879227053
"Adonis vernalis" "Adonis.vernalis" "plants" 1 0 0.000798296966471527 0.273821121086223 0.955314009661836
"Adoxa moschatellina" "Adoxa.moschatellina" "plants" 1 0 0.000798296966471527 0.430757561624676 0.634057971014493
"Aegilops cylindrica" "Aegilops.cylindrica" "plants" 1 0 0.0018626929217669 0.413400023970952 0.943236714975845
