"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Aculepeira ceropegia" "Aculepeira.ceropegia" "spiders" 1 0 0.0481347773766546 0.0976397065668917 0.638888888888889
"Agelena labyrinthica" "Agelena.labyrinthica" "spiders" 0 0 0.0192539109506619 0.444479568120591 0.91304347826087
"Agroeca brunnea" "Agroeca.brunnea" "spiders" 1 0 0.00240673886883273 0.0619613178111669 0.805555555555556
"Agroeca cuprea" "Agroeca.cuprea" "spiders" 1 0 0.00240673886883273 0.0806929341219923 0.807971014492754
"Agyneta affinis" "Agyneta.affinis" "spiders" 1 0 0.0180505415162455 0.00407434166524223 0.632850241545894
"Agyneta mollis" "Agyneta.mollis" "spiders" 1 0 0.0180505415162455 0.00610411686325403 0.909420289855073
"Agyneta rurestris" "Agyneta.rurestris" "spiders" 1 0 0.0180505415162455 0.0134448295664011 0.803140096618358
"Agyneta saxatilis" "Agyneta.saxatilis" "spiders" 1 0 0.0180505415162455 0.00806167579721622 0.791062801932367
"Agyneta simplicitarsis" "Agyneta.simplicitarsis" "spiders" 1 0 0.0180505415162455 0.00484377837774406 0.725845410628019
"Alopecosa cuneata" "Alopecosa.cuneata" "spiders" 1 0 0.01323706377858 0.0233311303308838 0.705314009661836
"Alopecosa farinosa" "Alopecosa.farinosa" "spiders" 1 0 0.01323706377858 0.0184717028202999 0.684782608695652
"Alopecosa pulverulenta" "Alopecosa.pulverulenta" "spiders" 1 0 0.01323706377858 0.0233311303308838 0.826086956521739
"Alopecosa trabalis" "Alopecosa.trabalis" "spiders" 1 0 0.01323706377858 0.0725976010720729 0.893719806763285
"Amaurobius fenestralis" "Amaurobius.fenestralis" "spiders" 0 0 0.0336943441636582 0.324791784080997 0.615942028985507
"Antistea elegans" "Antistea.elegans" "spiders" 1 0 0.0120336943441637 0.0207455495799119 0.8743961352657
"Anyphaena accentuata" "Anyphaena.accentuata" "spiders" 0 0 0.0300842358604091 0.0911207472017003 0.89975845410628
"Araeoncus humilis" "Araeoncus.humilis" "spiders" 1 0 0.178098676293622 0.00599693077111121 0.77536231884058
"Araneus diadematus" "Araneus.diadematus" "spiders" 1 0 0.00962695547533093 0.0880541726722421 0.757246376811594
"Araneus quadratus" "Araneus.quadratus" "spiders" 1 0 0.00962695547533093 0.147946711396648 0.849033816425121
"Araniella cucurbitina" "Araniella.cucurbitina" "spiders" 1 0 0.0481347773766546 0.0697924042403882 0.910628019323672
"Arctosa leopardus" "Arctosa.leopardus" "spiders" 1 0 0.00962695547533093 0.0398517673462752 0.923913043478261
"Arctosa lutetiana" "Arctosa.lutetiana" "spiders" 1 0 0.00962695547533093 0.0184717028202999 0.833333333333333
"Argenna subnigra" "Argenna.subnigra" "spiders" 1 0 0.0144404332129964 0.028710413432588 0.926328502415459
"Argiope bruennichi" "Argiope.bruennichi" "spiders" 1 0 0.0481347773766546 0.552233184413759 0.741545893719807
"Asagena phalerata" "Asagena.phalerata" "spiders" 1 0 0.0685920577617329 0.298804465351981 0.721014492753623
"Atypus affinis" "Atypus.affinis" "spiders" 1 0 0.00240673886883273 0.737201329613346 0.832125603864734
"Atypus piceus" "Atypus.piceus" "spiders" 1 0 0.00240673886883273 0.379764193023233 0.931159420289855
"Aulonia albimana" "Aulonia.albimana" "spiders" 1 0 0.0806257521058965 0.341479391924561 0.821256038647343
"Ballus chalybeius" "Ballus.chalybeius" "spiders" 1 0 0.0541516245487365 0.0108855541621432 0.840579710144927
"Bathyphantes gracilis" "Bathyphantes.gracilis" "spiders" 1 0 0.0601684717208183 0.0262522170322454 0.900966183574879
"Centromerita bicolor" "Centromerita.bicolor" "spiders" 1 0 0.0601684717208183 0.03079461474565 0.564009661835749
"Centromerus serratus" "Centromerus.serratus" "spiders" 1 0 0.0180505415162455 0.00516166198439809 0.894927536231884
"Centromerus sylvaticus" "Centromerus.sylvaticus" "spiders" 1 0 0.0180505415162455 0.0329043659440133 0.890096618357488
"Ceratinella brevipes" "Ceratinella.brevipes" "spiders" 1 0 0.00240673886883273 0.00608856485123509 0.834541062801932
"Ceratinella brevis" "Ceratinella.brevis" "spiders" 1 0 0.00240673886883273 0.00740225375944932 0.820048309178744
"Ceratinella scabrosa" "Ceratinella.scabrosa" "spiders" 1 0 0.00240673886883273 0.0105775320499806 0.951690821256039
"Cicurina cicur" "Cicurina.cicur" "spiders" 0 0 0.0144404332129964 0.0262083844224941 0.748792270531401
"Clubiona comta" "Clubiona.comta" "spiders" 0 0 0.02647412755716 0.0911207472017003 0.861111111111111
"Clubiona neglecta" "Clubiona.neglecta" "spiders" 1 0 0.02647412755716 0.0938531572997613 0.95048309178744
"Clubiona reclusa" "Clubiona.reclusa" "spiders" 1 0 0.02647412755716 0.0738743055851735 0.979468599033816
"Clubiona terrestris" "Clubiona.terrestris" "spiders" 1 0 0.02647412755716 0.0938531572997613 0.878019323671498
"Cnephalocotes obscurus" "Cnephalocotes.obscurus" "spiders" 1 0 0.178098676293622 0.00516166198439809 0.88768115942029
"Coelotes terrestris" "Coelotes.terrestris" "spiders" 0 0 0.0336943441636582 0.327514201181653 0.891304347826087
"Collinsia inerrans" "Collinsia.inerrans" "spiders" 1 0 0.178098676293622 0.0207455495799119 0.915458937198068
"Cyclosa conica" "Cyclosa.conica" "spiders" 1 0 0.0481347773766546 0.0278959205377308 0.891304347826087
"Diaea dorsata" "Diaea.dorsata" "spiders" 0 0 0.0457280385078219 0.052772895065081 0.933574879227053
"Dicymbium nigrum" "Dicymbium.nigrum" "spiders" 1 0 0.178098676293622 0.00948865193845524 0.805555555555556
"Diplocephalus latifrons" "Diplocephalus.latifrons" "spiders" 1 0 0.0108303249097473 0.255259128338501 0.915458937198068
"Diplocephalus picinus" "Diplocephalus.picinus" "spiders" 1 0 0.0108303249097473 0.00740225375944932 0.833333333333333
"Diplostyla concolor" "Diplostyla.concolor" "spiders" 1 0 0.0601684717208183 0.0141914781964022 0.770531400966184
"Dolomedes fimbriatus" "Dolomedes.fimbriatus" "spiders" 1 0 0.00240673886883273 0.444479568120591 0.919082125603865
"Drassodes lapidosus" "Drassodes.lapidosus" "spiders" 1 0 0.0036101083032491 0.0725976010720729 0.82487922705314
"Drassodes pubescens" "Drassodes.pubescens" "spiders" 1 0 0.0036101083032491 0.0398517673462752 0.747584541062802
"Drassyllus lutetianus" "Drassyllus.lutetianus" "spiders" 1 0 0.00481347773766546 0.0192551754589864 0.8743961352657
"Drassyllus praeficus" "Drassyllus.praeficus" "spiders" 1 0 0.00481347773766546 0.0140705556767897 0.835748792270531
"Drassyllus pusillus" "Drassyllus.pusillus" "spiders" 1 0 0.00481347773766546 0.0424065705139832 0.82487922705314
"Dysdera erythrina" "Dysdera.erythrina" "spiders" 1 0 0.00962695547533093 0.271665876111117 0.829710144927536
"Enoplognatha ovata" "Enoplognatha.ovata" "spiders" 1 0 0.0036101083032491 0.094466521338239 0.921497584541063
"Enoplognatha thoracica" "Enoplognatha.thoracica" "spiders" 1 0 0.0036101083032491 0.094466521338239 0.841787439613527
"Eratigena atrica" "Eratigena.atrica" "spiders" 0 0 0.0192539109506619 0.327514201181653 0.907004830917874
"Eresus kollari" "Eresus.kollari" "spiders" 1 0 0.896510228640192 0.362960491978054 0.93719806763285
"Erigone atra" "Erigone.atra" "spiders" 1 0 0.00842358604091456 0.0492037938566102 0.78743961352657
"Erigone dentipalpis" "Erigone.dentipalpis" "spiders" 1 0 0.00842358604091456 0.239514460869598 0.673913043478261
"Ero furcata" "Ero.furcata" "spiders" 1 0 0.509025270758123 0.271665876111117 0.92512077294686
"Euophrys frontalis" "Euophrys.frontalis" "spiders" 1 0 0.0204572803850782 0.0108855541621432 0.922705314009662
"Eurocoelotes inermis" "Eurocoelotes.inermis" "spiders" 0 0 0.0336943441636582 0.159341302185522 0.822463768115942
"Euryopis flavomaculata" "Euryopis.flavomaculata" "spiders" 1 0 0.0685920577617328 0.0293654638596564 0.900966183574879
"Evarcha arcuata" "Evarcha.arcuata" "spiders" 1 0 0.0036101083032491 0.0275096922350557 0.879227053140097
"Evarcha falcata" "Evarcha.falcata" "spiders" 1 0 0.0036101083032491 0.0459991747125136 0.900966183574879
"Gongylidiellum latebricola" "Gongylidiellum.latebricola" "spiders" 1 0 0.178098676293622 0.00283135155571576 0.952898550724638
"Hahnia nava" "Hahnia.nava" "spiders" 1 0 0.0036101083032491 0.0158248560610198 0.882850241545894
