"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Alytes obstetricans" "Alytes.obstetricans" "amphibians" 1 1 0.25 0.560344827586207 0.736714975845411 0.810344827586207
"Bombina variegata" "Bombina.variegata" "amphibians" 1 1 0.25 0.627586206896552 0.719806763285024 0.877586206896552
"Bufo bufo" "Bufo.bufo" "amphibians" 1 1 0 0.112068965517241 0.568840579710145 0.112068965517241
"Epidalea calamita" "Epidalea.calamita" "amphibians" 1 1 0 0.456896551724138 0.786231884057971 0.456896551724138
"Hyla arborea" "Hyla.arborea" "amphibians" 1 1 0 0.280172413793103 0.777777777777778 0.280172413793103
"Hyla intermedia" "Hyla.intermedia" "amphibians" 1 1 0 0.336206896551724 0.973429951690821 0.336206896551724
"Ichthyosaura alpestris" "Ichthyosaura.alpestris" "amphibians" 1 1 0.750000000000001 0.112068965517241 0.559178743961353 0.862068965517242
"Lissotriton helveticus" "Lissotriton.helveticus" "amphibians" 1 1 0 0 0.719806763285024 0.112068965517241
"Lissotriton vulgaris" "Lissotriton.vulgaris" "amphibians" 1 1 0 0.336206896551724 0.817632850241546 0.336206896551724
"Pelophylax esculentus" "Pelophylax.esculentus" "amphibians" 0 1 1 0.179310344827586 0.702898550724638 1.17931034482759
"Pelophylax ridibundus" "Pelophylax.ridibundus" "amphibians" 1 1 1 0.878620689655172 0.768115942028985 1.87862068965517
"Rana dalmatina" "Rana.dalmatina" "amphibians" 1 1 0 0.448275862068965 0.876811594202899 0.448275862068965
"Rana latastei" "Rana.latastei" "amphibians" 1 1 0 0.336206896551724 0.998792270531401 0.336206896551724
"Rana temporaria" "Rana.temporaria" "amphibians" 1 1 0.25 0.280172413793103 0.516908212560387 0.530172413793103
"Salamandra atra" "Salamandra.atra" "amphibians" 1 1 0 1 0.729468599033816 1
"Salamandra salamandra" "Salamandra.salamandra" "amphibians" 1 1 0 0.560344827586207 0.667874396135266 0.560344827586207
"Triturus carnifex" "Triturus.carnifex" "amphibians" 1 1 0 0 0.955314009661836 0.112068965517241
"Triturus cristatus" "Triturus.cristatus" "amphibians" 1 1 0 0.336206896551724 0.842995169082126 0.336206896551724
