"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Acanthis flammea" "Acanthis.flammea" "aves" 1 0 0 0.0916422391002579 0.661835748792271 0.0916422391002579
"Accipiter gentilis" "Accipiter.gentilis" "aves" 1 0 0 0.317717434768137 0.516908212560387 0.317717434768137
"Accipiter nisus" "Accipiter.nisus" "aves" 1 0 0 0.260040903370858 0.516908212560387 0.260040903370858
"Acrocephalus palustris" "Acrocephalus.palustris" "aves" 1 0 0 0.253492458984385 0.620772946859903 0.253492458984385
"Acrocephalus scirpaceus" "Acrocephalus.scirpaceus" "aves" 1 0 0 0.216623733716478 0.688405797101449 0.216623733716478
"Actitis hypoleucos" "Actitis.hypoleucos" "aves" 1 1 0.0645161290322581 0.23082934930519 0.849033816425121 0.295345478337448
"Aegithalos caudatus" "Aegithalos.caudatus" "aves" 1 0 0.161290322580645 0.170192574104591 0.527777777777778 0.331482896685236
"Aegolius funereus" "Aegolius.funereus" "aves" 1 0 0.0322580645161291 0.281752939232414 0.617149758454106 0.314011003748543
"Aix galericulata" "Aix.galericulata" "aves" 0 1 0.0645161290322581 0.183716885196033 0.93719806763285 0.248233014228291
"Alauda arvensis" "Alauda.arvensis" "aves" 1 0 0.0322580645161291 0.233306296013874 0.555555555555556 0.265564360530003
"Alcedo atthis" "Alcedo.atthis" "aves" 0 1 0 0.365335344106301 0.699275362318841 0.365335344106301
"Alectoris graeca" "Alectoris.graeca" "aves" 1 0 0.0322580645161291 0.24774645113968 0.702898550724638 0.280004515655809
"Anas platyrhynchos" "Anas.platyrhynchos" "aves" 0 1 0.0645161290322581 0.183716885196033 0.535024154589372 0.248233014228291
"Anser anser" "Anser.anser" "aves" 1 0 0 0.740842150446015 0.904589371980676 0.740842150446015
"Anthus pratensis" "Anthus.pratensis" "aves" 1 0 0 0.233306296013874 0.722222222222222 0.233306296013874
"Anthus spinoletta" "Anthus.spinoletta" "aves" 1 0 0 0.337569407296779 0.630434782608696 0.337569407296779
"Anthus trivialis" "Anthus.trivialis" "aves" 1 0 0.0322580645161291 0.290080280954995 0.516908212560387 0.322338345471124
"Apus apus" "Apus.apus" "aves" 1 0 0.0322580645161291 0.214298878009988 0.518115942028986 0.246556942526117
"Aquila chrysaetos" "Aquila.chrysaetos" "aves" 1 0 0.225806451612903 0.583922930862708 0.696859903381642 0.809729382475611
"Ardea cinerea" "Ardea.cinerea" "aves" 0 1 0 0.412737411562591 0.708937198067633 0.412737411562591
"Ardea purpurea" "Ardea.purpurea" "aves" 0 1 0 0.324469265794371 0.972222222222222 0.324469265794371
"Asio otus" "Asio.otus" "aves" 1 0 0.0322580645161291 0.224221214933817 0.596618357487923 0.256479279449946
"Athene noctua" "Athene.noctua" "aves" 1 0 0 0.180277340295483 0.943236714975845 0.180277340295483
"Aythya ferina" "Aythya.ferina" "aves" 0 1 0 0.187020146632034 0.957729468599034 0.187020146632034
"Aythya fuligula" "Aythya.fuligula" "aves" 0 1 0 0.250730057896538 0.714975845410628 0.250730057896538
"Bonasa bonasia" "Bonasa.bonasia" "aves" 1 0 0.0645161290322581 0.312141051255187 0.595410628019324 0.376657180287445
"Bubo bubo" "Bubo.bubo" "aves" 1 0 0 0.374880058570517 0.660628019323672 0.374880058570517
"Buteo buteo" "Buteo.buteo" "aves" 1 0 0.0322580645161291 0.478240946919651 0.519323671497585 0.51049901143578
"Caprimulgus europaeus" "Caprimulgus.europaeus" "aves" 1 0 0.0645161290322581 0.411271408178451 0.795893719806763 0.475787537210709
"Carduelis carduelis" "Carduelis.carduelis" "aves" 1 0 0 0.16726773002827 0.518115942028986 0.16726773002827
"Carduelis citrinella" "Carduelis.citrinella" "aves" 1 0 0 0.152369999800894 0.631642512077295 0.152369999800894
"Carpodacus erythrinus" "Carpodacus.erythrinus" "aves" 1 0 0.290322580645161 0.220666814180122 0.730676328502415 0.510989394825283
"Certhia brachydactyla" "Certhia.brachydactyla" "aves" 1 0 0 0.0551467345432534 0.541062801932367 0.0551467345432534
"Certhia familiaris" "Certhia.familiaris" "aves" 1 0 0 0.178942118048013 0.518115942028986 0.178942118048013
"Charadrius dubius" "Charadrius.dubius" "aves" 1 0 0.0322580645161291 0.23082934930519 0.734299516908212 0.263087413821319
"Chloris chloris" "Chloris.chloris" "aves" 1 0 0.225806451612903 0.0916422391002579 0.516908212560387 0.317448690713161
"Ciconia ciconia" "Ciconia.ciconia" "aves" 1 0 0.161290322580645 0.770262653692033 0.846618357487923 0.931552976272678
"Cinclus cinclus" "Cinclus.cinclus" "aves" 0 1 0.645161290322581 0.745815163125269 0.516908212560387 1.39097645344785
"Cisticola juncidis" "Cisticola.juncidis" "aves" 1 0 0.838709677419359 0.340615001680774 0.967391304347826 1.17932467910013
"Coccothraustes coccothraustes" "Coccothraustes.coccothraustes" "aves" 1 0 0.32258064516129 0.0942470507310681 0.516908212560387 0.416827695892358
"Columba livia subsp. domestica" "Columba.livia.domestica" "aves" 1 0 0 0.24774645113968 1 0.24774645113968
"Columba oenas" "Columba.oenas" "aves" 1 0 0 0.435754049755765 0.669082125603865 0.435754049755765
"Columba palumbus" "Columba.palumbus" "aves" 1 0 0.0322580645161291 0.269493992984567 0.516908212560387 0.301752057500696
"Corvus corax" "Corvus.corax" "aves" 1 0 0 0.508476551675127 0.516908212560387 0.508476551675127
"Corvus corone" "Corvus.corone" "aves" 1 0 0 0.412010084631992 0.990338164251208 0.412010084631992
"Corvus frugilegus" "Corvus.frugilegus" "aves" 1 0 0.0322580645161291 0.2481860463857 0.804347826086957 0.280444110901829
"Corvus monedula" "Corvus.monedula" "aves" 1 0 0.0645161290322581 0.373183426835406 0.740338164251208 0.437699555867664
"Coturnix coturnix" "Coturnix.coturnix" "aves" 1 0 0.0322580645161291 0.209311844364351 0.599033816425121 0.24156990888048
"Crex crex" "Crex.crex" "aves" 1 0 0 0.521980445504089 0.741545893719807 0.521980445504089
