"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Allodynerus rossii" "Allodynerus.rossii" "bees" 1 0 0.0952380952380952 0.0644030329949244 0.935990338164251 0.15964112823302
"Ancistrocerus claripennis" "Ancistrocerus.claripennis" "bees" 1 0 0.0174603174603175 0.0099006483950048 0.780193236714976 0.0273609658553223
"Ancistrocerus gazella" "Ancistrocerus.gazella" "bees" 1 0 0.0174603174603175 0.0323304836219419 0.698067632850242 0.0497908010822594
"Ancistrocerus nigricornis" "Ancistrocerus.nigricornis" "bees" 1 0 0.0174603174603175 0.0103866923233954 0.729468599033816 0.0278470097837129
"Ancistrocerus oviventris" "Ancistrocerus.oviventris" "bees" 1 0 0.0174603174603175 0.0099006483950048 0.706521739130435 0.0273609658553223
"Ancistrocerus trifasciatus" "Ancistrocerus.trifasciatus" "bees" 1 0 0.0174603174603175 0.0103866923233954 0.914251207729469 0.0278470097837129
"Andrena alfkenella" "Andrena.alfkenella" "bees" 1 0 0.0142857142857143 0.324368877120825 0.844202898550725 0.338654591406539
"Andrena amieti" "Andrena.amieti" "bees" 1 0 0.0111111111111111 0.0636131235542547 0.671497584541063 0.0747242346653658
"Andrena barbilabris" "Andrena.barbilabris" "bees" 1 0 0.195238095238095 0.00708495126070074 0.908212560386473 0.202323046498796
"Andrena bicolor" "Andrena.bicolor" "bees" 1 0 0.0111111111111111 0.0124102088392557 0.61231884057971 0.0235213199503668
"Andrena bucephala" "Andrena.bucephala" "bees" 1 0 0.00634920634920635 0.426601793479577 0.829710144927536 0.432950999828784
"Andrena carantonica" "Andrena.carantonica" "bees" 1 0 0.00634920634920635 0.426601793479577 0.692028985507246 0.432950999828784
"Andrena chrysosceles" "Andrena.chrysosceles" "bees" 1 0 0.00158730158730159 0.00188298006323542 0.741545893719807 0.00347028165053701
"Andrena cineraria" "Andrena.cineraria" "bees" 1 0 0.00793650793650793 0.0219611282630083 0.791062801932367 0.0298976361995162
"Andrena combinata" "Andrena.combinata" "bees" 1 0 0.00158730158730159 0.0313195641601646 0.730676328502415 0.0329068657474662
"Andrena congruens" "Andrena.congruens" "bees" 1 0 0.00158730158730159 0.0040598954018654 0.810386473429952 0.00564719698916699
"Andrena curvungula" "Andrena.curvungula" "bees" 1 0 0.195238095238095 0.0442986354181484 0.653381642512077 0.239536730656244
"Andrena dorsata" "Andrena.dorsata" "bees" 1 0 0.00158730158730159 0.0124102088392557 0.740338164251208 0.0139975104265573
"Andrena falsifica" "Andrena.falsifica" "bees" 1 0 0.0142857142857143 0.025463613671282 0.699275362318841 0.0397493279569963
"Andrena flavipes" "Andrena.flavipes" "bees" 1 0 0 0.0551175094932283 0.731884057971014 0.0551175094932283
"Andrena florea" "Andrena.florea" "bees" 1 0 0.195238095238095 0.619975310978655 0.840579710144927 0.81521340621675
"Andrena fucata" "Andrena.fucata" "bees" 1 0 0.195238095238095 0.00611263369943695 0.763285024154589 0.201350728937532
"Andrena fulva" "Andrena.fulva" "bees" 1 0 0.00634920634920635 0.0219611282630083 0.829710144927536 0.0283103346122147
"Andrena fulvago" "Andrena.fulvago" "bees" 1 0 0.195238095238095 0.0242621623742471 0.615942028985507 0.219500257612343
"Andrena fulvata" "Andrena.fulvata" "bees" 1 0 0.195238095238095 0.00188298006323542 0.736714975845411 0.197121075301331
"Andrena gravida" "Andrena.gravida" "bees" 1 0 0 0.00217599337120222 0.783816425120773 0.00217599337120222
"Andrena haemorrhoa" "Andrena.haemorrhoa" "bees" 1 0 0.00476190476190476 0.00217599337120222 0.693236714975845 0.00693789813310698
