"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Abietinella abietina" "Abietinella.abietina" "bryophytes" 1 0 0.0728987993138937 0.000358394508404081 0.577294685990338 0.0732571938222978
"Amblyodon dealbatus" "Amblyodon.dealbatus" "bryophytes" 1 0 0.00343053173241852 0.620478881148466 0.660628019323672 0.623909412880884
"Amblystegium confervoides" "Amblystegium.confervoides" "bryophytes" 1 0 0 0.167287038596598 0.597826086956522 0.167287038596598
"Amblystegium serpens" "Amblystegium.serpens" "bryophytes" 1 0 0.00343053173241852 0.00972552370532881 0.672705314009662 0.0131560554377473
"Amblystegium subtile" "Amblystegium.subtile" "bryophytes" 1 0 0.156089193825043 0.171552923030417 0.631642512077295 0.32764211685546
"Amphidium lapponicum" "Amphidium.lapponicum" "bryophytes" 1 0 0 0.362164891035419 0.793478260869565 0.362164891035419
"Amphidium mougeotii" "Amphidium.mougeotii" "bryophytes" 1 0 0 0.135163601646756 0.769323671497585 0.135163601646756
"Anastrophyllum minutum" "Anastrophyllum.minutum" "bryophytes" 1 0 0.0145797598627788 0.172828176631731 0.729468599033816 0.18740793649451
"Anastrophyllum minutum subsp. minutum" "Anastrophyllum.minutum.minutum" "bryophytes" 1 0 0.0145797598627788 0.216715129256499 1 0.231294889119278
"Aneura pinguis" "Aneura.pinguis" "bryophytes" 1 0 0.00343053173241852 0.390683811200246 0.673913043478261 0.394114342932664
"Anoectangium aestivum" "Anoectangium.aestivum" "bryophytes" 1 0 0.00428816466552315 0.362150290105136 0.707729468599034 0.366438454770659
"Anomodon attenuatus" "Anomodon.attenuatus" "bryophytes" 1 0 0.00343053173241852 0.167380107078057 0.698067632850242 0.170810638810475
"Anomodon longifolius" "Anomodon.longifolius" "bryophytes" 1 0 0.00343053173241852 0.500006597402265 0.966183574879227 0.503437129134684
"Anomodon viticulosus" "Anomodon.viticulosus" "bryophytes" 1 0 0.00343053173241852 0.0706308692547247 0.759661835748792 0.0740614009871433
"Anthelia juratzkana" "Anthelia.juratzkana" "bryophytes" 1 0 0.00857632933104632 0.0683718978078142 0.730676328502415 0.0769482271388605
"Anthoceros agrestis" "Anthoceros.agrestis" "bryophytes" 1 0 0.00171526586620927 0.175890250329037 0.840579710144927 0.177605516195247
"Antitrichia curtipendula" "Antitrichia.curtipendula" "bryophytes" 1 0 0.126929674099485 0.549054956655222 0.733091787439613 0.675984630754707
"Atrichum angustatum" "Atrichum.angustatum" "bryophytes" 1 0 0.00171526586620927 0.149825195172378 0.827294685990338 0.151540461038587
"Atrichum undulatum" "Atrichum.undulatum" "bryophytes" 1 0 0.00171526586620927 0.406974470673159 0.648550724637681 0.408689736539368
"Aulacomnium palustre" "Aulacomnium.palustre" "bryophytes" 1 0 0.324185248713551 0.503210325788534 0.681159420289855 0.827395574502085
"Barbilophozia attenuata" "Barbilophozia.attenuata" "bryophytes" 1 0 0 0.14782168720138 0.772946859903382 0.14782168720138
"Barbilophozia barbata" "Barbilophozia.barbata" "bryophytes" 1 0 0.00171526586620927 0.237143129947189 0.699275362318841 0.238858395813398
"Barbilophozia floerkei" "Barbilophozia.floerkei" "bryophytes" 1 0 0 0.122444338317047 0.713768115942029 0.122444338317047
"Barbilophozia hatcheri" "Barbilophozia.hatcheri" "bryophytes" 1 0 0.00171526586620927 0.00565285883710066 0.716183574879227 0.00736812470330993
"Barbilophozia kunzeana" "Barbilophozia.kunzeana" "bryophytes" 1 0 0.0145797598627788 0.534018415713367 0.794685990338164 0.548598175576145
"Barbilophozia lycopodioides" "Barbilophozia.lycopodioides" "bryophytes" 1 0 0.00171526586620927 0.343796361999139 0.683574879227053 0.345511627865349
"Barbula unguiculata" "Barbula.unguiculata" "bryophytes" 1 0 0.00686106346483705 0.122538340555249 0.678743961352657 0.129399404020086
"Bartramia halleriana" "Bartramia.halleriana" "bryophytes" 1 0 0.00171526586620927 0.232093025510586 0.646135265700483 0.233808291376795
"Bartramia ithyphylla" "Bartramia.ithyphylla" "bryophytes" 1 0 0.00171526586620927 0.130928030183798 0.730676328502415 0.132643296050007
"Bartramia ithyphylla subsp. ithyphylla" "Bartramia.ithyphylla.ithyphylla" "bryophytes" 1 0 0.0322398228697559 0.119370172004024 1 0.15160999487378
"Bartramia pomiformis" "Bartramia.pomiformis" "bryophytes" 1 0 0.00171526586620927 0.262556558724932 0.952898550724638 0.264271824591142
"Bazzania tricrenata" "Bazzania.tricrenata" "bryophytes" 1 0 0.000857632933104636 0.249932513354281 0.670289855072464 0.250790146287386
"Bazzania trilobata" "Bazzania.trilobata" "bryophytes" 1 0 0.000857632933104636 0.331588228241399 0.863526570048309 0.332445861174504
"Blepharostoma trichophyllum" "Blepharostoma.trichophyllum" "bryophytes" 1 0 1 0.105514601406055 0.568840579710145 1.10551460140605
"Blindia acuta" "Blindia.acuta" "bryophytes" 1 0 0.0120068610634649 0.150689625382364 0.780193236714976 0.162696486445829
"Brachytheciastrum velutinum" "Brachytheciastrum.velutinum" "bryophytes" 1 0 0.173241852487136 0.143610332897878 0.550724637681159 0.316852185385014
"Brachythecium glareosum" "Brachythecium.glareosum" "bryophytes" 1 0 0.0137221269296742 0.0825041664726514 0.619565217391304 0.0962262934023256
"Brachythecium mildeanum" "Brachythecium.mildeanum" "bryophytes" 1 0 0.0137221269296742 0.403247423234496 0.591787439613527 0.416969550164171
