"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Abax baenningeri" "Abax.baenningeri" "coleoptera" 1 0 0.00297441998810232 0.143731851841798 0.960144927536232 0.1467062718299
"Abax ovalis" "Abax.ovalis" "coleoptera" 1 0 0.00297441998810232 0.360697500702532 0.592995169082126 0.363671920690635
"Abax parallelepipedus" "Abax.parallelepipedus" "coleoptera" 1 0 0.00297441998810232 0.301959200411975 0.780193236714976 0.304933620400077
"Abax parallelus subsp. parallelus" "Abax.parallelus.parallelus" "coleoptera" 1 0 0.0275561985109873 0.644255620936347 1 0.671811819447334
"Acanthocinus aedilis" "Acanthocinus.aedilis" "coleoptera" 1 0 0.00356930398572278 0.0949041374601542 0.8743961352657 0.098473441445877
"Acrossus depressus" "Acrossus.depressus" "coleoptera" 1 0 0.0255800118976799 0.0162864350201346 0.706521739130435 0.0418664469178145
"Acrossus luridus" "Acrossus.luridus" "coleoptera" 1 0 0 0.259625765914245 0.79951690821256 0.259625765914245
"Acrossus rufipes" "Acrossus.rufipes" "coleoptera" 1 0 0 0.0069469907893601 0.766908212560386 0.0069469907893601
"Actenicerus siaelandicus" "Actenicerus.siaelandicus" "coleoptera" 1 0 0.0118976799524092 0.0145899017181797 0.79951690821256 0.026487581670589
"Acupalpus flavicollis" "Acupalpus.flavicollis" "coleoptera" 1 0 0.00356930398572278 0.0138456854718306 0.589371980676328 0.0174149894575534
"Acupalpus meridianus" "Acupalpus.meridianus" "coleoptera" 1 0 0.00356930398572278 0.0138456854718306 0.815217391304348 0.0174149894575534
"Adrastus limbatus" "Adrastus.limbatus" "coleoptera" 1 0 0.00297441998810232 0.0179933987207894 0.671497584541063 0.0209678187088918
"Adrastus pallens" "Adrastus.pallens" "coleoptera" 1 0 0.00297441998810232 0.0177174068185489 0.840579710144927 0.0206918268066513
"Adrastus rachifer" "Adrastus.rachifer" "coleoptera" 1 0 0.00297441998810232 0.227643378268032 0.702898550724638 0.230617798256134
"Aegomorphus clavipes" "Aegomorphus.clavipes" "coleoptera" 1 0 0.0356930398572279 0.06557819769082 0.723429951690821 0.101271237548048
"Aegosoma scabricorne" "Aegosoma.scabricorne" "coleoptera" 1 0 0.00118976799524093 0.613013825777358 0.842995169082126 0.614203593772599
"Agapanthia villosoviridescens" "Agapanthia.villosoviridescens" "coleoptera" 1 0 0.0356930398572279 0.0765560485508597 0.75 0.112249088408088
"Agolius abdominalis subsp. abdominalis" "Agolius.abdominalis.abdominalis" "coleoptera" 1 0 0.0275561985109873 0.0419835772762103 1 0.0695397757871976
"Agonum emarginatum" "Agonum.emarginatum" "coleoptera" 1 1 0.0124925639500297 0.189218583356596 0.781400966183575 0.201711147306625
"Agonum fuliginosum" "Agonum.fuliginosum" "coleoptera" 1 1 0.0124925639500297 0.189218583356596 0.891304347826087 0.201711147306625
"Agonum hypocrita" "Agonum.hypocrita" "coleoptera" 1 1 0.0124925639500297 0.0912327387015771 0.746376811594203 0.103725302651607
"Agonum micans" "Agonum.micans" "coleoptera" 1 1 0.0124925639500297 0.179614728234888 0.903381642512077 0.192107292184918
"Agonum muelleri" "Agonum.muelleri" "coleoptera" 1 0 0.0124925639500297 0.241332202329699 0.736714975845411 0.253824766279729
"Agonum sexpunctatum" "Agonum.sexpunctatum" "coleoptera" 1 1 0.0124925639500297 0.010362816637741 0.6256038647343 0.0228553805877708
"Agonum thoreyi" "Agonum.thoreyi" "coleoptera" 1 0 0.0124925639500297 0.0520921662431274 0.92512077294686 0.0645847301931572
"Agonum viduum" "Agonum.viduum" "coleoptera" 1 1 0.0124925639500297 0.0762963416705969 0.67512077294686 0.0887889056206266
"Agrilinus ater" "Agrilinus.ater" "coleoptera" 1 0 0.000594883997620468 0.0243660496608368 0.867149758454106 0.0249609336584573
"Agrilus angustulus" "Agrilus.angustulus" "coleoptera" 1 0 0.0178465199286139 0.0350074645647191 0.710144927536232 0.052853984493333
"Agrilus ater" "Agrilus.ater" "coleoptera" 1 0 0.0178465199286139 0.0425742587960194 0.786231884057971 0.0604207787246333
"Agrilus biguttatus" "Agrilus.biguttatus" "coleoptera" 1 0 0.0178465199286139 0.245746707662277 0.75 0.263593227590891
"Agrilus convexicollis" "Agrilus.convexicollis" "coleoptera" 1 0 0.0178465199286139 0.0236046698163733 0.821256038647343 0.0414511897449872
"Agrilus cuprescens" "Agrilus.cuprescens" "coleoptera" 1 0 0.0178465199286139 0.0933325001813415 0.6256038647343 0.111179020109955
"Agrilus cyanescens" "Agrilus.cyanescens" "coleoptera" 1 0 0.0178465199286139 0.0114481626161383 0.623188405797101 0.0292946825447522
"Agrilus derasofasciatus" "Agrilus.derasofasciatus" "coleoptera" 1 0 0.0178465199286139 0.0497530918539958 0.841787439613527 0.0675996117826098
"Agrilus graminis" "Agrilus.graminis" "coleoptera" 1 0 0.0178465199286139 0.0416454523963196 0.756038647342995 0.0594919723249336
"Agrilus laticornis" "Agrilus.laticornis" "coleoptera" 1 0 0.0178465199286139 0.0489387646475678 0.650966183574879 0.0667852845761817
"Agrilus obscuricollis" "Agrilus.obscuricollis" "coleoptera" 1 0 0.0178465199286139 0.01627594294144 0.873188405797101 0.0341224628700539
"Agrilus olivicolor" "Agrilus.olivicolor" "coleoptera" 1 0 0.0178465199286139 0.01627594294144 0.611111111111111 0.0341224628700539
"Agrilus pratensis" "Agrilus.pratensis" "coleoptera" 1 0 0.0178465199286139 0.0606311235344078 0.764492753623188 0.0784776434630217
"Agrilus sinuatus" "Agrilus.sinuatus" "coleoptera" 1 0 0.0178465199286139 0.0114481626161383 0.864734299516908 0.0292946825447522
"Agrilus sulcicollis" "Agrilus.sulcicollis" "coleoptera" 1 0 0.0178465199286139 0.0180080768770428 0.772946859903382 0.0358545968056568
"Agrilus suvorovi" "Agrilus.suvorovi" "coleoptera" 1 0 0.0178465199286139 0.261803736298193 0.745169082125604 0.279650256226807
"Agrilus viridis" "Agrilus.viridis" "coleoptera" 1 0 0.0178465199286139 0.0180080768770428 0.568840579710145 0.0358545968056568
"Agriotes acuminatus" "Agriotes.acuminatus" "coleoptera" 1 0 0.00535395597858417 0.0182329601467091 0.722222222222222 0.0235869161252933
"Agriotes gallicus" "Agriotes.gallicus" "coleoptera" 1 0 0.00535395597858417 0.0095568806212597 0.884057971014493 0.0149108365998439
