"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Agapetus ochripes" "Agapetus.ochripes" "ept" 0 1 0.15 0.218143460839003 0.722222222222222 0.368143460839003
"Agraylea multipunctata" "Agraylea.multipunctata" "ept" 0 1 0 0.191343853882398 0.841787439613527 0.191343853882398
"Agraylea sexmaculata" "Agraylea.sexmaculata" "ept" 0 1 0 0.526116618615104 0.752415458937198 0.526116618615104
"Agrypnia varia" "Agrypnia.varia" "ept" 0 1 0.2 0.16588357074234 0.760869565217391 0.365883570742341
"Alainites muticus" "Alainites.muticus" "ept" 0 1 0.475 0.00857867542625295 0.97463768115942 0.483578675426253
"Allogamus auricollis" "Allogamus.auricollis" "ept" 0 1 0.075 0.642598813429129 0.966183574879227 0.717598813429129
"Allogamus uncatus" "Allogamus.uncatus" "ept" 0 1 0.075 0.0695047784535188 0.695652173913043 0.144504778453519
"Amphinemura sulcicollis" "Amphinemura.sulcicollis" "ept" 0 1 0.025 0.148656189886355 0.841787439613527 0.173656189886355
"Amphinemura triangularis" "Amphinemura.triangularis" "ept" 0 1 0.025 0.148656189886355 0.979468599033816 0.173656189886355
"Anabolia nervosa" "Anabolia.nervosa" "ept" 0 1 0.950000000000001 0.526116618615104 0.830917874396135 1.4761166186151
"Athripsodes albifrons" "Athripsodes.albifrons" "ept" 0 1 0.075 0.167958209595424 0.844202898550725 0.242958209595424
"Athripsodes aterrimus" "Athripsodes.aterrimus" "ept" 0 1 0.075 0.00857867542625296 0.990338164251208 0.083578675426253
"Athripsodes cinereus" "Athripsodes.cinereus" "ept" 0 1 0.075 0.139320315047478 0.869565217391304 0.214320315047478
"Baetis alpinus" "Baetis.alpinus" "ept" 0 1 0.25 0.359691605372177 0.966183574879227 0.609691605372177
"Baetis buceratus" "Baetis.buceratus" "ept" 0 1 0.25 0.0484082399052845 0.993961352657005 0.298408239905284
"Baetis fuscatus" "Baetis.fuscatus" "ept" 0 1 0.25 0 0.792270531400966 0.25
"Baetis liebenauae" "Baetis.liebenauae" "ept" 0 1 0.25 0.314684197510871 0.990338164251208 0.56468419751087
"Baetis lutheri" "Baetis.lutheri" "ept" 0 1 0.25 0.202824397577837 0.981884057971015 0.452824397577837
"Baetis melanonyx" "Baetis.melanonyx" "ept" 0 1 0.25 0.359691605372177 0.968599033816425 0.609691605372177
"Baetis nubecularis" "Baetis.nubecularis" "ept" 0 1 0.25 0.465354844216069 1 0.715354844216069
"Baetis rhodani" "Baetis.rhodani" "ept" 0 1 0.25 0.00980420048714616 0.967391304347826 0.259804200487146
"Baetis scambus" "Baetis.scambus" "ept" 0 1 0.25 0.00980420048714616 0.990338164251208 0.259804200487146
"Baetis vardarensis" "Baetis.vardarensis" "ept" 0 1 0.25 0 0.8756038647343 0.25
"Baetis vernus" "Baetis.vernus" "ept" 0 1 0.25 0.113973830663075 0.979468599033816 0.363973830663074
"Beraea pullata" "Beraea.pullata" "ept" 0 1 1 1 0.734299516908212 2
"Brachyptera risi" "Brachyptera.risi" "ept" 0 1 0.075 0.328440716319398 0.981884057971015 0.403440716319398
"Brachyptera seticornis" "Brachyptera.seticornis" "ept" 0 1 0.075 0.131376286527759 0.977053140096618 0.206376286527759
"Caenis beskidensis" "Caenis.beskidensis" "ept" 0 1 0.15 0.00490210024357312 0.739130434782609 0.154902100243573
"Caenis horaria" "Caenis.horaria" "ept" 0 1 0.15 0.0618890155751105 0.991545893719807 0.21188901557511
"Caenis luctuosa" "Caenis.luctuosa" "ept" 0 1 0.15 0.105987492349587 0.996376811594203 0.255987492349587
"Caenis macrura" "Caenis.macrura" "ept" 0 1 0.15 0.0349274642354584 0.991545893719807 0.184927464235458
"Caenis rivulorum" "Caenis.rivulorum" "ept" 0 1 0.15 0.00980420048714629 0.998792270531401 0.159804200487146
"Capnia nigra" "Capnia.nigra" "ept" 0 1 0 0.129905656454688 0.606280193236715 0.129905656454688
"Capnia vidua" "Capnia.vidua" "ept" 0 1 0 0.225470349953058 0.971014492753623 0.225470349953058
"Capnioneura nemuroides" "Capnioneura.nemuroides" "ept" 0 1 0.125 0.241115490417926 0.986714975845411 0.366115490417927
"Centroptilum luteolum" "Centroptilum.luteolum" "ept" 0 1 0.475 0.044118902192158 0.981884057971015 0.519118902192158
"Ceraclea albimacula" "Ceraclea.albimacula" "ept" 0 1 0.15 0.352357213043464 0.855072463768116 0.502357213043464
"Ceraclea dissimilis" "Ceraclea.dissimilis" "ept" 0 1 0.15 0.352357213043464 0.764492753623188 0.502357213043464
"Chaetopteryx villosa" "Chaetopteryx.villosa" "ept" 0 1 0.1 0.0412345414238413 0.981884057971015 0.141234541423841
"Cheumatopsyche lepida" "Cheumatopsyche.lepida" "ept" 0 1 0.350000000000001 0.330410310167263 0.805555555555556 0.680410310167264
"Chloroperla susemicheli" "Chloroperla.susemicheli" "ept" 0 1 0 0.0306381265223319 0.966183574879227 0.0306381265223319
"Chloroperla tripunctata" "Chloroperla.tripunctata" "ept" 0 1 0 0.458867220924966 0.719806763285024 0.458867220924966
"Cloeon dipterum" "Cloeon.dipterum" "ept" 0 1 0 0.203845668461915 0.85024154589372 0.203845668461915
"Cloeon simile" "Cloeon.simile" "ept" 0 1 0 0.0618890155751105 0.707729468599034 0.0618890155751105
"Consorophylax consors" "Consorophylax.consors" "ept" 0 1 0.850000000000001 0.0336319091710855 0.516908212560387 0.883631909171086
"Crunoecia irrorata" "Crunoecia.irrorata" "ept" 0 1 0.025 0.0336319091710855 0.827294685990338 0.0586319091710855
"Cryptothrix nebulicola" "Cryptothrix.nebulicola" "ept" 0 1 0.425 0.0239415074395936 0.969806763285024 0.448941507439593
"Cyrnus trimaculatus" "Cyrnus.trimaculatus" "ept" 0 1 0.450000000000001 0.197265766051643 0.859903381642512 0.647265766051643
"Dictyogenus alpinum" "Dictyogenus.alpinum" "ept" 0 1 0.326694915254237 0.168798569637179 0.968599033816425 0.495493484891416
"Dictyogenus fontium" "Dictyogenus.fontium" "ept" 0 1 0.326694915254237 0.530312268162391 0.968599033816425 0.857007183416629
"Dinocras cephalotes" "Dinocras.cephalotes" "ept" 0 1 0.025 0.438737971799793 0.8743961352657 0.463737971799793
"Dinocras megacephala" "Dinocras.megacephala" "ept" 0 1 0.025 0.367254845747975 0.792270531400966 0.392254845747975
"Drusus annulatus" "Drusus.annulatus" "ept" 0 1 0.275000000000001 0.254646600152754 0.993961352657005 0.529646600152754
"Drusus biguttatus" "Drusus.biguttatus" "ept" 0 1 0.275000000000001 0.0381225831442159 0.971014492753623 0.313122583144216
"Drusus discolor" "Drusus.discolor" "ept" 0 1 0.275000000000001 0.636563977879273 0.971014492753623 0.911563977879273
"Drusus melanchaetes" "Drusus.melanchaetes" "ept" 0 1 0.275000000000001 0.194563483292373 0.975845410628019 0.469563483292373
"Drusus monticola" "Drusus.monticola" "ept" 0 1 0.275000000000001 0.168147290604819 0.621980676328502 0.44314729060482
"Ecclisopteryx madida" "Ecclisopteryx.madida" "ept" 0 1 0.425 0.00471827148443913 0.990338164251208 0.429718271484439
"Ecdyonurus dispar" "Ecdyonurus.dispar" "ept" 0 1 0.175 0.0134807756698261 0.823671497584541 0.188480775669826
"Ecdyonurus helveticus" "Ecdyonurus.helveticus" "ept" 0 1 0.175 0.14596003475239 0.968599033816425 0.320960034752389
"Ecdyonurus picteti" "Ecdyonurus.picteti" "ept" 0 1 0.175 0.14596003475239 0.971014492753623 0.320960034752389
"Ecdyonurus torrentis" "Ecdyonurus.torrentis" "ept" 0 1 0.175 0.00490210024357312 0.989130434782609 0.179902100243573
"Ecdyonurus venosus" "Ecdyonurus.venosus" "ept" 0 1 0.175 0.00857867542625295 0.978260869565217 0.183578675426252
"Ecnomus tenellus" "Ecnomus.tenellus" "ept" 0 1 0.875000000000001 0.451080759913076 0.876811594202899 1.32608075991308
"Electrogena lateralis" "Electrogena.lateralis" "ept" 0 1 0.05 0.0373785143572449 0.986714975845411 0.0873785143572449
"Electrogena ujhelyii" "Electrogena.ujhelyii" "ept" 0 1 0.05 0.0349274642354584 0.984299516908213 0.0849274642354584
"Epeorus alpicola" "Epeorus.alpicola" "ept" 0 1 0 0.152976165726003 0.971014492753623 0.152976165726003
"Epeorus assimilis" "Epeorus.assimilis" "ept" 0 1 0 0.304236596366756 0.975845410628019 0.304236596366756
"Ephemera danica" "Ephemera.danica" "ept" 0 1 0.05 0.487452592970301 0.98792270531401 0.537452592970301
"Ephemera vulgata" "Ephemera.vulgata" "ept" 0 1 0.05 0.487452592970301 0.832125603864734 0.537452592970301
"Ephemerella mucronata" "Ephemerella.mucronata" "ept" 0 1 0.05 0.0704676910013635 0.98792270531401 0.120467691001363
"Glossosoma boltoni" "Glossosoma.boltoni" "ept" 0 1 0.025 0.166934020794534 0.665458937198068 0.191934020794534
"Glossosoma conformis" "Glossosoma.conformis" "ept" 0 1 0.025 0.218143460839003 0.708937198067633 0.243143460839003
"Glyphotaelius pellucidus" "Glyphotaelius.pellucidus" "ept" 0 1 0.950000000000001 0.162994833098806 0.847826086956522 1.11299483309881
"Goera pilosa" "Goera.pilosa" "ept" 0 1 0.1 0.194642767260598 0.908212560386473 0.294642767260598
"Habroleptoides auberti" "Habroleptoides.auberti" "ept" 0 1 0 0.280920982083261 0.972222222222222 0.280920982083261
"Habroleptoides confusa" "Habroleptoides.confusa" "ept" 0 1 0 0.00980420048714629 0.978260869565217 0.00980420048714629
"Habrophlebia eldae" "Habrophlebia.eldae" "ept" 0 1 0.025 0.161891860544002 0.993961352657005 0.186891860544002
"Habrophlebia lauta" "Habrophlebia.lauta" "ept" 0 1 0.025 0.0551486277401975 0.985507246376812 0.0801486277401975
"Halesus digitatus" "Halesus.digitatus" "ept" 0 1 0.05 0.0238627236856792 0.892512077294686 0.0738627236856792
"Halesus radiatus" "Halesus.radiatus" "ept" 0 1 0.05 0.181036312745242 0.984299516908213 0.231036312745242
"Halesus rubricollis" "Halesus.rubricollis" "ept" 0 1 0.05 0.168387143366736 0.664251207729469 0.218387143366736
"Heptagenia sulphurea" "Heptagenia.sulphurea" "ept" 0 1 0.9 0.262670871384792 0.927536231884058 1.16267087138479
"Hydropsyche angustipennis" "Hydropsyche.angustipennis" "ept" 0 1 0.325 0.0412345414238413 0.863526570048309 0.366234541423841
"Hydropsyche contubernalis" "Hydropsyche.contubernalis" "ept" 0 1 0.325 0.237817514941557 0.820048309178744 0.562817514941557
"Hydropsyche dinarica" "Hydropsyche.dinarica" "ept" 0 1 0.325 0.0439657115595464 0.983091787439614 0.368965711559546
"Hydropsyche incognita" "Hydropsyche.incognita" "ept" 0 1 0.325 0.214676975666763 0.852657004830918 0.539676975666763
"Hydropsyche instabilis" "Hydropsyche.instabilis" "ept" 0 1 0.325 0.295593337715072 0.980676328502415 0.620593337715072
"Hydropsyche pellucidula" "Hydropsyche.pellucidula" "ept" 0 1 0.325 0.304805590145028 0.896135265700483 0.629805590145028
"Hydropsyche siltalai" "Hydropsyche.siltalai" "ept" 0 1 0.325 0.166934020794534 0.990338164251208 0.491934020794534
"Hydropsyche tenuis" "Hydropsyche.tenuis" "ept" 0 1 0.325 0.0439657115595464 0.692028985507246 0.368965711559546
"Hydroptila angulata" "Hydroptila.angulata" "ept" 0 1 0.350000000000001 0.150980310626835 0.801932367149758 0.500980310626835
"Hydroptila forcipata" "Hydroptila.forcipata" "ept" 0 1 0.350000000000001 0.0480296401989728 0.694444444444444 0.398029640198974
"Hydroptila sparsa" "Hydroptila.sparsa" "ept" 0 1 0.350000000000001 0.0480296401989728 0.853864734299517 0.398029640198974
"Hydroptila tineoides" "Hydroptila.tineoides" "ept" 0 1 0.350000000000001 0.0502552812470593 0.844202898550725 0.40025528124706
"Hydroptila vectis" "Hydroptila.vectis" "ept" 0 1 0.350000000000001 0.168509695872826 0.805555555555556 0.518509695872826
"Isoperla carbonaria" "Isoperla.carbonaria" "ept" 0 1 0.125 0.367254845747975 0.981884057971015 0.492254845747976
"Isoperla grammatica" "Isoperla.grammatica" "ept" 0 1 0.125 0.162994833098806 0.978260869565217 0.287994833098806
"Isoperla rivulorum" "Isoperla.rivulorum" "ept" 0 1 0.125 0.0306381265223319 0.971014492753623 0.155638126522332
"Lepidostoma hirtum" "Lepidostoma.hirtum" "ept" 0 1 0.025 0.27697021998418 0.753623188405797 0.30197021998418
"Leptophlebia marginata" "Leptophlebia.marginata" "ept" 0 1 0.175 0.545720473782153 0.981884057971015 0.720720473782152
"Leuctra albida" "Leuctra.albida" "ept" 0 1 0.950000000000001 0.174667959303814 0.634057971014493 1.12466795930382
"Leuctra alpina" "Leuctra.alpina" "ept" 0 1 0.950000000000001 0.108949177913412 0.966183574879227 1.05894917791341
"Leuctra armata" "Leuctra.armata" "ept" 0 1 0.950000000000001 0.411531315447963 0.977053140096618 1.36153131544796
"Leuctra aurita" "Leuctra.aurita" "ept" 0 1 0.950000000000001 0.108949177913412 0.800724637681159 1.05894917791341
"Leuctra braueri" "Leuctra.braueri" "ept" 0 1 0.950000000000001 0.411531315447963 0.966183574879227 1.36153131544796
"Leuctra cingulata" "Leuctra.cingulata" "ept" 0 1 0.950000000000001 0.201598872516944 0.636473429951691 1.15159887251695
"Leuctra fusca" "Leuctra.fusca" "ept" 0 1 0.950000000000001 0.127581535714208 0.811594202898551 1.07758153571421
"Leuctra geniculata" "Leuctra.geniculata" "ept" 0 1 0.950000000000001 0.285424786682044 0.998792270531401 1.23542478668204
"Leuctra handlirschi" "Leuctra.handlirschi" "ept" 0 1 0.950000000000001 0.333955579093418 0.742753623188406 1.28395557909342
"Leuctra hippopus" "Leuctra.hippopus" "ept" 0 1 0.950000000000001 0.162994833098806 0.978260869565217 1.11299483309881
"Leuctra inermis" "Leuctra.inermis" "ept" 0 1 0.950000000000001 0.229173186387043 0.630434782608696 1.17917318638704
"Leuctra leptogaster" "Leuctra.leptogaster" "ept" 0 1 0.950000000000001 0.401617693080379 0.626811594202899 1.35161769308038
"Leuctra major" "Leuctra.major" "ept" 0 1 0.950000000000001 0.328440716319398 0.966183574879227 1.2784407163194
"Leuctra meridionalis" "Leuctra.meridionalis" "ept" 0 1 0.950000000000001 0.198053603590789 0.984299516908213 1.14805360359079
"Leuctra mortoni" "Leuctra.mortoni" "ept" 0 1 0.950000000000001 0.12218484857106 0.728260869565217 1.07218484857106
"Leuctra moselyi" "Leuctra.moselyi" "ept" 0 1 0.950000000000001 0.283402670331571 0.608695652173913 1.23340267033157
"Leuctra nigra" "Leuctra.nigra" "ept" 0 1 0.950000000000001 0.252020475022267 0.975845410628019 1.20202047502227
"Leuctra prima" "Leuctra.prima" "ept" 0 1 0.950000000000001 0.472708282533745 0.992753623188406 1.42270828253375
"Leuctra pseudosignifera" "Leuctra.pseudosignifera" "ept" 0 1 0.950000000000001 0.237996966825474 0.97463768115942 1.18799696682548
"Leuctra rauscheri" "Leuctra.rauscheri" "ept" 0 1 0.950000000000001 0.146450244776747 0.966183574879227 1.09645024477675
