"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Abramis brama" "Abramis.brama" "fishes" 0 1 0 0.283071015101254 0.991545893719807 0.283071015101254
"Alburnoides bipunctatus" "Alburnoides.bipunctatus" "fishes" 0 1 0.021978021978022 0.0899376650247738 0.996376811594203 0.111915687002796
"Alburnus alburnus" "Alburnus.alburnus" "fishes" 0 1 0.010989010989011 0 0.993961352657005 0.010989010989011
"Anguilla anguilla" "Anguilla.anguilla" "fishes" 0 1 0.934065934065934 1 0.995169082125604 1.93406593406593
"Barbus barbus" "Barbus.barbus" "fishes" 0 1 0.0439560439560439 0.517199245928459 0.991545893719807 0.561155289884503
"Blicca bjoerkna" "Blicca.bjoerkna" "fishes" 0 1 0 0.261736731696546 0.998792270531401 0.261736731696546
"Carassius auratus" "Carassius.auratus" "fishes" 0 1 0 0.123133959686419 0.997584541062802 0.123133959686419
"Carassius carassius" "Carassius.carassius" "fishes" 0 1 0 0.123133959686419 0.997584541062802 0.123133959686419
"Chondrostoma nasus" "Chondrostoma.nasus" "fishes" 0 1 0.032967032967033 0.394599357520092 0.996376811594203 0.427566390487125
"Cottus gobio" "Cottus.gobio" "fishes" 0 1 0.0439560439560439 0.492030448701884 0.975845410628019 0.535986492657928
"Cyprinus carpio" "Cyprinus.carpio" "fishes" 0 1 0.010989010989011 0.283071015101254 0.990338164251208 0.294060026090265
"Esox lucius" "Esox.lucius" "fishes" 0 1 0.252747252747252 0.163078968773842 0.986714975845411 0.415826221521095
"Gobio gobio" "Gobio.gobio" "fishes" 0 1 0.263736263736264 0.0899376650247738 0.990338164251208 0.353673928761038
"Gymnocephalus cernua" "Gymnocephalus.cernua" "fishes" 0 1 0.021978021978022 0.297164973305994 0.997584541062802 0.319142995284016
"Lampetra planeri" "Lampetra.planeri" "fishes" 0 1 1 0.394599357520092 1 1.39459935752009
"Lepomis gibbosus" "Lepomis.gibbosus" "fishes" 0 1 0.0659340659340659 0.405810531318464 0.990338164251208 0.47174459725253
"Leucaspius delineatus" "Leucaspius.delineatus" "fishes" 0 1 0.010989010989011 0.43998724962777 1 0.450976260616781
"Leuciscus leuciscus" "Leuciscus.leuciscus" "fishes" 0 1 0.197802197802198 0.0340022500251505 0.993961352657005 0.231804447827349
"Lota lota" "Lota.lota" "fishes" 0 1 0.120879120879121 0.378067498346191 0.977053140096618 0.498946619225313
"Oncorhynchus mykiss" "Oncorhynchus.mykiss" "fishes" 0 1 0.0439560439560439 0.226242445841796 0.967391304347826 0.27019848979784
"Perca fluviatilis" "Perca.fluviatilis" "fishes" 0 1 0.010989010989011 0.163078968773842 0.984299516908213 0.174067979762853
"Phoxinus lumaireul" "Phoxinus.lumaireul" "fishes" 0 1 0.219780219780219 0.517199245928459 0.991545893719807 0.736979465708679
"Rhodeus amarus" "Rhodeus.amarus" "fishes" 0 1 0.384615384615385 0.31249713209489 0.997584541062802 0.697112516710275
"Rutilus rutilus" "Rutilus.rutilus" "fishes" 0 1 0.021978021978022 0 0.98792270531401 0.021978021978022
"Salmo trutta" "Salmo.trutta" "fishes" 0 1 0.131868131868132 0.110991008782339 0.966183574879227 0.24285914065047
"Salvelinus fontinalis" "Salvelinus.fontinalis" "fishes" 0 1 0 0.110991008782339 0.971014492753623 0.110991008782339
"Salvelinus namaycush" "Salvelinus.namaycush" "fishes" 0 1 0 0.136931341519943 0.985507246376812 0.136931341519943
"Salvelinus umbla" "Salvelinus.umbla" "fishes" 0 1 0.032967032967033 0.31249713209489 0.977053140096618 0.345464165061923
"Sander lucioperca" "Sander.lucioperca" "fishes" 0 1 0.010989010989011 0.768978192911605 0.997584541062802 0.779967203900615
"Scardinius erythrophthalmus" "Scardinius.erythrophthalmus" "fishes" 0 1 0.032967032967033 0.119646866549575 0.989130434782609 0.152613899516608
"Silurus glanis" "Silurus.glanis" "fishes" 0 1 0.472527472527472 0.297164973305994 0.997584541062802 0.769692445833467
"Squalius cephalus" "Squalius.cephalus" "fishes" 0 1 0 0.41748396316491 0.990338164251208 0.41748396316491
"Squalius squalus" "Squalius.squalus" "fishes" 0 1 0 0.171204895928801 0.996376811594203 0.171204895928801
"Telestes muticellus" "Telestes.muticellus" "fishes" 0 1 0 0.43998724962777 0.995169082125604 0.43998724962777
"Telestes souffia" "Telestes.souffia" "fishes" 0 1 0 0.136931341519943 0.992753623188406 0.136931341519943
"Thymallus thymallus" "Thymallus.thymallus" "fishes" 0 1 0.164835164835165 0.0340022500251505 0.993961352657005 0.198837414860316
"Tinca tinca" "Tinca.tinca" "fishes" 0 1 0.285714285714286 0.119646866549575 0.986714975845411 0.40536115226386
