"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Abortiporus biennis" "Abortiporus.biennis" "fungi" 1 0 0.0228499460237494 0 0.786231884057971 0.0228499460237494
"Acrocordia gemmata" "Acrocordia.gemmata" "fungi" 1 0 0.000179920834832673 0 0.891304347826087 0.000179920834832673
"Acrospermum compressum" "Acrospermum.compressum" "fungi" 1 0 0.846347607052897 0 0.594202898550725 0.846347607052897
"Adelphella babingtonii" "Adelphella.babingtonii" "fungi" 1 0 0.0244692335372435 0 0.682367149758454 0.0244692335372435
"Agaricus aestivalis" "Agaricus.aestivalis" "fungi" 1 0 1 0 0.876811594202899 1
"Agaricus arvensis" "Agaricus.arvensis" "fungi" 1 0 0 0 0.739130434782609 0.000179920834832673
"Agaricus augustus" "Agaricus.augustus" "fungi" 1 0 0.000359841669665348 0 0.684782608695652 0.000359841669665348
"Agaricus bitorquis" "Agaricus.bitorquis" "fungi" 1 0 0.000539762504498021 0 0.760869565217391 0.000539762504498021
"Agaricus campestris" "Agaricus.campestris" "fungi" 1 0 0 0 0.764492753623188 0.000179920834832673
"Agaricus essettei" "Agaricus.essettei" "fungi" 1 0 1 0 0.714975845410628 1
"Agaricus langei" "Agaricus.langei" "fungi" 1 0 1 0 0.608695652173913 1
"Agaricus macrosporus" "Agaricus.macrosporus" "fungi" 1 0 0.000179920834832673 0 0.747584541062802 0.000179920834832673
"Agaricus praeclaresquamosus" "Agaricus.praeclaresquamosus" "fungi" 1 0 0 0 0.576086956521739 0.000179920834832673
"Agaricus semotus" "Agaricus.semotus" "fungi" 1 0 1 0 0.78743961352657 1
"Agaricus squamuliferus" "Agaricus.squamuliferus" "fungi" 1 0 0.137553570291887 0 0.747584541062802 0.137553570291887
"Agaricus sylvaticus" "Agaricus.sylvaticus" "fungi" 1 0 1 0 0.653381642512077 1
"Agaricus sylvicola" "Agaricus.sylvicola" "fungi" 1 0 0.137553570291887 0 0.758454106280193 0.137553570291887
"Agaricus xanthodermus" "Agaricus.xanthodermus" "fungi" 1 0 0 0 0.82487922705314 0.000179920834832673
"Agrocybe dura" "Agrocybe.dura" "fungi" 1 0 0.00287873335732277 0 0.815217391304348 0.00287873335732277
"Agrocybe erebia" "Agrocybe.erebia" "fungi" 1 0 0.00287873335732277 0 0.861111111111111 0.00287873335732277
"Agrocybe firma" "Agrocybe.firma" "fungi" 1 0 0.00287873335732277 0 0.817632850241546 0.00287873335732277
"Agrocybe pediades" "Agrocybe.pediades" "fungi" 1 0 0.00287873335732277 0 0.878019323671498 0.00287873335732277
"Agrocybe praecox" "Agrocybe.praecox" "fungi" 1 0 0.00287873335732277 0 0.694444444444444 0.00287873335732277
"Aleuria aurantia" "Aleuria.aurantia" "fungi" 1 0 0.0554156171284635 0 0.772946859903382 0.0554156171284635
"Aleurocystidiellum disciforme" "Aleurocystidiellum.disciforme" "fungi" 1 0 0.00305865419215546 0 0.838164251207729 0.00305865419215546
"Aleurodiscus amorphus" "Aleurodiscus.amorphus" "fungi" 1 0 0.00125944584382872 0 0.713768115942029 0.00125944584382872
"Alutaceodontia alutacea" "Alutaceodontia.alutacea" "fungi" 1 0 0.00701691255847427 0 0.91304347826087 0.00701691255847427
"Amanita battarrae" "Amanita.battarrae" "fungi" 1 0 0.00953580424613169 0 0.599033816425121 0.00953580424613169
"Amanita caesarea" "Amanita.caesarea" "fungi" 1 0 0.00953580424613169 0 0.816425120772947 0.00953580424613169
"Amanita ceciliae" "Amanita.ceciliae" "fungi" 1 0 0.00953580424613169 0 0.688405797101449 0.00953580424613169
"Amanita citrina" "Amanita.citrina" "fungi" 1 0 0.00953580424613169 0 0.756038647342995 0.00953580424613169
"Amanita crocea" "Amanita.crocea" "fungi" 1 0 0.00953580424613169 0 0.821256038647343 0.00953580424613169
"Amanita eliae" "Amanita.eliae" "fungi" 1 0 0.00953580424613169 0 0.943236714975845 0.00953580424613169
"Amanita excelsa" "Amanita.excelsa" "fungi" 1 0 0.00953580424613169 0 0.640096618357488 0.00953580424613169
"Amanita franchetii" "Amanita.franchetii" "fungi" 1 0 0.00953580424613169 0 0.880434782608696 0.00953580424613169
"Amanita fulva" "Amanita.fulva" "fungi" 1 0 0.00953580424613169 0 0.806763285024155 0.00953580424613169
"Amanita gemmata" "Amanita.gemmata" "fungi" 1 0 0.00953580424613169 0 0.72463768115942 0.00953580424613169
"Amanita mairei" "Amanita.mairei" "fungi" 1 0 0.00953580424613169 0 0.702898550724638 0.00953580424613169
"Amanita muscaria" "Amanita.muscaria" "fungi" 1 0 0.00953580424613169 0 0.566425120772947 0.00953580424613169
"Amanita nivalis" "Amanita.nivalis" "fungi" 1 0 0.00953580424613169 0 0.682367149758454 0.00953580424613169
"Amanita pantherina" "Amanita.pantherina" "fungi" 1 0 0.00953580424613169 0 0.692028985507246 0.00953580424613169
"Amanita phalloides" "Amanita.phalloides" "fungi" 1 0 0.00953580424613169 0 0.702898550724638 0.00953580424613169
"Amanita porphyria" "Amanita.porphyria" "fungi" 1 0 0.00953580424613169 0 0.657004830917874 0.00953580424613169
"Amanita rubescens" "Amanita.rubescens" "fungi" 1 0 0.00953580424613169 0 0.585748792270531 0.00953580424613169
"Amanita solitaria" "Amanita.solitaria" "fungi" 1 0 0.00953580424613169 0 0.699275362318841 0.00953580424613169
"Amanita strobiliformis" "Amanita.strobiliformis" "fungi" 1 0 0.00953580424613169 0 0.706521739130435 0.00953580424613169
"Amanita submembranacea" "Amanita.submembranacea" "fungi" 1 0 0.00953580424613169 0 0.592995169082126 0.00953580424613169
"Amanita vaginata" "Amanita.vaginata" "fungi" 1 0 0.137553570291887 0 0.636473429951691 0.137553570291887
"Amanita virosa" "Amanita.virosa" "fungi" 1 0 0.00953580424613169 0 0.752415458937198 0.00953580424613169
"Amphinema byssoides" "Amphinema.byssoides" "fungi" 1 0 0.724541201871176 0 0.623188405797101 0.724541201871176
"Amphisphaerella xylostei" "Amphisphaerella.xylostei" "fungi" 1 0 0.0442605253688377 0 0.648550724637681 0.0442605253688377
"Ampulloclitocybe clavipes" "Ampulloclitocybe.clavipes" "fungi" 1 0 0.00953580424613169 0 0.72463768115942 0.00953580424613169
"Amylostereum areolatum" "Amylostereum.areolatum" "fungi" 1 0 0.000179920834832673 0 0.958937198067633 0.000179920834832673
"Amylostereum chailletii" "Amylostereum.chailletii" "fungi" 1 0 0.000179920834832673 0 0.692028985507246 0.000179920834832673
"Amylostereum laevigatum" "Amylostereum.laevigatum" "fungi" 1 0 0.000179920834832673 0 0.792270531400966 0.000179920834832673
"Amyloxenasma allantospora" "Amyloxenasma.allantospora" "fungi" 1 0 0.0183519251529327 0 0.97463768115942 0.0183519251529327
"Anellaria semiovata" "Anellaria.semiovata" "fungi" 1 0 0.00233897085282475 0 0.516908212560387 0.00233897085282475
"Anisomeridium polypori" "Anisomeridium.polypori" "fungi" 1 0 0.000179920834832673 0 0.909420289855073 0.000179920834832673
"Anthracobia macrocystis" "Anthracobia.macrocystis" "fungi" 1 0 0.00143936667866139 0 0.758454106280193 0.00143936667866139
"Anthracobia melaloma" "Anthracobia.melaloma" "fungi" 1 0 0.00143936667866139 0 0.6256038647343 0.00143936667866139
"Antrodia serialis" "Antrodia.serialis" "fungi" 1 0 0.00287873335732277 0 0.829710144927536 0.00287873335732277
"Antrodia xantha" "Antrodia.xantha" "fungi" 1 0 0.00287873335732277 0 0.939613526570048 0.00287873335732277
"Armillaria cepistipes" "Armillaria.cepistipes" "fungi" 1 0 0.00107952500899604 0 0.592995169082126 0.00107952500899604
"Armillaria gallica" "Armillaria.gallica" "fungi" 1 0 0.00107952500899604 0 0.800724637681159 0.00107952500899604
"Armillaria ostoyae" "Armillaria.ostoyae" "fungi" 1 0 0.00107952500899604 0 0.682367149758454 0.00107952500899604
"Arrhenia acerosa" "Arrhenia.acerosa" "fungi" 1 0 0.00485786254048219 0 0.643719806763285 0.00485786254048219
"Arrhenia lobata" "Arrhenia.lobata" "fungi" 1 0 0.00485786254048219 0 0.553140096618358 0.00485786254048219
"Arrhenia rickenii" "Arrhenia.rickenii" "fungi" 1 0 0.00485786254048219 0 0.803140096618358 0.00485786254048219
"Arrhenia spathulata" "Arrhenia.spathulata" "fungi" 1 0 0.00485786254048219 0 0.909420289855073 0.00485786254048219
"Arthonia byssacea" "Arthonia.byssacea" "fungi" 1 0 0.00521770421014754 0 0.817632850241546 0.00521770421014754
"Arthonia cinnabarina" "Arthonia.cinnabarina" "fungi" 1 0 0.00521770421014754 0 0.922705314009662 0.00521770421014754
"Arthonia didyma" "Arthonia.didyma" "fungi" 1 0 0.00521770421014754 0 0.580917874396135 0.00521770421014754
