"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Abrostola asclepiadis" "Abrostola.asclepiadis" "lepidoptera" 1 0 0.00192678227360308 0.00114982200439812 0.786231884057971 0.0030766042780012
"Abrostola tripartita" "Abrostola.tripartita" "lepidoptera" 1 0 0.00192678227360308 0.000130168528799801 0.791062801932367 0.00205695080240288
"Abrostola triplasia" "Abrostola.triplasia" "lepidoptera" 1 0 0.00192678227360308 0.00980931625364456 0.780193236714976 0.0117360985272476
"Acherontia atropos" "Acherontia.atropos" "lepidoptera" 1 0 0 0.0136742696920988 0.664251207729469 0.0136742696920988
"Achlya flavicornis" "Achlya.flavicornis" "lepidoptera" 1 0 0.00674373795761079 0.00214580847476013 0.852657004830918 0.00888954643237092
"Acronicta aceris" "Acronicta.aceris" "lepidoptera" 1 0 0.00963391136801542 1.08473773999948e-05 0.881642512077295 0.00964475874541541
"Acronicta alni" "Acronicta.alni" "lepidoptera" 1 0 0.00963391136801542 0.000765233169307841 0.786231884057971 0.0103991445373233
"Acronicta auricoma" "Acronicta.auricoma" "lepidoptera" 1 0 0.00963391136801542 0.00373248395081207 0.814009661835749 0.0133663953188275
"Acronicta euphorbiae" "Acronicta.euphorbiae" "lepidoptera" 1 0 0.00963391136801542 0.000101570897472578 0.658212560386473 0.00973548226548799
"Acronicta leporina" "Acronicta.leporina" "lepidoptera" 1 0 0.00963391136801542 0.000431922845562943 0.835748792270531 0.0100658342135784
"Acronicta megacephala" "Acronicta.megacephala" "lepidoptera" 1 0 0.00963391136801542 0.000380644334217545 0.818840579710145 0.010014555702233
"Acronicta psi" "Acronicta.psi" "lepidoptera" 1 0 0.00963391136801542 0.000431922845562943 0.792270531400966 0.0100658342135784
"Acronicta rumicis" "Acronicta.rumicis" "lepidoptera" 1 0 0.00963391136801542 0.000287948563708623 0.745169082125604 0.00992185993172404
"Actinotia polyodon" "Actinotia.polyodon" "lepidoptera" 1 0 0.0761078998073218 7.19871409271601e-05 0.823671497584541 0.076179886948249
"Adscita alpina" "Adscita.alpina" "lepidoptera" 1 0 0.00385356454720617 0.323371364895915 0.745169082125604 0.327224929443121
"Adscita geryon" "Adscita.geryon" "lepidoptera" 1 0 0.00385356454720617 0.0010512094825801 0.673913043478261 0.00490477402978627
"Adscita statices" "Adscita.statices" "lepidoptera" 1 0 0.00385356454720617 0.00546313370871833 0.690821256038647 0.0093166982559245
"Aedia funesta" "Aedia.funesta" "lepidoptera" 1 0 0.0423892100192678 0.000336926116211574 0.810386473429952 0.0427261361354794
"Aetheria bicolorata" "Aetheria.bicolorata" "lepidoptera" 1 0 0 0.000185391541017884 0.748792270531401 0.000185391541017884
"Aetheria dysodea" "Aetheria.dysodea" "lepidoptera" 1 0 0 0.00139635330894317 0.75 0.00139635330894317
"Aglais io" "Aglais.io" "lepidoptera" 1 0 0 0.316585640044573 0.516908212560387 0.316585640044573
"Aglais urticae" "Aglais.urticae" "lepidoptera" 1 0 0 0.0650842643998934 0.516908212560387 0.0650842643998934
"Aglia tau" "Aglia.tau" "lepidoptera" 1 0 0.0048169556840077 0.00254420306290493 0.642512077294686 0.00736115874691264
"Agriades glandon" "Agriades.glandon" "lepidoptera" 1 0 0.000963391136801537 0.0315560069817666 0.764492753623188 0.0325193981185681
"Agriades optilete" "Agriades.optilete" "lepidoptera" 1 0 0 0.362894080290315 0.776570048309179 0.362894080290315
"Agriades orbitulus" "Agriades.orbitulus" "lepidoptera" 1 0 0 0.0295837565454062 0.725845410628019 0.0295837565454062
"Agrius convolvuli" "Agrius.convolvuli" "lepidoptera" 1 0 0 0.0046919837881014 0.733091787439613 0.0046919837881014
"Agrochola circellaris" "Agrochola.circellaris" "lepidoptera" 1 0 0.00674373795761079 0.000121293401836162 0.77536231884058 0.00686503135944695
"Agrochola helvola" "Agrochola.helvola" "lepidoptera" 1 0 0.00674373795761079 0.000106501523563457 0.776570048309179 0.00685023948117425
"Agrochola litura" "Agrochola.litura" "lepidoptera" 1 0 0.00674373795761079 0.000161724535781549 0.791062801932367 0.00690546249339234
"Agrochola lota" "Agrochola.lota" "lepidoptera" 1 0 0.00674373795761079 0.000266253808908633 0.89975845410628 0.00700999176651943
"Agrochola lychnidis" "Agrochola.lychnidis" "lepidoptera" 1 0 0.00674373795761079 9.40106041331805e-05 0.863526570048309 0.00683774856174397
"Agrochola macilenta" "Agrochola.macilenta" "lepidoptera" 1 0 0.00674373795761079 0.000287948563708623 0.780193236714976 0.00703168652131942
"Agrochola nitida" "Agrochola.nitida" "lepidoptera" 1 0 0.00674373795761079 0.000151863283599749 0.847826086956522 0.00689560124121054
"Agrochola pistacinoides" "Agrochola.pistacinoides" "lepidoptera" 1 0 0.00674373795761079 5.91675130908188e-05 0.865942028985507 0.00680290547070161
"Agrotis cinerea" "Agrotis.cinerea" "lepidoptera" 1 0 0.00867052023121387 3.15560069817815e-05 0.71256038647343 0.00870207623819565
"Agrotis clavis" "Agrotis.clavis" "lepidoptera" 1 0 0.00867052023121387 0.000165669036654276 0.788647342995169 0.00883618926786815
"Agrotis exclamationis" "Agrotis.exclamationis" "lepidoptera" 1 0 0.00867052023121387 0.00068989320263887 0.683574879227053 0.00936041343385274
"Agrotis ipsilon" "Agrotis.ipsilon" "lepidoptera" 1 0 0.00867052023121387 0.000522646365635503 0.631642512077295 0.00919316659684937
"Agrotis segetum" "Agrotis.segetum" "lepidoptera" 1 0 0.00867052023121387 0.000270198309781372 0.792270531400966 0.00894071854099524
"Agrotis simplonia" "Agrotis.simplonia" "lepidoptera" 1 0 0.00867052023121387 0.000534479868253665 0.696859903381642 0.00920500009946754
"Agrotis trux" "Agrotis.trux" "lepidoptera" 1 0 0.00867052023121387 2.95837565454094e-05 0.863526570048309 0.00870010398775928
"Allophyes oxyacanthae" "Allophyes.oxyacanthae" "lepidoptera" 1 0 0.00963391136801542 0.000161724535781549 0.818840579710145 0.00979563590379696
"Amata phegea" "Amata.phegea" "lepidoptera" 1 0 0.000963391136801537 0.000165669036654268 0.88768115942029 0.0011290601734558
"Ammoconia caecimacula" "Ammoconia.caecimacula" "lepidoptera" 1 0 0.0761078998073218 0.00029583756545406 0.791062801932367 0.0764037373727759
"Amphipoea oculea" "Amphipoea.oculea" "lepidoptera" 1 0 0.0404624277456648 1.97225043636005e-05 0.91304347826087 0.0404821502500284
"Amphipyra berbera subsp. svenssoni" "Amphipyra.berbera.svenssoni" "lepidoptera" 1 0 0.0217633209723262 0.00134113029672508 1 0.0231044512690512
"Amphipyra perflua" "Amphipyra.perflua" "lepidoptera" 1 0 0.00289017341040463 0.00244953504195961 0.8743961352657 0.00533970845236423
"Amphipyra pyramidea" "Amphipyra.pyramidea" "lepidoptera" 1 0 0.00289017341040463 0.000244559054108696 0.768115942028985 0.00313473246451332
"Amphipyra tragopoginis" "Amphipyra.tragopoginis" "lepidoptera" 1 0 0.00289017341040463 0.000349088327235781 0.826086956521739 0.00323926173764041
"Anaplectoides prasina" "Anaplectoides.prasina" "lepidoptera" 1 0 0.0751445086705203 0.000727760411016997 0.706521739130435 0.0758722690815373
"Anthocharis cardamines" "Anthocharis.cardamines" "lepidoptera" 1 0 0.00192678227360308 0.00236670052363248 0.521739130434783 0.00429348279723556
"Antitype chi" "Antitype.chi" "lepidoptera" 1 0 0.0761078998073218 0.000147918782727029 0.834541062801932 0.0762558185900488
"Apamea anceps" "Apamea.anceps" "lepidoptera" 1 0 0.0154142581888247 0.000181447040145149 0.869565217391304 0.0155957052289699
"Apamea aquila" "Apamea.aquila" "lepidoptera" 1 0 0.0154142581888247 0.000313587819381306 0.834541062801932 0.015727846008206
"Apamea crenata" "Apamea.crenata" "lepidoptera" 1 0 0.0154142581888247 3.35282574181364e-05 0.713768115942029 0.0154477864462428
"Apamea epomidion" "Apamea.epomidion" "lepidoptera" 1 0 0.0154142581888247 0.000436853471653839 0.764492753623188 0.0158511116604785
"Apamea furva" "Apamea.furva" "lepidoptera" 1 0 0.0154142581888247 0.000128196278363429 0.780193236714976 0.0155424544671881
