"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Agonimia tristicula" "Agonimia.tristicula" "lichens" 1 0 0.104379562043795 0.87308030047848 0.833333333333333 0.977459862522275
"Alectoria ochroleuca" "Alectoria.ochroleuca" "lichens" 1 0 0.000364963503649636 0.095395501892768 0.757246376811594 0.0957604653964176
"Alectoria sarmentosa" "Alectoria.sarmentosa" "lichens" 1 0 0.000364963503649636 0.095395501892768 0.91304347826087 0.0957604653964176
"Amandinea punctata" "Amandinea.punctata" "lichens" 1 0 0.149270072992701 0.863171950251847 0.695652173913043 1.01244202324455
"Anaptychia ciliaris" "Anaptychia.ciliaris" "lichens" 1 0 0.0854014598540146 0.238488754731921 0.753623188405797 0.323890214585935
"Bacidia arceutina" "Bacidia.arceutina" "lichens" 1 0 0.016058394160584 0.367272682287157 0.657004830917874 0.383331076447741
"Bacidia arnoldiana" "Bacidia.arnoldiana" "lichens" 1 0 0.016058394160584 0.302104965720284 0.876811594202899 0.318163359880868
"Bacidia globulosa" "Bacidia.globulosa" "lichens" 1 0 0.00839416058394161 0.24037156069033 0.545893719806763 0.248765721274271
"Bacidia naegelii" "Bacidia.naegelii" "lichens" 1 0 0.0072992700729927 0.234072296310959 0.698067632850242 0.241371566383951
"Bacidia rubella" "Bacidia.rubella" "lichens" 1 0 0.016058394160584 0.127194002523691 0.81280193236715 0.143252396684275
"Bacidia subincompta" "Bacidia.subincompta" "lichens" 1 0 0.016058394160584 0.133553702649875 0.559178743961353 0.149612096810459
"Baeomyces rufus" "Baeomyces.rufus" "lichens" 1 0 0.999999999999999 0.637442979669249 0.852657004830918 1.63744297966925
"Biatora chrysantha" "Biatora.chrysantha" "lichens" 1 0 0.00839416058394161 0.326729593982731 0.516908212560387 0.335123754566673
"Biatora efflorescens" "Biatora.efflorescens" "lichens" 1 0 0.00839416058394161 0.367272682287157 0.608695652173913 0.375666842871099
"Bryoria bicolor" "Bryoria.bicolor" "lichens" 1 0 0.00401459854014598 0.238488754731921 0.684782608695652 0.242503353272067
"Bryoria capillaris" "Bryoria.capillaris" "lichens" 1 0 0.00401459854014598 0.278236880520574 0.665458937198068 0.28225147906072
"Bryoria fuscescens" "Bryoria.fuscescens" "lichens" 1 0 0.00401459854014598 0.190791003785536 0.623188405797101 0.194805602325682
"Bryoria implexa" "Bryoria.implexa" "lichens" 1 0 0.00401459854014598 0.190791003785536 0.643719806763285 0.194805602325682
"Buellia disciformis" "Buellia.disciformis" "lichens" 1 0 0.0171532846715328 0.254388005047382 0.536231884057971 0.271541289718914
"Buellia griseovirens" "Buellia.griseovirens" "lichens" 1 0 0.0171532846715328 0.254388005047382 0.585748792270531 0.271541289718914
"Buellia schaereri" "Buellia.schaereri" "lichens" 1 0 0.0171532846715328 0.345808694361283 0.527777777777778 0.362961979032816
"Calicium trabinellum" "Calicium.trabinellum" "lichens" 1 0 0.00401459854014598 0.41735532078086 0.666666666666667 0.421369919321006
"Calicium viride" "Calicium.viride" "lichens" 1 0 0.00401459854014598 0.238488754731921 0.68719806763285 0.242503353272067
"Caloplaca alnetorum" "Caloplaca.alnetorum" "lichens" 1 0 0.05 0.412244847465176 0.718599033816425 0.462244847465176
"Caloplaca cerinella" "Caloplaca.cerinella" "lichens" 1 0 0.05 0.047697750946384 0.681159420289855 0.097697750946384
"Caloplaca cerinelloides" "Caloplaca.cerinelloides" "lichens" 1 0 0.05 0.047697750946384 0.592995169082126 0.097697750946384
"Caloplaca chlorina" "Caloplaca.chlorina" "lichens" 1 0 0.05 0.653089474737909 0.788647342995169 0.70308947473791
"Caloplaca herbidella" "Caloplaca.herbidella" "lichens" 1 0 0.05 0.367272682287157 0.60024154589372 0.417272682287157
"Caloplaca holocarpa" "Caloplaca.holocarpa" "lichens" 1 0 0.05 0.513566168843651 0.559178743961353 0.563566168843651
"Caloplaca lucifuga" "Caloplaca.lucifuga" "lichens" 1 0 0.05 0.430882252126327 0.946859903381642 0.480882252126327
"Candelaria concolor" "Candelaria.concolor" "lichens" 1 0 0.0094890510948905 0.234513942153055 0.607487922705314 0.244002993247945
"Candelariella reflexa" "Candelariella.reflexa" "lichens" 1 0 0.00875912408759123 0.54864606998358 0.671497584541063 0.557405194071171
"Candelariella vitellina" "Candelariella.vitellina" "lichens" 1 0 0.00875912408759123 0.622008483435189 0.839371980676328 0.63076760752278
"Candelariella xanthostigma" "Candelariella.xanthostigma" "lichens" 1 0 0.00875912408759123 0.274262067941708 0.657004830917874 0.283021192029299
"Catapyrenium squamulosum" "Catapyrenium.squamulosum" "lichens" 1 0 0.104379562043795 0.610738593639569 0.79951690821256 0.715118155683364
"Catillaria nigroclavata" "Catillaria.nigroclavata" "lichens" 1 0 1 0.322953522032809 0.725845410628019 1.32295352203281
"Catillaria pulverea" "Catillaria.pulverea" "lichens" 1 0 1 0.11924437736596 0.629227053140097 1.11924437736596
"Cetraria aculeata" "Cetraria.aculeata" "lichens" 1 0 0.00364963503649635 0.319208025564262 0.882850241545894 0.322857660600758
"Cetraria chlorophylla" "Cetraria.chlorophylla" "lichens" 1 0 0.0711678832116787 0.410418187272682 0.797101449275362 0.481586070484361
"Cetraria cucullata" "Cetraria.cucullata" "lichens" 1 0 0 0.143093252839152 0.719806763285024 0.143093252839152
"Cetraria ericetorum" "Cetraria.ericetorum" "lichens" 1 0 0.00364963503649635 0.166942128312344 0.76207729468599 0.17059176334884
"Cetraria islandica" "Cetraria.islandica" "lichens" 1 0 0.00364963503649635 0.166942128312344 0.793478260869565 0.17059176334884
"Cetraria nivalis" "Cetraria.nivalis" "lichens" 1 0 0 0.103345127050499 0.743961352657005 0.103345127050499
"Cetrelia cetrarioides" "Cetrelia.cetrarioides" "lichens" 1 0 0.0711678832116787 0.47697750946384 0.751207729468599 0.548145392675519
"Chaenotheca brachypoda" "Chaenotheca.brachypoda" "lichens" 1 0 0.0522391408400143 0.320634881361804 0.973429951690821 0.372874022201818
"Chaenotheca chrysocephala" "Chaenotheca.chrysocephala" "lichens" 1 0 0.0522391408400143 0.238488754731921 0.596618357487923 0.290727895571935
"Chaenotheca ferruginea" "Chaenotheca.ferruginea" "lichens" 1 0 0.0522391408400143 0.398616918623351 0.840579710144927 0.450856059463366
"Chaenotheca furfuracea" "Chaenotheca.furfuracea" "lichens" 1 0 0.0522391408400143 0.286186505678304 0.543478260869565 0.338425646518318
"Chaenotheca phaeocephala" "Chaenotheca.phaeocephala" "lichens" 1 0 0.0522391408400143 0.286186505678304 0.934782608695652 0.338425646518318
"Chaenotheca stemonea" "Chaenotheca.stemonea" "lichens" 1 0 0.0522391408400143 0.286186505678304 0.56280193236715 0.338425646518318
