"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Apodemus alpicola" "Apodemus.alpicola" "mammals" 1 0 0.04 0.218897712149844 0.683574879227053 0.258897712149844
"Apodemus flavicollis" "Apodemus.flavicollis" "mammals" 1 0 0 0.165677720894895 0.603864734299517 0.165677720894895
"Apodemus sylvaticus" "Apodemus.sylvaticus" "mammals" 1 0 0 0.318122944227127 0.611111111111111 0.318122944227127
"Arvicola amphibius" "Arvicola.amphibius" "mammals" 1 1 0.16 0.546266021354219 0.665458937198068 0.706266021354219
"Barbastella barbastellus" "Barbastella.barbastellus" "mammals" 1 0 0.0799999999999997 0.179997074341799 0.800724637681159 0.259997074341799
"Canis lupus" "Canis.lupus" "mammals" 1 0 0.0799999999999997 0.249754388025784 0.595410628019324 0.329754388025783
"Capra ibex" "Capra.ibex" "mammals" 1 0 0.04 0.334103546979961 0.68719806763285 0.374103546979961
"Capreolus capreolus" "Capreolus.capreolus" "mammals" 1 0 0.0799999999999997 0.0882310176413202 0.516908212560387 0.16823101764132
"Castor fiber" "Castor.fiber" "mammals" 1 1 0.640000000000001 0.425525665740552 0.986714975845411 1.06552566574055
"Cervus elaphus" "Cervus.elaphus" "mammals" 1 0 0 0.251637011194685 0.530193236714976 0.251637011194685
"Cervus nippon" "Cervus.nippon" "mammals" 1 0 0 0.258150967182639 0.945652173913043 0.258150967182639
"Chionomys nivalis" "Chionomys.nivalis" "mammals" 1 0 0.2 0.218897712149844 0.699275362318841 0.418897712149844
"Crocidura leucodon" "Crocidura.leucodon" "mammals" 1 0 0.04 0.0838215705246706 0.644927536231884 0.123821570524671
"Crocidura russula" "Crocidura.russula" "mammals" 1 0 0.04 0.0838215705246706 0.734299516908212 0.123821570524671
"Crocidura suaveolens" "Crocidura.suaveolens" "mammals" 1 0 0.04 0.377441496264006 0.903381642512077 0.417441496264006
"Eliomys quercinus" "Eliomys.quercinus" "mammals" 1 0 0.04 0.3093376238434 0.740338164251208 0.3493376238434
"Eptesicus nilssonii" "Eptesicus.nilssonii" "mammals" 1 0 0 0.290845111558337 0.652173913043478 0.290845111558337
"Eptesicus serotinus" "Eptesicus.serotinus" "mammals" 1 0 0 0.432621370140892 0.798309178743961 0.432621370140892
"Erinaceus europaeus" "Erinaceus.europaeus" "mammals" 1 0 0.399999999999998 0.18237606655076 0.63768115942029 0.582376066550758
"Felis silvestris" "Felis.silvestris" "mammals" 1 0 0 0.290909609232412 0.863526570048309 0.290909609232412
"Glis glis" "Glis.glis" "mammals" 1 0 0.0799999999999997 0.270666371866697 0.590579710144927 0.350666371866697
"Hypsugo savii" "Hypsugo.savii" "mammals" 1 0 0 0.11944390746777 0.741545893719807 0.11944390746777
"Lepus europaeus" "Lepus.europaeus" "mammals" 1 0 0 0.220564833670679 0.524154589371981 0.220564833670679
"Lepus timidus" "Lepus.timidus" "mammals" 1 0 0 0.321275137286217 0.666666666666667 0.321275137286217
"Lutra lutra" "Lutra.lutra" "mammals" 1 1 0.0799999999999997 1 0.993961352657005 1.08
"Lynx lynx" "Lynx.lynx" "mammals" 1 0 0 0.410286660782292 0.531400966183575 0.410286660782292
"Marmota marmota" "Marmota.marmota" "mammals" 1 0 0.0799999999999997 0.334103546979961 0.665458937198068 0.414103546979961
"Martes foina" "Martes.foina" "mammals" 1 0 0 0.441579642844385 0.522946859903382 0.441579642844385
"Martes martes" "Martes.martes" "mammals" 1 0 0 0.270666371866697 0.584541062801932 0.270666371866697
"Meles meles" "Meles.meles" "mammals" 1 0 0.04 0.322850176706462 0.526570048309179 0.362850176706462
"Micromys minutus" "Micromys.minutus" "mammals" 1 0 0.04 0.318122944227127 0.961352657004831 0.358122944227127
"Microtus arvalis" "Microtus.arvalis" "mammals" 1 0 0.0799999999999997 0.229964387345307 0.690821256038647 0.309964387345307
"Microtus multiplex" "Microtus.multiplex" "mammals" 1 0 0.04 0.330823979943073 0.873188405797101 0.370823979943073
"Microtus subterraneus" "Microtus.subterraneus" "mammals" 1 0 0.04 0.229964387345307 0.864734299516908 0.269964387345307
"Mus domesticus" "Mus.domesticus" "mammals" 1 0 0.0799999999999997 0.225763948852026 0.768115942028985 0.305763948852026
"Muscardinus avellanarius" "Muscardinus.avellanarius" "mammals" 1 0 0.04 0.513891167836231 0.659420289855073 0.553891167836231
"Mustela erminea" "Mustela.erminea" "mammals" 1 0 0.04 0.199559491913523 0.524154589371981 0.239559491913523
"Mustela nivalis" "Mustela.nivalis" "mammals" 1 0 0 0.199559491913523 0.599033816425121 0.199559491913523
"Mustela nivalis subsp. nivalis" "Mustela.nivalis.nivalis" "mammals" 1 0 0.0909999999999998 0.18237606655076 1 0.27337606655076
"Mustela putorius" "Mustela.putorius" "mammals" 1 0 0 0.341682860371435 0.634057971014493 0.341682860371435
"Myocastor coypus" "Myocastor.coypus" "mammals" 1 1 0.679999999999998 0.338803043195313 0.996376811594203 1.01880304319531
"Myodes glareolus" "Myodes.glareolus" "mammals" 1 0 0.28 0.165677720894895 0.542270531400966 0.445677720894895
"Myotis bechsteinii" "Myotis.bechsteinii" "mammals" 1 0 0 0 0.834541062801932 0.0250545333904028
"Myotis blythii" "Myotis.blythii" "mammals" 1 0 0.36 0.110519389904155 0.826086956521739 0.470519389904155
"Myotis brandtii" "Myotis.brandtii" "mammals" 1 0 0 0.290845111558337 0.741545893719807 0.290845111558337
"Myotis daubentonii" "Myotis.daubentonii" "mammals" 1 0 0 0.432621370140892 0.643719806763285 0.432621370140892
"Myotis emarginatus" "Myotis.emarginatus" "mammals" 1 0 0.16 0.112334193598451 0.931159420289855 0.272334193598451
"Myotis myotis" "Myotis.myotis" "mammals" 1 0 0 0 0.613526570048309 0.0250545333904028
"Myotis mystacinus" "Myotis.mystacinus" "mammals" 1 0 0 0.140216376545806 0.636473429951691 0.140216376545806
"Myotis nattereri" "Myotis.nattereri" "mammals" 1 0 0 0.118780534203895 0.73792270531401 0.118780534203895
"Neomys anomalus" "Neomys.anomalus" "mammals" 1 0 0.0909999999999998 0.400177491387223 0.678743961352657 0.491177491387223
"Neomys fodiens" "Neomys.fodiens" "mammals" 1 1 0.0909999999999998 0.341682860371435 0.658212560386473 0.432682860371435
"Nyctalus leisleri" "Nyctalus.leisleri" "mammals" 1 0 0.04 0.11944390746777 0.617149758454106 0.15944390746777
"Nyctalus noctula" "Nyctalus.noctula" "mammals" 1 0 0.04 0.158093441995315 0.752415458937198 0.198093441995315
"Ondatra zibethicus" "Ondatra.zibethicus" "mammals" 1 1 0.32 0.338803043195313 0.996376811594203 0.658803043195313
"Oryctolagus cuniculus" "Oryctolagus.cuniculus" "mammals" 1 0 0.0799999999999997 0.220564833670679 0.979468599033816 0.300564833670679
"Ovis gmelini subsp. musimon" "Ovis.gmelini.musimon" "mammals" 1 0 0 0.0882310176413202 1 0.0882310176413202
"Pipistrellus kuhlii" "Pipistrellus.kuhlii" "mammals" 1 0 0.04 0.197007886781101 0.73792270531401 0.237007886781101
"Pipistrellus nathusii" "Pipistrellus.nathusii" "mammals" 1 0 0.2 0.0395560047300371 0.642512077294686 0.239556004730037
"Pipistrellus pipistrellus" "Pipistrellus.pipistrellus" "mammals" 1 0 0 0.234618987152611 0.585748792270531 0.234618987152611
"Pipistrellus pygmaeus" "Pipistrellus.pygmaeus" "mammals" 1 0 0 0.0395560047300371 0.768115942028985 0.0395560047300371
"Plecotus auritus" "Plecotus.auritus" "mammals" 1 0 0 0.0250545333904028 0.650966183574879 0.0250545333904028
"Plecotus austriacus" "Plecotus.austriacus" "mammals" 1 0 0.04 0.0675878862043703 0.923913043478261 0.10758788620437
"Plecotus macrobullaris" "Plecotus.macrobullaris" "mammals" 1 0 0 0.112334193598451 0.758454106280193 0.112334193598451
"Procyon lotor" "Procyon.lotor" "mammals" 1 0 0.24 0.322850176706462 0.797101449275362 0.562850176706462
"Rattus norvegicus" "Rattus.norvegicus" "mammals" 1 1 0 0.491416734228527 0.780193236714976 0.491416734228527
"Rattus rattus" "Rattus.rattus" "mammals" 1 0 0 0.343646360548272 0.857487922705314 0.343646360548272
"Rhinolophus ferrumequinum" "Rhinolophus.ferrumequinum" "mammals" 1 0 0 0.0409816634887178 0.884057971014493 0.0409816634887178
"Rhinolophus hipposideros" "Rhinolophus.hipposideros" "mammals" 1 0 0 0.0409816634887178 0.798309178743961 0.0409816634887178
"Rupicapra rupicapra" "Rupicapra.rupicapra" "mammals" 1 0 0 0.251637011194685 0.526570048309179 0.251637011194685
"Sciurus vulgaris" "Sciurus.vulgaris" "mammals" 1 0 0.0799999999999997 0.450184542486377 0.516908212560387 0.530184542486377
"Sorex alpinus" "Sorex.alpinus" "mammals" 1 0 0.12 0.28741461518216 0.636473429951691 0.40741461518216
"Sorex antinorii" "Sorex.antinorii" "mammals" 1 0 0.12 0.181542630854745 0.695652173913043 0.301542630854745
"Sorex araneus" "Sorex.araneus" "mammals" 1 0 0.12 0.132552490089069 0.840579710144927 0.252552490089068
"Sorex coronatus" "Sorex.coronatus" "mammals" 1 0 0.12 0.181542630854745 0.885265700483092 0.301542630854745
"Sorex minutus" "Sorex.minutus" "mammals" 1 0 0.12 0.132552490089069 0.728260869565217 0.252552490089068
"Sus scrofa" "Sus.scrofa" "mammals" 1 0 0.24 0.573565293570306 0.60024154589372 0.813565293570306
"Tadarida teniotis" "Tadarida.teniotis" "mammals" 1 0 1 0.175148068788978 0.898550724637681 1.17514806878898
"Talpa caeca" "Talpa.caeca" "mammals" 1 0 0 0.137155375431758 0.926328502415459 0.137155375431758
"Talpa europaea" "Talpa.europaea" "mammals" 1 0 0 0.137155375431758 0.578502415458937 0.137155375431758
"Ursus arctos" "Ursus.arctos" "mammals" 1 0 0.28 0.573565293570306 0.908212560386473 0.853565293570306
"Vespertilio murinus" "Vespertilio.murinus" "mammals" 1 0 0 0.175148068788978 0.692028985507246 0.175148068788978
"Vulpes vulpes" "Vulpes.vulpes" "mammals" 1 0 0.0799999999999997 0.327816991395332 0.516908212560387 0.407816991395331
