"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Abida secale" "Abida.secale" "molluscs" 1 0 0.0306122448979592 0.203160270880361 0.636473429951691 0.233772515778321
"Acanthinula aculeata" "Acanthinula.aculeata" "molluscs" 1 0 0.0170068027210885 0.510158013544018 0.6243961352657 0.527164816265107
"Acicula lineata" "Acicula.lineata" "molluscs" 1 0 0.00340136054421768 0.203160270880361 0.652173913043478 0.206561631424579
"Acroloxus lacustris" "Acroloxus.lacustris" "molluscs" 0 1 0.0884353741496598 0.474040632054176 0.891304347826087 0.562476006203836
"Aegopinella minor" "Aegopinella.minor" "molluscs" 1 0 0.00340136054421768 0.0857787810383747 0.626811594202899 0.0891801415825924
"Aegopinella nitens" "Aegopinella.nitens" "molluscs" 1 0 0.00340136054421768 0.0857787810383747 0.588164251207729 0.0891801415825924
"Aegopinella pura" "Aegopinella.pura" "molluscs" 1 0 0.00340136054421768 0.246049661399549 0.591787439613527 0.249451021943766
"Ancylus fluviatilis" "Ancylus.fluviatilis" "molluscs" 0 1 0 0.496613995485327 0.809178743961353 0.496613995485327
"Anisus septemgyratus" "Anisus.septemgyratus" "molluscs" 0 1 0.0517570085358984 0.253950338600451 0.606280193236715 0.30570734713635
"Anodonta anatina" "Anodonta.anatina" "molluscs" 0 1 0.00680272108843534 0.227785758259799 0.997584541062802 0.234588479348234
"Anodonta cygnea" "Anodonta.cygnea" "molluscs" 0 1 0.00680272108843534 0.253950338600451 0.992753623188406 0.260753059688887
"Aplexa hypnorum" "Aplexa.hypnorum" "molluscs" 0 1 0.00340136054421768 0.440180586907449 0.870772946859903 0.443581947451667
"Arianta arbustorum" "Arianta.arbustorum" "molluscs" 1 0 0.0238095238095238 0.221218961625282 0.560386473429952 0.245028485434806
"Arion circumscriptus" "Arion.circumscriptus" "molluscs" 1 0 0.00340136054421768 0.108126410835214 0.985507246376812 0.111527771379432
"Arion distinctus" "Arion.distinctus" "molluscs" 1 0 0.0340136054421768 0.000451467268623049 0.861111111111111 0.0344650727107999
"Arion fuscus" "Arion.fuscus" "molluscs" 1 0 0.0340136054421768 0.13589164785553 0.599033816425121 0.169905253297707
"Arion hortensis" "Arion.hortensis" "molluscs" 1 0 0.0340136054421768 0.128126410835214 0.910628019323672 0.162140016277391
"Arion rufus" "Arion.rufus" "molluscs" 1 0 0.0340136054421768 0.273589164785553 0.783816425120773 0.30760277022773
"Arion silvaticus" "Arion.silvaticus" "molluscs" 1 0 0.00340136054421768 0.0031602708803612 0.567632850241546 0.00656163142457888
"Arion vulgaris" "Arion.vulgaris" "molluscs" 1 0 0.0340136054421768 0.000451467268623049 0.583333333333333 0.0344650727107999
"Balea perversa" "Balea.perversa" "molluscs" 1 0 0.00340136054421768 0.338600451467268 0.748792270531401 0.342001812011486
"Bathyomphalus contortus" "Bathyomphalus.contortus" "molluscs" 0 1 0.0510204081632653 0.609480812641083 0.879227053140097 0.660501220804348
"Bithynia tentaculata" "Bithynia.tentaculata" "molluscs" 0 1 0.0340136054421768 0.338600451467268 0.82487922705314 0.372614056909445
"Boettgerilla pallens" "Boettgerilla.pallens" "molluscs" 1 0 0.102040816326531 0.480382672256261 0.705314009661836 0.582423488582792
"Candidula unifasciata subsp. unifasciata" "Candidula.unifasciata.unifasciata" "molluscs" 1 0 0.064625850340136 0.279909706546275 1 0.344535556886411
"Carychium minimum" "Carychium.minimum" "molluscs" 1 0 0.0517570085358984 0.207674943566591 0.739130434782609 0.259431952102489
"Carychium tridentatum" "Carychium.tridentatum" "molluscs" 1 0 0.0517570085358984 0.207674943566591 0.597826086956522 0.259431952102489
"Causa holosericea" "Causa.holosericea" "molluscs" 1 0 0.0238095238095238 0.615500376222724 0.661835748792271 0.639309900032248
"Cecilioides acicula" "Cecilioides.acicula" "molluscs" 1 0 1 0.795334838224229 0.677536231884058 1.79533483822423
"Cepaea hortensis" "Cepaea.hortensis" "molluscs" 1 0 0 0.270880361173815 0.670289855072464 0.270880361173815
"Cepaea nemoralis" "Cepaea.nemoralis" "molluscs" 1 0 0 0.214672686230248 0.635265700483092 0.214672686230248
"Charpentieria itala subsp. albopustulata" "Charpentieria.itala.albopustulata" "molluscs" 1 0 0.0578231292517007 0.284534195595143 1 0.342357324846844
"Chondrina avenacea" "Chondrina.avenacea" "molluscs" 1 0 0.0306122448979592 0.406320541760723 0.647342995169082 0.436932786658682
"Chondrula tridens" "Chondrula.tridens" "molluscs" 1 0 0.00340136054421768 0.270880361173815 0.917874396135266 0.274281721718032
"Ciliella ciliata" "Ciliella.ciliata" "molluscs" 1 0 0.064625850340136 0.406320541760723 0.818840579710145 0.470946392100859
"Clausilia bidentata" "Clausilia.bidentata" "molluscs" 1 0 0.0102040816326531 0.0180586907449211 0.985507246376812 0.0282627723775741
"Clausilia cruciata" "Clausilia.cruciata" "molluscs" 1 0 0.0102040816326531 0.0180586907449211 0.652173913043478 0.0282627723775741
"Clausilia dubia" "Clausilia.dubia" "molluscs" 1 0 0.0102040816326531 0.0693002257336343 0.596618357487923 0.0795043073662874
"Clausilia rugosa subsp. parvula" "Clausilia.rugosa.parvula" "molluscs" 1 0 0.0102040816326531 0.117582141961374 1 0.127786223594027
"Cochlicopa lubrica" "Cochlicopa.lubrica" "molluscs" 1 0 0.00340136054421768 0.162528216704288 0.579710144927536 0.165929577248506
"Cochlicopa lubricella" "Cochlicopa.lubricella" "molluscs" 1 0 0.00340136054421768 0.162528216704288 0.660628019323672 0.165929577248506
"Cochlodina laminata" "Cochlodina.laminata" "molluscs" 1 0 0.0578231292517007 0.0699774266365688 0.619565217391304 0.12780055588827
"Cochlostoma septemspirale" "Cochlostoma.septemspirale" "molluscs" 1 0 0.00680272108843534 0.604966139954853 0.77536231884058 0.611768861043289
"Columella aspera" "Columella.aspera" "molluscs" 1 0 0.00340136054421768 0.18660647103085 0.949275362318841 0.190007831575068
"Columella columella" "Columella.columella" "molluscs" 1 0 0.00340136054421768 0 0.67512077294686 0.00340136054421768
"Columella edentula" "Columella.edentula" "molluscs" 1 0 0.00340136054421768 0 0.6256038647343 0.00340136054421768
"Corbicula fluminea" "Corbicula.fluminea" "molluscs" 0 1 0.00340136054421768 0.26410835214447 0.948067632850242 0.267509712688687
"Cornu aspersum" "Cornu.aspersum" "molluscs" 1 0 0.00680272108843534 0.214672686230248 0.903381642512077 0.221475407318683
"Daudebardia rufa" "Daudebardia.rufa" "molluscs" 1 0 0.0408163265306122 0.795334838224229 0.876811594202899 0.836151164754841
"Deroceras agreste" "Deroceras.agreste" "molluscs" 1 0 0.0204081632653061 0.13589164785553 0.594202898550725 0.156299811120836
"Deroceras laeve" "Deroceras.laeve" "molluscs" 1 0 0.0204081632653061 0.0031602708803612 0.86231884057971 0.0235684341456673
"Deroceras reticulatum" "Deroceras.reticulatum" "molluscs" 1 0 0.0204081632653061 0.00150489089541009 0.769323671497585 0.0219130541607162
"Discus rotundatus" "Discus.rotundatus" "molluscs" 1 0 0 0.293453724604965 0.572463768115942 0.293453724604965
"Discus ruderatus" "Discus.ruderatus" "molluscs" 1 0 0 0.293453724604965 0.723429951690821 0.293453724604965
"Dreissena polymorpha" "Dreissena.polymorpha" "molluscs" 0 1 0.0850340136054422 0.463732129420617 0.992753623188406 0.548766143026059
"Ena montana" "Ena.montana" "molluscs" 1 0 0.00340136054421768 0.139954853273138 0.595410628019324 0.143356213817355
"Eucobresia diaphana" "Eucobresia.diaphana" "molluscs" 1 0 0.0272108843537415 0.345733634311512 0.568840579710145 0.372944518665253
"Euconulus alderi" "Euconulus.alderi" "molluscs" 1 0 0.00680272108843534 0.356608979182343 0.891304347826087 0.363411700270778
"Euconulus fulvus" "Euconulus.fulvus" "molluscs" 1 0 0.00680272108843534 0.457486832204665 0.544685990338164 0.4642895532931
"Euomphalia strigella" "Euomphalia.strigella" "molluscs" 1 0 0.064625850340136 0.203160270880361 0.746376811594203 0.267786121220497
"Ferrissia clessiniana" "Ferrissia.clessiniana" "molluscs" 0 1 0 0.638693400610808 0.991545893719807 0.638693400610808
"Fruticicola fruticum" "Fruticicola.fruticum" "molluscs" 1 0 0.863945578231293 0.270880361173815 0.644927536231884 1.13482593940511
"Galba truncatula" "Galba.truncatula" "molluscs" 0 1 0.00340136054421768 0.406320541760723 0.592995169082126 0.40972190230494
"Granaria frumentum" "Granaria.frumentum" "molluscs" 1 0 0.00340136054421768 0.270880361173815 0.927536231884058 0.274281721718032
"Granaria illyrica" "Granaria.illyrica" "molluscs" 1 0 0.00340136054421768 0.417607223476297 0.989130434782609 0.421008584020515
"Granaria variabilis" "Granaria.variabilis" "molluscs" 1 0 0.00340136054421768 0.406320541760723 0.91304347826087 0.40972190230494
"Gyraulus albus" "Gyraulus.albus" "molluscs" 0 1 0.0102040816326531 0.417607223476297 0.995169082125604 0.427811305108951
"Gyraulus crista" "Gyraulus.crista" "molluscs" 0 1 0.0102040816326531 0.389390519187358 0.900966183574879 0.399594600820011
"Gyraulus laevis" "Gyraulus.laevis" "molluscs" 0 1 0.0102040816326531 0.203160270880361 0.828502415458937 0.213364352513014
"Gyraulus parvus" "Gyraulus.parvus" "molluscs" 0 1 0.0102040816326531 0.203160270880361 0.996376811594203 0.213364352513014
"Haitia acuta" "Haitia.acuta" "molluscs" 0 1 0 0.203160270880361 0.981884057971015 0.203160270880361
"Helicella itala" "Helicella.itala" "molluscs" 1 0 0.13265306122449 0.434913468773514 0.705314009661836 0.567566529998004
"Helicigona lapicida" "Helicigona.lapicida" "molluscs" 1 0 0.0238095238095238 0.496613995485327 0.684782608695652 0.520423519294851
"Helicodonta obvoluta" "Helicodonta.obvoluta" "molluscs" 1 0 0.13265306122449 0.415349887133183 0.583333333333333 0.548002948357673
"Helix pomatia" "Helix.pomatia" "molluscs" 1 0 0.0136054421768708 0.509606220215701 0.53743961352657 0.523211662392572
"Hippeutis complanatus" "Hippeutis.complanatus" "molluscs" 0 1 0.0510204081632653 0.203160270880361 0.839371980676328 0.254180679043627
"Hygromia cinctella" "Hygromia.cinctella" "molluscs" 1 0 0.064625850340136 0.270880361173815 0.72463768115942 0.335506211513951
"Isognomostoma isognomostomos" "Isognomostoma.isognomostomos" "molluscs" 1 0 0.0238095238095238 0.415349887133183 0.677536231884058 0.439159410942707
"Jaminia quadridens" "Jaminia.quadridens" "molluscs" 1 0 0.0517570085358984 0.343115124153499 0.76207729468599 0.394872132689397
"Laciniaria plicata" "Laciniaria.plicata" "molluscs" 1 0 0.00340136054421768 0.194920993227991 0.68719806763285 0.198322353772209
"Lauria cylindracea" "Lauria.cylindracea" "molluscs" 1 0 0.166666666666667 0.372460496613995 0.98792270531401 0.539127163280662
"Lehmannia marginata" "Lehmannia.marginata" "molluscs" 1 0 0.064625850340136 0.0857787810383747 0.82487922705314 0.150404631378511
"Limax cinereoniger" "Limax.cinereoniger" "molluscs" 1 0 0.0204081632653061 0.480382672256261 0.786231884057971 0.500790835521567
"Limax maximus" "Limax.maximus" "molluscs" 1 0 0.0204081632653061 0.501617757712566 0.829710144927536 0.522025920977872
"Limax sarnensis" "Limax.sarnensis" "molluscs" 1 0 0.0204081632653061 0.216704288939052 0.756038647342995 0.237112452204358
"Lymnaea stagnalis" "Lymnaea.stagnalis" "molluscs" 0 1 0.00340136054421768 0.270880361173815 0.817632850241546 0.274281721718032
"Macrogastra attenuata subsp. lineolata" "Macrogastra.attenuata.lineolata" "molluscs" 1 0 0.0517570085358984 0.121896162528217 1 0.173653171064115
"Macrogastra plicatula" "Macrogastra.plicatula" "molluscs" 1 0 0 0.0693002257336343 0.553140096618358 0.0693002257336343
"Macrogastra ventricosa" "Macrogastra.ventricosa" "molluscs" 1 0 0 0.0699774266365688 0.714975845410628 0.0699774266365688
"Macularia sylvatica" "Macularia.sylvatica" "molluscs" 1 0 0.00340136054421768 0.221218961625282 0.729468599033816 0.2246203221695
"Malacolimax tenellus" "Malacolimax.tenellus" "molluscs" 1 0 0.064625850340136 0.273589164785553 0.640096618357488 0.338215015125689
"Merdigera obscura" "Merdigera.obscura" "molluscs" 1 0 0.00340136054421768 0.139954853273138 0.594202898550725 0.143356213817355
