"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Aeshna affinis" "Aeshna.affinis" "odonata" 1 1 0.142857142857143 0.291204401093029 0.832125603864734 0.434061543950172
"Aeshna caerulea" "Aeshna.caerulea" "odonata" 1 1 0.32142857142857 0.478287937588584 0.760869565217391 0.799716509017154
"Aeshna cyanea" "Aeshna.cyanea" "odonata" 1 1 0.107142857142857 0.327862122463545 0.56280193236715 0.435004979606402
"Aeshna grandis" "Aeshna.grandis" "odonata" 1 1 0 0.61817037707846 0.690821256038647 0.61817037707846
"Aeshna isoceles" "Aeshna.isoceles" "odonata" 1 1 0.32142857142857 0.291204401093029 0.783816425120773 0.612632972521599
"Aeshna juncea" "Aeshna.juncea" "odonata" 1 1 0.0714285714285714 0.327862122463545 0.592995169082126 0.399290693892116
"Aeshna mixta" "Aeshna.mixta" "odonata" 1 1 0 0.863065906699713 0.708937198067633 0.863065906699713
"Aeshna subarctica subsp. elisabethae" "Aeshna.subarctica.elisabethae" "odonata" 1 1 0.123239436619718 0.478287937588584 1 0.601527374208302
"Anax ephippiger" "Anax.ephippiger" "odonata" 1 1 0 0.672840335194215 0.951690821256039 0.672840335194215
"Anax imperator" "Anax.imperator" "odonata" 1 1 0.0357142857142859 0.426482627603604 0.646135265700483 0.46219691331789
"Anax parthenope" "Anax.parthenope" "odonata" 1 1 0 0.426482627603604 0.730676328502415 0.426482627603604
"Boyeria irene" "Boyeria.irene" "odonata" 1 1 0.392857142857143 1 0.989130434782609 1.39285714285714
"Brachytron pratense" "Brachytron.pratense" "odonata" 1 1 0.357142857142858 0.444222572476273 0.828502415458937 0.801365429619131
"Calopteryx splendens" "Calopteryx.splendens" "odonata" 1 1 0.142857142857143 0.236243351125419 0.677536231884058 0.379100493982562
"Calopteryx splendens subsp. caprai" "Calopteryx.splendens.caprai" "odonata" 1 1 0.142857142857143 0.490454725269678 1 0.633311868126821
"Calopteryx virgo" "Calopteryx.virgo" "odonata" 1 1 0.142857142857143 0.236243351125419 0.98792270531401 0.379100493982562
"Calopteryx virgo subsp. meridionalis" "Calopteryx.virgo.meridionalis" "odonata" 1 1 0.142857142857143 0.671433337302964 1 0.814290480160107
"Ceriagrion tenellum" "Ceriagrion.tenellum" "odonata" 1 1 0.5 0.450127813813683 0.914251207729469 0.950127813813682
"Chalcolestes viridis" "Chalcolestes.viridis" "odonata" 1 1 0.214285714285714 0.444102584162554 0.683574879227053 0.658388298448268
"Coenagrion hastulatum" "Coenagrion.hastulatum" "odonata" 1 1 0.178571428571428 0.407482345931518 0.76207729468599 0.586053774502947
"Coenagrion mercuriale" "Coenagrion.mercuriale" "odonata" 1 1 0.178571428571428 0.834459397306589 0.998792270531401 1.01303082587802
"Coenagrion puella" "Coenagrion.puella" "odonata" 1 1 0.178571428571428 0.341399640304615 0.607487922705314 0.519971068876043
"Coenagrion pulchellum" "Coenagrion.pulchellum" "odonata" 1 1 0.178571428571428 0 0.810386473429952 0.178571428571428
"Coenagrion scitulum" "Coenagrion.scitulum" "odonata" 1 1 0.178571428571428 0.341399640304615 0.846618357487923 0.519971068876043
"Cordulegaster bidentata" "Cordulegaster.bidentata" "odonata" 1 1 0 0.327051325403675 0.594202898550725 0.327051325403675
"Cordulegaster boltonii" "Cordulegaster.boltonii" "odonata" 1 1 0 0.327051325403675 0.688405797101449 0.327051325403675
"Cordulia aenea" "Cordulia.aenea" "odonata" 1 1 0.107142857142857 0.626351675597055 0.716183574879227 0.733494532739912
"Crocothemis erythraea" "Crocothemis.erythraea" "odonata" 1 1 0.178571428571428 0.573770149785896 0.719806763285024 0.752341578357325
"Enallagma cyathigerum" "Enallagma.cyathigerum" "odonata" 1 1 0.5 0.293525871201447 0.618357487922705 0.793525871201446
"Epitheca bimaculata" "Epitheca.bimaculata" "odonata" 1 1 0.142857142857143 0.61817037707846 0.998792270531401 0.761027519935603
"Erythromma lindenii" "Erythromma.lindenii" "odonata" 1 1 0.0357142857142859 0.48981654287584 0.846618357487923 0.525530828590126
"Erythromma najas" "Erythromma.najas" "odonata" 1 1 0.0357142857142859 0.466092380220693 0.992753623188406 0.501806665934979
"Erythromma viridulum" "Erythromma.viridulum" "odonata" 1 1 0.0357142857142859 0.466092380220693 0.756038647342995 0.501806665934979
"Gomphus pulchellus" "Gomphus.pulchellus" "odonata" 1 1 0 0.331965711069725 0.829710144927536 0.331965711069725
"Gomphus simillimus" "Gomphus.simillimus" "odonata" 1 1 0.0357142857142859 0.331965711069725 0.927536231884058 0.367679996784011
"Gomphus vulgatissimus" "Gomphus.vulgatissimus" "odonata" 1 1 0 0.370274629641394 0.805555555555556 0.370274629641394
"Ischnura elegans" "Ischnura.elegans" "odonata" 1 1 0 0 0.672705314009662 0.151117731878676
"Ischnura pumilio" "Ischnura.pumilio" "odonata" 1 1 0 0.538569023941478 0.669082125603865 0.538569023941478
"Lestes barbarus" "Lestes.barbarus" "odonata" 1 1 0.107142857142857 0.267833966206202 0.82487922705314 0.374976823349059
"Lestes dryas" "Lestes.dryas" "odonata" 1 1 0.107142857142857 0.83000196644001 0.847826086956522 0.937144823582867
"Lestes sponsa" "Lestes.sponsa" "odonata" 1 1 0.107142857142857 0.267833966206202 0.707729468599034 0.374976823349059
"Lestes virens subsp. vestalis" "Lestes.virens.vestalis" "odonata" 1 1 0.107142857142857 0.444102584162554 1 0.551245441305411
"Leucorrhinia caudalis" "Leucorrhinia.caudalis" "odonata" 1 1 0.107142857142857 0.453316591141788 1 0.560459448284645
"Leucorrhinia dubia" "Leucorrhinia.dubia" "odonata" 1 1 0 0.809508561420253 0.670289855072464 0.809508561420253
"Leucorrhinia pectoralis" "Leucorrhinia.pectoralis" "odonata" 1 1 0 0.769107625093786 0.931159420289855 0.769107625093786
"Libellula depressa" "Libellula.depressa" "odonata" 1 1 0 0.769107625093786 0.646135265700483 0.769107625093786
"Libellula fulva" "Libellula.fulva" "odonata" 1 1 0 0.488576254816801 0.991545893719807 0.488576254816801
"Libellula quadrimaculata" "Libellula.quadrimaculata" "odonata" 1 1 0.0357142857142859 0.835797677443193 0.607487922705314 0.871511963157479
"Onychogomphus forcipatus" "Onychogomphus.forcipatus" "odonata" 1 1 0.0714285714285714 0.526203935181402 0.729468599033816 0.597632506609974
"Onychogomphus forcipatus subsp. forcipatus" "Onychogomphus.forcipatus.forcipatus" "odonata" 1 1 0.123239436619718 0.611271911121554 1 0.734511347741272
"Ophiogomphus cecilia" "Ophiogomphus.cecilia" "odonata" 1 1 0.0714285714285714 0.370274629641394 0.806763285024155 0.441703201069966
"Orthetrum albistylum" "Orthetrum.albistylum" "odonata" 1 1 0 0.616595244083615 0.777777777777778 0.616595244083615
"Orthetrum brunneum" "Orthetrum.brunneum" "odonata" 1 1 0 0.488576254816801 0.679951690821256 0.488576254816801
"Orthetrum cancellatum" "Orthetrum.cancellatum" "odonata" 1 1 0.714285714285714 0.616595244083615 0.66304347826087 1.33088095836933
"Orthetrum coerulescens" "Orthetrum.coerulescens" "odonata" 1 1 0.0357142857142859 0.965348606110781 0.667874396135266 1.00106289182507
"Oxygastra curtisii" "Oxygastra.curtisii" "odonata" 1 1 1 0.575870226572366 0.98792270531401 1.57587022657237
"Platycnemis pennipes" "Platycnemis.pennipes" "odonata" 1 1 0.535714285714284 0.48981654287584 0.736714975845411 1.02553082859012
"Pyrrhosoma nymphula" "Pyrrhosoma.nymphula" "odonata" 1 1 0.5 0.450127813813683 0.647342995169082 0.950127813813682
"Somatochlora alpestris" "Somatochlora.alpestris" "odonata" 1 1 0 0.565253331705799 0.695652173913043 0.565253331705799
"Somatochlora arctica" "Somatochlora.arctica" "odonata" 1 1 0 0.565253331705799 0.730676328502415 0.565253331705799
"Somatochlora flavomaculata" "Somatochlora.flavomaculata" "odonata" 1 1 0 0.575870226572366 0.753623188405797 0.575870226572366
"Somatochlora metallica" "Somatochlora.metallica" "odonata" 1 1 0 0.749551765326354 0.68719806763285 0.749551765326354
"Sympecma fusca" "Sympecma.fusca" "odonata" 1 1 0 0.151117731878676 0.714975845410628 0.151117731878676
"Sympecma paedisca" "Sympecma.paedisca" "odonata" 1 1 0 0.151117731878676 0.973429951690821 0.151117731878676
"Sympetrum danae" "Sympetrum.danae" "odonata" 1 1 0 0.726002828626261 0.653381642512077 0.726002828626261
"Sympetrum depressiusculum" "Sympetrum.depressiusculum" "odonata" 1 1 0 0.546233173056582 0.765700483091787 0.546233173056582
"Sympetrum flaveolum" "Sympetrum.flaveolum" "odonata" 1 1 0 0.786959869348912 0.78743961352657 0.786959869348912
"Sympetrum fonscolombii" "Sympetrum.fonscolombii" "odonata" 1 1 0.25 0.573770149785896 0.6256038647343 0.823770149785896
"Sympetrum meridionale" "Sympetrum.meridionale" "odonata" 1 1 0 0.47852438914463 0.815217391304348 0.47852438914463
"Sympetrum pedemontanum" "Sympetrum.pedemontanum" "odonata" 1 1 0 0.726002828626261 0.795893719806763 0.726002828626261
"Sympetrum sanguineum" "Sympetrum.sanguineum" "odonata" 1 1 0 0.650375224815579 0.698067632850242 0.650375224815579
"Sympetrum striolatum" "Sympetrum.striolatum" "odonata" 1 1 0 0.629726537487587 0.67512077294686 0.629726537487587
"Sympetrum vulgatum" "Sympetrum.vulgatum" "odonata" 1 1 0 0.47852438914463 0.67512077294686 0.47852438914463
