"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Acheta domesticus" "Acheta.domesticus" "orthoptera" 1 0 0.0784313725490198 0.347591451261766 0.894927536231884 0.426022823810786
"Aeropedellus variegatus" "Aeropedellus.variegatus" "orthoptera" 1 0 0.549019607843138 0.267868641339343 0.961352657004831 0.816888249182481
"Aiolopus strepens" "Aiolopus.strepens" "orthoptera" 1 1 0 0.736638763683194 0.923913043478261 0.736638763683194
"Aiolopus thalassinus" "Aiolopus.thalassinus" "orthoptera" 1 1 0 0.267868641339343 0.8756038647343 0.267868641339343
"Anacridium aegyptium" "Anacridium.aegyptium" "orthoptera" 1 0 1 0.629491307147457 0.967391304347826 1.62949130714746
"Anonconotus alpinus" "Anonconotus.alpinus" "orthoptera" 1 0 0.392156862745099 0.555827430779138 0.93719806763285 0.947984293524237
"Antaxius pedestris" "Antaxius.pedestris" "orthoptera" 1 0 0.392156862745099 0.625026829791801 0.683574879227053 1.0171836925369
"Arcyptera fusca" "Arcyptera.fusca" "orthoptera" 1 0 0.549019607843138 0.267868641339343 0.728260869565217 0.816888249182481
"Barbitistes obtusus" "Barbitistes.obtusus" "orthoptera" 1 0 0 0.334835801674179 0.920289855072464 0.334835801674179
"Barbitistes serricauda" "Barbitistes.serricauda" "orthoptera" 1 0 0 0.334835801674179 0.646135265700483 0.334835801674179
"Bohemanella frigida" "Bohemanella.frigida" "orthoptera" 1 0 0.0392156862745098 0.133934320669672 0.809178743961353 0.173150006944182
"Calliptamus barbarus" "Calliptamus.barbarus" "orthoptera" 1 0 0.0196078431372549 0.133934320669672 0.979468599033816 0.153542163806927
"Calliptamus italicus" "Calliptamus.italicus" "orthoptera" 1 1 0.0196078431372549 0.0669671603348358 0.811594202898551 0.0865750034720907
"Calliptamus siciliae" "Calliptamus.siciliae" "orthoptera" 1 0 0.0196078431372549 0.0669671603348358 0.977053140096618 0.0865750034720907
"Chorthippus albomarginatus" "Chorthippus.albomarginatus" "orthoptera" 1 0 0.176470588235294 0.200901481004507 0.788647342995169 0.377372069239801
"Chorthippus apricarius" "Chorthippus.apricarius" "orthoptera" 1 0 0.176470588235294 0.401802962009015 0.774154589371981 0.578273550244309
"Chorthippus biguttulus" "Chorthippus.biguttulus" "orthoptera" 1 0 0.176470588235294 0.178579094226229 0.516908212560387 0.355049682461524
"Chorthippus brunneus" "Chorthippus.brunneus" "orthoptera" 1 1 0.176470588235294 0.234385061171926 0.582125603864734 0.41085564940722
"Chorthippus dorsatus" "Chorthippus.dorsatus" "orthoptera" 1 1 0.176470588235294 0.200901481004507 0.580917874396135 0.377372069239801
"Chorthippus mollis" "Chorthippus.mollis" "orthoptera" 1 0 0.176470588235294 0.0669671603348358 0.752415458937198 0.24343774857013
"Chorthippus montanus" "Chorthippus.montanus" "orthoptera" 1 0 0.176470588235294 0.200901481004507 0.722222222222222 0.377372069239801
"Chorthippus parallelus" "Chorthippus.parallelus" "orthoptera" 1 0 0.176470588235294 0.415196394075982 0.518115942028986 0.591666982311276
"Chorthippus pullus" "Chorthippus.pullus" "orthoptera" 1 1 0.176470588235294 0.133934320669672 0.868357487922705 0.310404908904966
"Chorthippus vagans" "Chorthippus.vagans" "orthoptera" 1 1 0.176470588235294 0.0669671603348358 0.822463768115942 0.24343774857013
"Chrysochraon dispar" "Chrysochraon.dispar" "orthoptera" 1 1 0.549019607843138 0.200901481004507 0.71256038647343 0.749921088847645
"Conocephalus dorsalis" "Conocephalus.dorsalis" "orthoptera" 1 1 0 1 0.951690821256039 1
"Conocephalus fuscus" "Conocephalus.fuscus" "orthoptera" 1 1 0 0.334835801674179 0.685990338164251 0.334835801674179
"Decticus verrucivorus" "Decticus.verrucivorus" "orthoptera" 1 0 0.392156862745099 0.267868641339343 0.582125603864734 0.660025504084442
"Ephippiger ephippiger subsp. diurnus" "Ephippiger.ephippiger.diurnus" "orthoptera" 1 0 0.149942329873126 0.308048937540245 1 0.457991267413371
"Ephippiger terrestris subsp. bormansi" "Ephippiger.terrestris.bormansi" "orthoptera" 1 0 0.149942329873126 0.368319381841598 1 0.518261711714723
"Euchorthippus declivus" "Euchorthippus.declivus" "orthoptera" 1 0 0.549019607843138 0.200901481004507 0.915458937198068 0.749921088847645
"Eumodicogryllus bordigalensis" "Eumodicogryllus.bordigalensis" "orthoptera" 1 1 0.0784313725490198 0.435286542176433 0.896135265700483 0.513717914725452
"Eupholidoptera chabrieri" "Eupholidoptera.chabrieri" "orthoptera" 1 0 0.392156862745099 0.133934320669672 0.964975845410628 0.526091183414771
"Euthystira brachyptera" "Euthystira.brachyptera" "orthoptera" 1 0 0.549019607843138 0.133934320669672 0.572463768115942 0.68295392851281
"Gomphocerippus rufus" "Gomphocerippus.rufus" "orthoptera" 1 0 0.549019607843138 0.401802962009015 0.520531400966184 0.950822569852153
"Gomphocerus sibiricus" "Gomphocerus.sibiricus" "orthoptera" 1 0 0.549019607843138 0.256707447950204 0.689613526570048 0.805727055793342
"Gryllotalpa gryllotalpa" "Gryllotalpa.gryllotalpa" "orthoptera" 1 1 0.196078431372549 0.368319381841598 0.690821256038647 0.564397813214147
"Gryllus campestris" "Gryllus.campestris" "orthoptera" 1 0 0.0784313725490198 0.133934320669672 0.573671497584541 0.212365693218692
"Leptophyes laticauda" "Leptophyes.laticauda" "orthoptera" 1 0 0.0196078431372549 0.267868641339343 0.961352657004831 0.287476484476598
"Leptophyes punctatissima" "Leptophyes.punctatissima" "orthoptera" 1 0 0.0196078431372549 0.267868641339343 0.713768115942029 0.287476484476598
"Meconema meridionale" "Meconema.meridionale" "orthoptera" 1 0 0 0.133934320669672 0.719806763285024 0.133934320669672
"Meconema thalassinum" "Meconema.thalassinum" "orthoptera" 1 0 0 0.133934320669672 0.758454106280193 0.133934320669672
"Mecostethus parapleurus" "Mecostethus.parapleurus" "orthoptera" 1 1 0 0.301352221506762 0.632850241545894 0.301352221506762
"Metrioptera bicolor" "Metrioptera.bicolor" "orthoptera" 1 0 0.392156862745099 0.508950418544752 0.736714975845411 0.901107281289851
"Metrioptera brachyptera" "Metrioptera.brachyptera" "orthoptera" 1 0 0 0.267868641339343 0.6243961352657 0.267868641339343
"Metrioptera fedtschenkoi subsp. minor" "Metrioptera.fedtschenkoi.minor" "orthoptera" 1 1 0.149942329873126 0.256707447950204 1 0.40664977782333
"Metrioptera roeselii" "Metrioptera.roeselii" "orthoptera" 1 0 0.392156862745099 0.368319381841598 0.541062801932367 0.760476244586697
"Metrioptera saussuriana" "Metrioptera.saussuriana" "orthoptera" 1 0 0 0.368319381841598 0.716183574879227 0.368319381841598
"Miramella alpina" "Miramella.alpina" "orthoptera" 1 1 0.0392156862745098 0.770122343850612 0.646135265700483 0.809338030125121
"Miramella formosanta" "Miramella.formosanta" "orthoptera" 1 0 0.149942329873126 0.200901481004507 0.827294685990338 0.350843810877633
"Myrmeleotettix maculatus" "Myrmeleotettix.maculatus" "orthoptera" 1 0 0.549019607843138 0.334835801674179 0.909420289855073 0.883855409517317
"Nemobius sylvestris" "Nemobius.sylvestris" "orthoptera" 1 0 0.0196078431372549 0.334835801674179 0.518115942028986 0.354443644811434
"Odontopodisma decipiens subsp. insubrica" "Odontopodisma.decipiens.insubrica" "orthoptera" 1 0 0.149942329873126 0.558059669456966 1 0.708001999330092
"Oecanthus pellucens" "Oecanthus.pellucens" "orthoptera" 1 0 0.176470588235294 0.513414895900409 0.769323671497585 0.689885484135703
"Oedipoda caerulescens" "Oedipoda.caerulescens" "orthoptera" 1 0 0 0.200901481004507 0.713768115942029 0.200901481004507
"Oedipoda germanica" "Oedipoda.germanica" "orthoptera" 1 0 0 0.133934320669672 0.728260869565217 0.133934320669672
"Omocestus haemorrhoidalis" "Omocestus.haemorrhoidalis" "orthoptera" 1 0 0.0196078431372549 0 0.736714975845411 0.0196078431372549
"Omocestus rufipes" "Omocestus.rufipes" "orthoptera" 1 0 0.0196078431372549 0.254475209272376 0.613526570048309 0.274083052409631
"Omocestus viridulus" "Omocestus.viridulus" "orthoptera" 1 0 0.0196078431372549 0.267868641339343 0.560386473429952 0.287476484476598
"Pezotettix giornae" "Pezotettix.giornae" "orthoptera" 1 0 0.0392156862745098 0.334835801674179 0.969806763285024 0.374051487948689
"Phaneroptera falcata" "Phaneroptera.falcata" "orthoptera" 1 0 0 0.736638763683194 0.70048309178744 0.736638763683194
"Phaneroptera nana" "Phaneroptera.nana" "orthoptera" 1 0 0 0.334835801674179 0.780193236714976 0.334835801674179
"Pholidoptera aptera" "Pholidoptera.aptera" "orthoptera" 1 0 0.0196078431372549 0.435286542176433 0.760869565217391 0.454894385313688
"Pholidoptera fallax" "Pholidoptera.fallax" "orthoptera" 1 0 0.0196078431372549 0.267868641339343 0.978260869565217 0.287476484476598
"Pholidoptera griseoaptera" "Pholidoptera.griseoaptera" "orthoptera" 1 0 0.0196078431372549 0.334835801674179 0.531400966183575 0.354443644811434
"Pholidoptera littoralis subsp. insubrica" "Pholidoptera.littoralis.insubrica" "orthoptera" 1 0 0.149942329873126 0.267868641339343 1 0.417810971212469
"Platycleis albopunctata" "Platycleis.albopunctata" "orthoptera" 1 0 0 0.368319381841598 0.646135265700483 0.368319381841598
"Platycleis albopunctata subsp. albopunctata" "Platycleis.albopunctata.albopunctata" "orthoptera" 1 0 0.149942329873126 0.415196394075982 1 0.565138723949108
"Platycleis albopunctata subsp. grisea" "Platycleis.albopunctata.grisea" "orthoptera" 1 0 0 0.256707447950204 1 0.256707447950204
"Podisma pedestris" "Podisma.pedestris" "orthoptera" 1 0 0.0392156862745098 0.200901481004507 0.701690821256039 0.240117167279017
"Polysarcus denticauda" "Polysarcus.denticauda" "orthoptera" 1 0 0.0784313725490198 0.502253702511269 0.800724637681159 0.580685075060288
"Psophus stridulus" "Psophus.stridulus" "orthoptera" 1 1 0.156862745098039 0.133934320669672 0.676328502415459 0.290797065767711
"Pteronemobius heydenii" "Pteronemobius.heydenii" "orthoptera" 1 1 0 0.493882807469415 0.721014492753623 0.493882807469415
"Pteronemobius lineolatus" "Pteronemobius.lineolatus" "orthoptera" 1 1 0 0.32367460828504 0.986714975845411 0.32367460828504
"Ruspolia nitidula" "Ruspolia.nitidula" "orthoptera" 1 1 0.0196078431372549 0.334835801674179 0.746376811594203 0.354443644811434
