"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Abies alba" "Abies.alba" "plants" 1 0 0.00346020761245675 0.158647332525341 0.580917874396135 0.162107540137798
"Abutilon theophrasti" "Abutilon.theophrasti" "plants" 1 0 0.0029278679797711 0.126568873521212 0.857487922705314 0.129496741500983
"Acacia dealbata" "Acacia.dealbata" "plants" 1 0 0.049241416023423 0.305749334573148 0.885265700483092 0.354990750596571
"Acanthus mollis" "Acanthus.mollis" "plants" 1 0 0.00346020761245675 0.146343273998173 0.903381642512077 0.14980348161063
"Acer campestre" "Acer.campestre" "plants" 1 0 0 0.0980525459085192 0.619565217391304 0.0980525459085192
"Acer negundo" "Acer.negundo" "plants" 1 0 0.000798509449028482 0.10757112618218 0.927536231884058 0.108369635631209
"Acer opalus" "Acer.opalus" "plants" 1 0 0.000266169816342828 0.105304900346632 0.856280193236715 0.105571070162975
"Acer platanoides" "Acer.platanoides" "plants" 1 0 0 0.183288819767474 0.603864734299517 0.183288819767474
"Acer pseudoplatanus" "Acer.pseudoplatanus" "plants" 1 0 0.000266169816342828 0.169176588632992 0.538647342995169 0.169442758449334
"Aceras anthropophorum" "Aceras.anthropophorum" "plants" 1 0 0 0.138039886446012 0.856280193236715 0.138039886446012
"Achillea atrata" "Achillea.atrata" "plants" 1 0 0.00239552834708544 0.144333509750524 0.731884057971014 0.14672903809761
"Achillea macrophylla" "Achillea.macrophylla" "plants" 1 0 0 0.0333481810403953 0.681159420289855 0.0333481810403953
"Achillea millefolium" "Achillea.millefolium" "plants" 1 0 0.00479105669417088 0.130313384419291 0.518115942028986 0.135104441113462
"Achillea millefolium subsp. millefolium" "Achillea.millefolium.millefolium" "plants" 1 0 0.000266169816342828 0.0724169500189472 1 0.07268311983529
"Achillea nana" "Achillea.nana" "plants" 1 0 0 0.158197951134897 0.797101449275362 0.158197951134897
"Achillea nobilis" "Achillea.nobilis" "plants" 1 0 0.00106467926537131 0.045389932985441 0.917874396135266 0.0464546122508123
"Achillea ptarmica" "Achillea.ptarmica" "plants" 1 0 0.00346020761245675 0.223949073101064 0.853864734299517 0.22740928071352
"Achillea roseoalba" "Achillea.roseoalba" "plants" 1 0 0.000266169816342828 0.283591047818589 0.859903381642512 0.283857217634932
"Achillea setacea" "Achillea.setacea" "plants" 1 0 0.00212935853074261 0.154734823421232 0.766908212560386 0.156864181951975
"Achillea tomentosa" "Achillea.tomentosa" "plants" 1 0 0.00479105669417088 0.12777934600626 0.916666666666667 0.132570402700431
"Achnatherum calamagrostis" "Achnatherum.calamagrostis" "plants" 1 0 0.0811817939845621 0.472187894833522 0.673913043478261 0.553369688818085
"Acinos alpinus" "Acinos.alpinus" "plants" 1 0 0 0.355971426247849 0.652173913043478 0.355971426247849
"Acinos arvensis" "Acinos.arvensis" "plants" 1 0 0 0.185309835202837 0.632850241545894 0.185309835202837
"Aconitum lycoctonum" "Aconitum.lycoctonum" "plants" 1 0 0.000798509449028482 0.273037138256517 0.52536231884058 0.273835647705546
"Aconitum lycoctonum subsp. neapolitanum" "Aconitum.lycoctonum.neapolitanum" "plants" 1 0 0.0102813923628722 0.370130649237772 1 0.380412041600644
"Aconitum napellus" "Aconitum.napellus" "plants" 1 0 0 0.083762873117741 0.6256038647343 0.083762873117741
"Aconitum napellus subsp. lusitanicum" "Aconitum.napellus.lusitanicum" "plants" 1 0 0.0102813923628722 0.155019104745729 1 0.165300497108602
"Aconitum variegatum" "Aconitum.variegatum" "plants" 1 0 0 0.083762873117741 0.684782608695652 0.083762873117741
"Aconitum variegatum subsp. paniculatum" "Aconitum.variegatum.paniculatum" "plants" 1 0 0.0102813923628722 0.0762062542705308 1 0.086487646633403
"Acorus calamus" "Acorus.calamus" "plants" 1 1 0.204950758583976 0.464529783730788 0.997584541062802 0.669480542314765
"Actaea spicata" "Actaea.spicata" "plants" 1 0 0 0.399861974225143 0.573671497584541 0.399861974225143
"Actinidia chinensis" "Actinidia.chinensis" "plants" 1 0 0 0.245816729983649 0.840579710144927 0.245816729983649
"Adenostyles alliariae" "Adenostyles.alliariae" "plants" 1 0 0.000532339632685654 0.0975327204285368 0.60024154589372 0.0980650600612225
"Adenostyles alpina" "Adenostyles.alpina" "plants" 1 0 0.000532339632685654 0.0502507483921181 0.607487922705314 0.0507830880248038
"Adenostyles leucophylla" "Adenostyles.leucophylla" "plants" 1 0 0.000532339632685654 0.157321645525904 0.76207729468599 0.15785398515859
"Adonis aestivalis" "Adonis.aestivalis" "plants" 1 0 0.000532339632685654 0.0767595230703818 0.845410628019324 0.0772918627030675
"Adonis flammea" "Adonis.flammea" "plants" 1 0 0.000532339632685654 0.0309694913513638 0.933574879227053 0.0315018309840494
"Adonis vernalis" "Adonis.vernalis" "plants" 1 0 0.000532339632685654 0.268342048506897 0.955314009661836 0.268874388139582
"Adoxa moschatellina" "Adoxa.moschatellina" "plants" 1 0 0.000532339632685654 0.426462585929767 0.634057971014493 0.426994925562453
"Aegilops cylindrica" "Aegilops.cylindrica" "plants" 1 0 0.00159701889805697 0.408974084389093 0.943236714975845 0.41057110328715
"Aegopodium podagraria" "Aegopodium.podagraria" "plants" 1 0 0.000266169816342828 0.244206854773888 0.516908212560387 0.244473024590231
"Aesculus hippocastanum" "Aesculus.hippocastanum" "plants" 1 0 0.000532339632685654 0.147108742810609 0.781400966183575 0.147641082443295
"Aethusa cynapioides" "Aethusa.cynapioides" "plants" 1 0 0.0102813923628722 0.185860948553361 0.96256038647343 0.196142340916234
"Aethusa cynapium" "Aethusa.cynapium" "plants" 1 0 0 0.163366351066291 0.743961352657005 0.163366351066291
"Agrimonia eupatoria" "Agrimonia.eupatoria" "plants" 1 0 0 0.366069978792087 0.588164251207729 0.366069978792087
"Agrimonia procera" "Agrimonia.procera" "plants" 1 0 0 0.341148144878775 0.917874396135266 0.341148144878775
"Agrostemma githago" "Agrostemma.githago" "plants" 1 0 0.00771892467394198 0.0230840076558087 0.771739130434783 0.0308029323297507
"Agrostis alpina" "Agrostis.alpina" "plants" 1 0 0.0811817939845621 0.349661248686773 0.719806763285024 0.430843042671335
"Agrostis canina" "Agrostis.canina" "plants" 1 0 0.0811817939845621 0.260269684696151 0.758454106280193 0.341451478680713
"Agrostis capillaris" "Agrostis.capillaris" "plants" 1 0 0 0.187517485291196 0.516908212560387 0.187517485291196
"Agrostis gigantea" "Agrostis.gigantea" "plants" 1 0 0 0.16037589492126 0.570048309178744 0.16037589492126
"Agrostis rupestris" "Agrostis.rupestris" "plants" 1 0 0.0811817939845621 0.102037513031007 0.701690821256039 0.183219307015569
"Agrostis schleicheri" "Agrostis.schleicheri" "plants" 1 0 0.0811817939845621 0.123572714283963 0.623188405797101 0.204754508268525
"Agrostis schraderiana" "Agrostis.schraderiana" "plants" 1 0 0.0811817939845621 0.342677943678554 0.688405797101449 0.423859737663116
"Agrostis stolonifera" "Agrostis.stolonifera" "plants" 1 0 0.000532339632685654 0.264437962091182 0.524154589371981 0.264970301723868
"Ailanthus altissima" "Ailanthus.altissima" "plants" 1 0 0.000266169816342828 0.228399062191406 0.756038647342995 0.228665232007749
"Aira caryophyllea" "Aira.caryophyllea" "plants" 1 0 0.000532339632685654 0.193785151998999 0.968599033816425 0.194317491631685
"Ajuga chamaepitys" "Ajuga.chamaepitys" "plants" 1 0 0.000532339632685654 0.1299490354902 0.893719806763285 0.130481375122886
"Ajuga genevensis" "Ajuga.genevensis" "plants" 1 0 0.000532339632685654 0.199530277164234 0.710144927536232 0.200062616796919
