"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Aculepeira ceropegia" "Aculepeira.ceropegia" "spiders" 1 0 0.0476772616136919 0.12910162158581 0.638888888888889 0.176778883199502
"Agelena labyrinthica" "Agelena.labyrinthica" "spiders" 1 0 0.0183374083129585 0.601397428763375 0.91304347826087 0.619734837076334
"Agroeca brunnea" "Agroeca.brunnea" "spiders" 1 0 0.00122249388753056 0.0805179514716094 0.805555555555556 0.08174044535914
"Agroeca cuprea" "Agroeca.cuprea" "spiders" 1 0 0.00122249388753056 0.106025007683751 0.807971014492754 0.107247501571282
"Agyneta affinis" "Agyneta.affinis" "spiders" 1 0 0.0171149144254279 0.00169259385141821 0.632850241545894 0.0188075082768461
"Agyneta mollis" "Agyneta.mollis" "spiders" 1 0 0.0171149144254279 0.0044565619583123 0.909420289855073 0.0215714763837402
"Agyneta rurestris" "Agyneta.rurestris" "spiders" 1 0 0.0171149144254279 0.014452494420806 0.803140096618358 0.0315674088462339
"Agyneta saxatilis" "Agyneta.saxatilis" "spiders" 1 0 0.0171149144254279 0.00712219235232681 0.791062801932367 0.0242371067777547
"Agyneta simplicitarsis" "Agyneta.simplicitarsis" "spiders" 1 0 0.0171149144254279 0.00274034462485934 0.725845410628019 0.0198552590502872
"Alopecosa cuneata" "Alopecosa.cuneata" "spiders" 1 0 0.0122249388753056 0.0279147832668608 0.705314009661836 0.0401397221421664
"Alopecosa farinosa" "Alopecosa.farinosa" "spiders" 1 0 0.0122249388753056 0.0212976452359232 0.684782608695652 0.0335225841112288
"Alopecosa pulverulenta" "Alopecosa.pulverulenta" "spiders" 1 0 0.0122249388753056 0.0279147832668608 0.826086956521739 0.0401397221421664
"Alopecosa trabalis" "Alopecosa.trabalis" "spiders" 1 0 0.0122249388753056 0.0950015000625232 0.893719806763285 0.107226438937829
"Amaurobius fenestralis" "Amaurobius.fenestralis" "spiders" 1 0 0.0330073349633251 0.438417204059525 0.615942028985507 0.471424539022851
"Antistea elegans" "Antistea.elegans" "spiders" 1 0 0.0110024449877751 0.0243939683803227 0.8743961352657 0.0353964133680978
"Anyphaena accentuata" "Anyphaena.accentuata" "spiders" 1 0 0.0293398533007334 0.120224680044118 0.89975845410628 0.149564533344851
